id,prediction,language,error
0,1,vi,
1,0,vi,
2,0,vi,
3,0,vi,
4,0,vi,
5,0,vi,
6,1,vi,
7,0,vi,
8,0,vi,
9,1,vi,
10,1,vi,
11,1,vi,
12,0,vi,
13,1,vi,
14,0,vi,
15,0,vi,
16,0,vi,
17,0,vi,
18,1,vi,
19,0,vi,
20,0,vi,
21,1,vi,
22,1,vi,
23,0,vi,
24,0,vi,
25,0,vi,
26,1,vi,
27,1,vi,
28,1,vi,
29,1,vi,
30,0,vi,
31,0,vi,
32,0,vi,
33,0,vi,
34,0,vi,
35,1,vi,
36,0,vi,
37,1,vi,
38,1,vi,
39,0,vi,
40,0,vi,
41,1,vi,
42,0,vi,
43,0,vi,
44,1,vi,
45,1,vi,
46,0,vi,
47,0,vi,
48,0,vi,
49,0,vi,
50,0,vi,
51,1,vi,
52,0,vi,
53,0,vi,
54,0,vi,
55,0,vi,
56,1,vi,
57,0,vi,
58,1,vi,
59,0,vi,
60,0,vi,
61,0,vi,
62,0,vi,
63,0,vi,
64,0,vi,
65,0,vi,
66,0,vi,
67,0,vi,
68,1,vi,
69,0,vi,
70,0,vi,
71,1,vi,
72,0,vi,
73,0,vi,
74,0,vi,
75,0,vi,
76,0,vi,
77,1,vi,
78,1,vi,
79,0,vi,
80,1,vi,
81,0,vi,
82,1,vi,
83,0,vi,
84,1,vi,
85,1,vi,
86,1,vi,
87,1,vi,
88,1,vi,
89,1,vi,
90,1,vi,
91,0,vi,
92,0,vi,
93,1,vi,
94,0,vi,
95,1,vi,
96,0,vi,
97,0,vi,
98,0,vi,
99,0,vi,
100,0,vi,
101,1,vi,
102,0,vi,
103,0,vi,
104,1,vi,
105,0,vi,
106,1,vi,
107,0,vi,
108,1,vi,
109,1,vi,
110,0,vi,
111,0,vi,
112,0,vi,
113,0,vi,
114,0,vi,
115,0,vi,
116,1,vi,
117,1,vi,
118,1,vi,
119,1,vi,
120,1,vi,
121,1,vi,
122,0,vi,
123,0,vi,
124,0,vi,
125,0,vi,
126,0,vi,
127,0,vi,
128,0,vi,
129,0,vi,
130,0,vi,
131,0,vi,
132,0,vi,
133,0,vi,
134,0,vi,
135,0,vi,
136,0,vi,
137,1,vi,
138,0,vi,
139,1,vi,
140,0,vi,
141,0,vi,
142,0,vi,
143,0,vi,
144,1,vi,
145,0,vi,
146,0,vi,
147,1,vi,
148,1,vi,
149,0,vi,
150,0,vi,
151,0,vi,
152,0,vi,
153,1,vi,
154,0,vi,
155,0,vi,
156,0,vi,
157,1,vi,
158,1,vi,
159,0,vi,
160,0,vi,
161,0,vi,
162,0,vi,
163,1,vi,
164,0,vi,
165,0,vi,
166,1,vi,
167,0,vi,
168,0,vi,
169,1,vi,
170,0,vi,
171,0,vi,
172,1,vi,
173,0,vi,
174,1,vi,
175,0,vi,
176,0,vi,
177,0,vi,
178,0,vi,
179,1,vi,
180,0,vi,
181,0,vi,
182,0,vi,
183,0,vi,
184,1,vi,
185,0,vi,
186,1,vi,
187,1,vi,
188,0,vi,
189,1,vi,
190,0,vi,
191,0,vi,
192,1,vi,
193,0,vi,
194,1,vi,
195,0,vi,
196,1,vi,
197,0,vi,
198,0,vi,
199,1,vi,
200,1,vi,
201,1,vi,
202,0,vi,
203,0,vi,
204,0,vi,
205,1,vi,
206,1,vi,
207,0,vi,
208,0,vi,
209,0,vi,
210,1,vi,
211,1,vi,
212,0,vi,
213,1,vi,
214,1,vi,
215,0,vi,
216,1,vi,
217,0,vi,
218,1,vi,
219,0,vi,
220,0,vi,
221,0,vi,
222,0,vi,
223,0,vi,
224,0,vi,
225,0,vi,
226,1,vi,
227,0,vi,
228,0,vi,
229,0,vi,
230,0,vi,
231,0,vi,
232,0,vi,
233,0,vi,
234,0,vi,
235,0,vi,
236,1,vi,
237,0,vi,
238,1,vi,
239,0,vi,
240,0,vi,
241,1,vi,
242,1,vi,
243,0,vi,
244,0,vi,
245,1,vi,
246,1,vi,
247,1,vi,
248,1,vi,
249,1,vi,
250,0,vi,
251,1,vi,
252,0,vi,
253,0,vi,
254,0,vi,
255,1,vi,
