id,prediction,language,error
0,1,pt,
1,1,pt,
2,0,pt,
3,1,pt,
4,1,pt,
5,0,pt,
6,1,pt,
7,1,pt,
8,1,pt,
9,1,pt,
10,1,pt,
11,0,pt,
12,0,pt,
13,1,pt,
14,1,pt,
15,1,pt,
16,0,pt,
17,1,pt,
18,1,pt,
19,0,pt,
20,0,pt,
21,1,pt,
22,0,pt,
23,0,pt,
24,1,pt,
25,1,pt,
26,1,pt,
27,1,pt,
28,0,pt,
29,0,pt,
30,0,pt,
31,0,pt,
32,0,pt,
33,1,pt,
34,1,pt,
35,1,pt,
36,1,pt,
37,0,pt,
38,0,pt,
39,0,pt,
40,0,pt,
41,1,pt,
42,1,pt,
43,0,pt,
44,1,pt,
45,1,pt,
46,1,pt,
47,0,pt,
48,0,pt,
49,0,pt,
50,0,pt,
51,1,pt,
52,0,pt,
53,0,pt,
54,0,pt,
55,0,pt,
56,1,pt,
57,0,pt,
58,0,pt,
59,0,pt,
60,0,pt,
61,0,pt,
62,0,pt,
63,0,pt,
64,1,pt,
65,1,pt,
66,1,pt,
67,0,pt,
68,1,pt,
69,1,pt,
70,0,pt,
71,0,pt,
72,1,pt,
73,1,pt,
74,0,pt,
75,0,pt,
76,1,pt,
77,1,pt,
78,1,pt,
79,1,pt,
80,1,pt,
81,0,pt,
82,0,pt,
83,1,pt,
84,1,pt,
85,1,pt,
86,1,pt,
87,1,pt,
88,0,pt,
89,1,pt,
90,0,pt,
91,0,pt,
92,0,pt,
93,0,pt,
94,1,pt,
95,1,pt,
96,1,pt,
97,1,pt,
98,1,pt,
99,0,pt,
100,1,pt,
101,1,pt,
102,1,pt,
103,1,pt,
104,0,pt,
105,1,pt,
106,0,pt,
107,1,pt,
108,0,pt,
109,0,pt,
110,1,pt,
111,1,pt,
112,1,pt,
113,1,pt,
114,1,pt,
115,1,pt,
116,1,pt,
117,0,pt,
118,1,pt,
119,1,pt,
120,0,pt,
121,1,pt,
122,0,pt,
123,0,pt,
124,0,pt,
125,1,pt,
126,1,pt,
127,1,pt,
128,1,pt,
129,1,pt,
130,0,pt,
131,0,pt,
132,1,pt,
133,0,pt,
134,0,pt,
135,1,pt,
136,1,pt,
137,0,pt,
138,0,pt,
139,0,pt,
140,1,pt,
141,0,pt,
142,0,pt,
143,0,pt,
144,0,pt,
145,1,pt,
146,0,pt,
147,0,pt,
148,0,pt,
149,1,pt,
150,0,pt,
151,0,pt,
152,1,pt,
153,1,pt,
154,0,pt,
155,0,pt,
156,0,pt,
157,0,pt,
158,0,pt,
159,1,pt,
160,1,pt,
161,1,pt,
162,0,pt,
163,0,pt,
164,1,pt,
165,0,pt,
166,1,pt,
167,0,pt,
168,1,pt,
169,0,pt,
170,1,pt,
171,1,pt,
172,0,pt,
173,0,pt,
174,1,pt,
175,1,pt,
176,0,pt,
177,1,pt,
178,1,pt,
179,1,pt,
180,0,pt,
181,1,pt,
182,1,pt,
183,1,pt,
184,1,pt,
185,1,pt,
186,0,pt,
187,1,pt,
188,1,pt,
189,0,pt,
190,1,pt,
191,1,pt,
192,0,pt,
193,1,pt,
194,1,pt,
195,0,pt,
196,1,pt,
197,0,pt,
198,1,pt,
199,1,pt,
200,1,pt,
201,1,pt,
202,0,pt,
203,0,pt,
204,1,pt,
205,1,pt,
206,0,pt,
207,0,pt,
208,1,pt,
209,0,pt,
210,1,pt,
211,1,pt,
212,0,pt,
213,1,pt,
214,0,pt,
215,1,pt,
216,1,pt,
217,1,pt,
218,0,pt,
219,1,pt,
220,1,pt,
221,0,pt,
222,0,pt,
223,0,pt,
224,1,pt,
225,0,pt,
226,1,pt,
227,1,pt,
228,1,pt,
229,1,pt,
230,1,pt,
231,0,pt,
232,0,pt,
233,0,pt,
234,1,pt,
235,0,pt,
236,1,pt,
237,1,pt,
238,0,pt,
239,1,pt,
240,1,pt,
241,0,pt,
242,1,pt,
243,0,pt,
244,1,pt,
245,0,pt,
246,0,pt,
247,0,pt,
248,1,pt,
249,1,pt,
250,1,pt,
251,0,pt,
252,1,pt,
253,0,pt,
254,1,pt,
255,0,pt,
256,0,pt,
257,0,pt,
258,0,pt,
259,1,pt,
260,0,pt,
261,0,pt,
262,1,pt,
263,1,pt,
264,1,pt,
265,1,pt,
266,1,pt,
267,0,pt,
268,1,pt,
269,0,pt,
270,0,pt,
271,1,pt,
272,1,pt,
273,0,pt,
274,1,pt,
275,1,pt,
276,1,pt,
277,0,pt,
278,1,pt,
279,0,pt,
280,0,pt,
281,1,pt,
282,0,pt,
283,1,pt,
284,1,pt,
285,0,pt,
286,1,pt,
287,0,pt,
288,0,pt,
289,1,pt,
290,1,pt,
291,1,pt,
292,0,pt,
293,1,pt,
294,1,pt,
295,1,pt,
296,0,pt,
297,0,pt,
298,1,pt,
299,1,pt,
300,0,pt,
301,1,pt,
302,0,pt,
303,1,pt,
304,1,pt,
305,1,pt,
306,1,pt,
307,1,pt,
308,1,pt,
309,1,pt,
310,1,pt,
311,1,pt,
312,1,pt,
313,1,pt,
314,1,pt,
315,0,pt,
316,1,pt,
317,1,pt,
318,1,pt,
319,0,pt,
320,1,pt,
321,0,pt,
322,1,pt,
323,1,pt,
324,0,pt,
325,0,pt,
326,1,pt,
327,1,pt,
328,1,pt,
329,1,pt,
330,0,pt,
331,1,pt,
332,1,pt,
333,0,pt,
334,0,pt,
335,1,pt,
336,0,pt,
337,1,pt,
338,1,pt,
339,1,pt,
340,0,pt,
341,0,pt,
342,0,pt,
343,1,pt,
344,0,pt,
345,1,pt,
346,0,pt,
347,1,pt,
348,1,pt,
349,0,pt,
350,0,pt,
351,0,pt,
352,1,pt,
353,0,pt,
354,1,pt,
355,0,pt,
356,1,pt,
357,1,pt,
358,0,pt,
359,0,pt,
360,1,pt,
361,0,pt,
362,1,pt,
363,1,pt,
364,1,pt,
365,0,pt,
366,1,pt,
367,0,pt,
368,0,pt,
369,0,pt,
370,0,pt,
371,0,pt,
372,1,pt,
373,0,pt,
374,1,pt,
375,0,pt,
376,1,pt,
377,0,pt,
378,1,pt,
379,1,pt,
380,0,pt,
381,1,pt,
382,0,pt,
383,0,pt,
384,0,pt,
385,0,pt,
386,0,pt,
387,1,pt,
388,1,pt,
389,1,pt,
390,1,pt,
391,1,pt,
392,0,pt,
393,0,pt,
394,0,pt,
395,0,pt,
396,0,pt,
397,1,pt,
398,0,pt,
399,1,pt,
400,0,pt,
401,1,pt,
402,1,pt,
403,0,pt,
404,0,pt,
405,1,pt,
406,1,pt,
407,1,pt,
408,0,pt,
409,1,pt,
410,1,pt,
411,0,pt,
412,1,pt,
413,1,pt,
414,1,pt,
415,0,pt,
416,1,pt,
417,1,pt,
418,1,pt,
419,1,pt,
420,1,pt,
421,1,pt,
422,1,pt,
423,1,pt,
424,1,pt,
425,1,pt,
426,0,pt,
427,1,pt,
428,0,pt,
429,0,pt,
430,0,pt,
431,1,pt,
432,0,pt,
433,1,pt,
434,0,pt,
435,1,pt,
436,0,pt,
437,1,pt,
438,1,pt,
439,0,pt,
440,0,pt,
441,0,pt,
442,1,pt,
443,0,pt,
444,1,pt,
445,1,pt,
446,1,pt,
447,0,pt,
448,1,pt,
449,1,pt,
450,0,pt,
451,0,pt,
452,0,pt,
453,1,pt,
454,1,pt,
455,1,pt,
456,0,pt,
457,1,pt,
458,1,pt,
459,1,pt,
460,1,pt,
461,1,pt,
462,0,pt,
463,1,pt,
464,1,pt,
465,1,pt,
466,0,pt,
467,0,pt,
468,1,pt,
469,1,pt,
470,0,pt,
471,1,pt,
472,1,pt,
473,0,pt,
474,1,pt,
475,0,pt,
476,1,pt,
477,1,pt,
478,1,pt,
479,1,pt,
480,0,pt,
481,0,pt,
482,0,pt,
483,1,pt,
484,0,pt,
485,1,pt,
486,0,pt,
487,1,pt,
488,0,pt,
489,0,pt,
490,1,pt,
491,1,pt,
492,0,pt,
493,0,pt,
494,1,pt,
495,0,pt,
496,0,pt,
497,1,pt,
498,1,pt,
499,1,pt,
500,1,pt,
501,0,pt,
502,0,pt,
503,0,pt,
504,0,pt,
505,1,pt,
506,0,pt,
507,1,pt,
508,1,pt,
509,0,pt,
510,1,pt,
511,1,pt,
512,0,pt,
513,0,pt,
514,1,pt,
515,1,pt,
516,0,pt,
517,1,pt,
518,1,pt,
519,1,pt,
520,1,pt,
521,1,pt,
522,1,pt,
523,1,pt,
524,0,pt,
525,1,pt,
526,1,pt,
527,1,pt,
528,0,pt,
529,1,pt,
530,1,pt,
531,0,pt,
532,0,pt,
533,1,pt,
534,0,pt,
535,0,pt,
536,1,pt,
537,1,pt,
538,1,pt,
539,1,pt,
540,1,pt,
541,0,pt,
542,0,pt,
543,0,pt,
544,0,pt,
545,1,pt,
546,1,pt,
547,0,pt,
548,0,pt,
549,0,pt,
550,0,pt,
551,1,pt,
552,1,pt,
553,1,pt,
554,0,pt,
555,1,pt,
556,0,pt,
557,1,pt,
558,0,pt,
559,1,pt,
560,0,pt,
561,1,pt,
562,0,pt,
563,1,pt,
564,0,pt,
565,1,pt,
566,1,pt,
567,1,pt,
568,0,pt,
569,1,pt,
570,1,pt,
571,1,pt,
572,0,pt,
573,1,pt,
574,1,pt,
575,0,pt,
576,1,pt,
577,1,pt,
578,1,pt,
579,0,pt,
580,1,pt,
581,0,pt,
582,1,pt,
583,1,pt,
584,1,pt,
585,1,pt,
586,1,pt,
587,1,pt,
588,0,pt,
589,0,pt,
590,0,pt,
591,1,pt,
592,0,pt,
593,0,pt,
594,0,pt,
595,0,pt,
596,0,pt,
597,1,pt,
598,1,pt,
599,1,pt,
600,1,pt,
601,0,pt,
602,1,pt,
603,1,pt,
604,0,pt,
605,0,pt,
606,0,pt,
607,0,pt,
608,0,pt,
609,1,pt,
610,0,pt,
611,0,pt,
612,0,pt,
613,0,pt,
614,0,pt,
615,0,pt,
616,1,pt,
617,1,pt,
618,0,pt,
619,0,pt,
620,1,pt,
621,1,pt,
622,1,pt,
623,1,pt,
624,0,pt,
625,0,pt,
626,1,pt,
627,1,pt,
628,1,pt,
629,0,pt,
630,0,pt,
631,1,pt,
632,1,pt,
633,0,pt,
634,1,pt,
635,1,pt,
636,1,pt,
637,0,pt,
638,0,pt,
639,1,pt,
640,0,pt,
641,1,pt,
642,0,pt,
643,1,pt,
644,1,pt,
645,1,pt,
646,1,pt,
647,0,pt,
648,0,pt,
649,0,pt,
650,0,pt,
651,1,pt,
652,0,pt,
653,1,pt,
654,1,pt,
655,1,pt,
656,0,pt,
657,0,pt,
658,0,pt,
659,0,pt,
660,1,pt,
661,0,pt,
662,1,pt,
663,1,pt,
664,1,pt,
665,0,pt,
666,1,pt,
667,1,pt,
668,0,pt,
669,1,pt,
670,0,pt,
671,0,pt,
672,0,pt,
673,1,pt,
674,0,pt,
675,1,pt,
