id,prediction,language,error
0,0,el,
1,0,el,
2,1,el,
3,0,el,
4,0,el,
5,0,el,
6,0,el,
7,0,el,
8,0,el,
9,0,el,
10,0,el,
11,0,el,
12,0,el,
13,0,el,
14,1,el,
15,1,el,
16,1,el,
17,0,el,
18,0,el,
19,0,el,
20,1,el,
21,0,el,
22,0,el,
23,0,el,
24,0,el,
25,0,el,
26,1,el,
27,1,el,
28,1,el,
29,0,el,
30,0,el,
31,0,el,
32,1,el,
33,1,el,
34,0,el,
35,0,el,
36,0,el,
37,0,el,
38,0,el,
39,1,el,
40,0,el,
41,0,el,
42,1,el,
43,0,el,
44,0,el,
45,0,el,
46,1,el,
47,0,el,
48,0,el,
49,0,el,
50,0,el,
51,0,el,
52,0,el,
53,0,el,
54,0,el,
55,0,el,
56,0,el,
57,0,el,
58,0,el,
59,1,el,
60,1,el,
61,1,el,
62,0,el,
63,0,el,
64,0,el,
65,0,el,
66,0,el,
67,1,el,
68,0,el,
69,0,el,
70,1,el,
71,0,el,
72,1,el,
73,0,el,
74,0,el,
75,1,el,
76,1,el,
77,1,el,
78,0,el,
79,0,el,
80,1,el,
81,0,el,
82,0,el,
83,0,el,
84,0,el,
85,1,el,
86,0,el,
87,1,el,
88,1,el,
89,0,el,
90,0,el,
91,0,el,
92,0,el,
93,0,el,
94,1,el,
95,1,el,
96,0,el,
97,0,el,
98,0,el,
99,0,el,
100,0,el,
101,0,el,
102,0,el,
103,0,el,
104,0,el,
105,0,el,
106,0,el,
107,0,el,
108,0,el,
109,0,el,
110,0,el,
111,0,el,
112,0,el,
113,0,el,
114,0,el,
115,0,el,
116,0,el,
117,0,el,
118,0,el,
119,0,el,
120,1,el,
121,0,el,
122,0,el,
123,0,el,
124,0,el,
125,0,el,
126,0,el,
127,0,el,
128,0,el,
129,0,el,
130,0,el,
131,1,el,
132,0,el,
133,0,el,
134,1,el,
135,0,el,
136,1,el,
137,1,el,
138,0,el,
139,0,el,
140,0,el,
141,1,el,
142,1,el,
143,0,el,
144,1,el,
145,0,el,
146,0,el,
147,0,el,
148,1,el,
149,0,el,
150,1,el,
151,1,el,
152,0,el,
153,0,el,
154,0,el,
155,0,el,
156,0,el,
157,0,el,
158,0,el,
159,1,el,
160,1,el,
161,0,el,
162,0,el,
163,1,el,
164,0,el,
165,0,el,
166,0,el,
167,1,el,
168,0,el,
169,0,el,
170,0,el,
171,0,el,
172,0,el,
173,0,el,
174,0,el,
175,0,el,
176,0,el,
177,0,el,
178,0,el,
179,0,el,
180,0,el,
181,1,el,
182,0,el,
183,1,el,
184,0,el,
185,0,el,
186,0,el,
187,0,el,
188,0,el,
189,0,el,
190,0,el,
191,0,el,
192,0,el,
193,0,el,
194,0,el,
195,0,el,
196,0,el,
197,1,el,
198,0,el,
199,0,el,
200,0,el,
201,1,el,
202,0,el,
203,0,el,
204,0,el,
205,0,el,
206,1,el,
207,0,el,
208,1,el,
209,0,el,
210,0,el,
211,0,el,
212,0,el,
213,1,el,
214,0,el,
215,0,el,
216,0,el,
217,0,el,
218,0,el,
219,1,el,
220,0,el,
221,0,el,
222,1,el,
223,0,el,
224,0,el,
225,0,el,
226,0,el,
227,0,el,
228,0,el,
229,0,el,
230,0,el,
231,0,el,
232,1,el,
233,0,el,
234,0,el,
235,0,el,
236,0,el,
237,0,el,
238,0,el,
239,0,el,
240,0,el,
241,1,el,
242,0,el,
243,1,el,
244,1,el,
245,0,el,
246,0,el,
247,0,el,
248,0,el,
249,0,el,
250,0,el,
251,0,el,
252,0,el,
253,0,el,
254,0,el,
255,0,el,
256,0,el,
257,0,el,
258,0,el,
259,1,el,
260,0,el,
261,0,el,
262,0,el,
263,0,el,
264,0,el,
265,0,el,
266,0,el,
267,0,el,
268,0,el,
269,0,el,
270,0,el,
271,0,el,
272,0,el,
273,0,el,
274,0,el,
275,0,el,
276,0,el,
277,0,el,
278,1,el,
279,1,el,
280,0,el,
281,0,el,
282,0,el,
283,1,el,
284,0,el,
285,0,el,
286,0,el,
287,1,el,
288,0,el,
289,0,el,
290,1,el,
291,1,el,
292,0,el,
293,0,el,
294,0,el,
295,0,el,
296,0,el,
297,0,el,
298,0,el,
299,0,el,
300,0,el,
301,0,el,
302,0,el,
303,0,el,
304,0,el,
305,0,el,
306,1,el,
307,0,el,
308,0,el,
309,0,el,
310,1,el,
311,0,el,
312,1,el,
313,1,el,
314,1,el,
315,1,el,
316,1,el,
317,1,el,
318,0,el,
319,0,el,
320,0,el,
321,0,el,
322,0,el,
323,1,el,
324,0,el,
325,1,el,
326,0,el,
327,0,el,
328,0,el,
329,0,el,
330,0,el,
331,1,el,
332,0,el,
333,1,el,
334,0,el,
335,0,el,
336,0,el,
337,1,el,
338,0,el,
339,0,el,
340,0,el,
341,1,el,
342,0,el,
343,0,el,
344,0,el,
345,0,el,
346,1,el,
347,1,el,
348,0,el,
349,0,el,
350,1,el,
351,0,el,
352,0,el,
353,0,el,
354,0,el,
355,0,el,
356,0,el,
357,0,el,
358,0,el,
359,0,el,
360,0,el,
361,0,el,
362,0,el,
363,0,el,
364,0,el,
365,0,el,
366,0,el,
367,0,el,
368,0,el,
369,0,el,
370,0,el,
371,1,el,
372,1,el,
373,1,el,
374,0,el,
375,1,el,
376,1,el,
377,0,el,
378,0,el,
379,1,el,
380,0,el,
381,0,el,
382,0,el,
383,0,el,
384,0,el,
385,1,el,
386,1,el,
387,0,el,
388,0,el,
389,0,el,
390,0,el,
391,0,el,
392,0,el,
393,0,el,
394,0,el,
395,0,el,
396,0,el,
397,0,el,
398,1,el,
399,0,el,
400,0,el,
401,1,el,
402,0,el,
403,0,el,
404,0,el,
405,0,el,
406,0,el,
407,1,el,
408,0,el,
409,0,el,
