id,prediction,language,error
0,0,fi,
1,0,fi,
2,0,fi,
3,0,fi,
4,0,fi,
5,0,fi,
6,0,fi,
7,0,fi,
8,0,fi,
9,0,fi,
10,0,fi,
11,0,fi,
12,0,fi,
13,0,fi,
14,0,fi,
15,0,fi,
16,1,fi,
17,0,fi,
18,0,fi,
19,0,fi,
20,0,fi,
21,0,fi,
22,0,fi,
23,0,fi,
24,0,fi,
25,0,fi,
26,0,fi,
27,0,fi,
28,0,fi,
29,0,fi,
30,0,fi,
31,0,fi,
32,0,fi,
33,1,fi,
34,0,fi,
35,1,fi,
36,0,fi,
37,0,fi,
38,0,fi,
39,0,fi,
40,0,fi,
41,0,fi,
42,0,fi,
43,0,fi,
44,0,fi,
45,0,fi,
46,0,fi,
47,0,fi,
48,0,fi,
49,0,fi,
50,0,fi,
51,0,fi,
52,0,fi,
53,0,fi,
54,0,fi,
55,0,fi,
56,0,fi,
57,0,fi,
58,0,fi,
59,0,fi,
60,0,fi,
61,0,fi,
62,0,fi,
63,0,fi,
64,0,fi,
65,0,fi,
66,0,fi,
67,0,fi,
68,0,fi,
69,0,fi,
70,0,fi,
71,0,fi,
72,0,fi,
73,0,fi,
74,0,fi,
75,0,fi,
76,0,fi,
77,0,fi,
78,0,fi,
79,0,fi,
80,0,fi,
81,0,fi,
82,0,fi,
83,0,fi,
84,0,fi,
85,0,fi,
86,0,fi,
87,0,fi,
88,0,fi,
89,0,fi,
90,0,fi,
91,0,fi,
92,0,fi,
93,0,fi,
94,0,fi,
95,0,fi,
96,0,fi,
97,0,fi,
98,0,fi,
99,0,fi,
100,0,fi,
101,0,fi,
102,0,fi,
103,0,fi,
104,0,fi,
105,0,fi,
106,0,fi,
107,0,fi,
108,0,fi,
109,0,fi,
110,0,fi,
111,0,fi,
112,0,fi,
113,0,fi,
114,0,fi,
115,0,fi,
116,0,fi,
117,0,fi,
118,0,fi,
119,0,fi,
120,0,fi,
121,0,fi,
122,0,fi,
123,0,fi,
124,0,fi,
125,0,fi,
126,0,fi,
127,0,fi,
128,0,fi,
129,0,fi,
130,0,fi,
131,0,fi,
132,0,fi,
133,0,fi,
134,0,fi,
135,0,fi,
136,0,fi,
137,0,fi,
138,0,fi,
139,1,fi,
140,0,fi,
141,0,fi,
142,0,fi,
143,0,fi,
144,0,fi,
145,0,fi,
146,0,fi,
147,0,fi,
148,0,fi,
149,0,fi,
150,0,fi,
151,0,fi,
152,0,fi,
153,0,fi,
154,0,fi,
155,0,fi,
156,0,fi,
157,0,fi,
158,0,fi,
159,0,fi,
160,0,fi,
161,0,fi,
162,0,fi,
163,0,fi,
164,0,fi,
165,0,fi,
166,0,fi,
167,0,fi,
168,0,fi,
169,0,fi,
170,0,fi,
171,0,fi,
172,0,fi,
173,0,fi,
174,0,fi,
175,0,fi,
176,0,fi,
177,1,fi,
178,0,fi,
179,0,fi,
180,0,fi,
181,0,fi,
182,0,fi,
183,0,fi,
184,1,fi,
185,0,fi,
186,0,fi,
187,0,fi,
188,0,fi,
189,0,fi,
190,0,fi,
191,0,fi,
192,0,fi,
193,0,fi,
194,0,fi,
195,0,fi,
196,0,fi,
197,0,fi,
198,0,fi,
199,0,fi,
200,0,fi,
201,0,fi,
202,0,fi,
203,0,fi,
204,0,fi,
205,0,fi,
206,0,fi,
207,0,fi,
208,0,fi,
209,0,fi,
210,0,fi,
211,0,fi,
212,0,fi,
213,0,fi,
214,0,fi,
215,0,fi,
216,0,fi,
217,0,fi,
218,0,fi,
219,0,fi,
220,0,fi,
221,0,fi,
222,0,fi,
223,0,fi,
224,0,fi,
225,0,fi,
226,0,fi,
227,0,fi,
228,1,fi,
229,0,fi,
230,0,fi,
231,0,fi,
232,0,fi,
233,1,fi,
234,0,fi,
235,0,fi,
236,0,fi,
237,0,fi,
238,0,fi,
239,0,fi,
240,0,fi,
241,0,fi,
242,0,fi,
