id,prediction,language,error
0,0,ru,
1,0,ru,
2,0,ru,
3,1,ru,
4,1,ru,
5,0,ru,
6,0,ru,
7,0,ru,
8,0,ru,
9,0,ru,
10,0,ru,
11,1,ru,
12,1,ru,
13,0,ru,
14,1,ru,
15,0,ru,
16,0,ru,
17,0,ru,
18,0,ru,
19,0,ru,
20,0,ru,
21,1,ru,
22,0,ru,
23,1,ru,
24,0,ru,
25,1,ru,
26,1,ru,
27,0,ru,
28,1,ru,
29,0,ru,
30,1,ru,
31,0,ru,
32,1,ru,
33,1,ru,
34,0,ru,
35,1,ru,
36,1,ru,
37,1,ru,
38,1,ru,
39,0,ru,
40,1,ru,
41,0,ru,
42,1,ru,
43,1,ru,
44,1,ru,
45,1,ru,
46,1,ru,
47,1,ru,
48,0,ru,
49,0,ru,
50,0,ru,
51,1,ru,
52,1,ru,
53,0,ru,
54,1,ru,
55,1,ru,
56,1,ru,
57,1,ru,
58,1,ru,
59,0,ru,
60,1,ru,
61,1,ru,
62,0,ru,
63,0,ru,
64,1,ru,
65,0,ru,
66,0,ru,
67,0,ru,
68,0,ru,
69,0,ru,
70,1,ru,
71,0,ru,
72,1,ru,
73,0,ru,
74,1,ru,
75,1,ru,
76,1,ru,
77,0,ru,
78,0,ru,
79,1,ru,
80,0,ru,
81,1,ru,
82,0,ru,
83,0,ru,
84,0,ru,
85,0,ru,
86,0,ru,
87,1,ru,
88,1,ru,
89,1,ru,
90,0,ru,
91,0,ru,
92,1,ru,
93,1,ru,
94,1,ru,
95,1,ru,
96,0,ru,
97,1,ru,
98,0,ru,
99,0,ru,
100,1,ru,
101,1,ru,
102,0,ru,
103,0,ru,
104,1,ru,
105,0,ru,
106,0,ru,
107,1,ru,
108,0,ru,
109,0,ru,
110,1,ru,
111,0,ru,
112,0,ru,
113,0,ru,
114,1,ru,
115,0,ru,
116,0,ru,
117,0,ru,
118,1,ru,
119,0,ru,
120,0,ru,
121,0,ru,
122,0,ru,
123,0,ru,
124,0,ru,
125,0,ru,
126,0,ru,
127,0,ru,
128,1,ru,
129,0,ru,
130,0,ru,
131,1,ru,
132,0,ru,
133,1,ru,
134,0,ru,
135,1,ru,
136,1,ru,
137,0,ru,
138,1,ru,
139,0,ru,
140,0,ru,
141,0,ru,
142,1,ru,
143,0,ru,
144,0,ru,
145,0,ru,
146,1,ru,
147,1,ru,
148,1,ru,
149,0,ru,
150,1,ru,
151,0,ru,
152,0,ru,
153,1,ru,
154,1,ru,
155,0,ru,
156,1,ru,
157,1,ru,
158,0,ru,
159,1,ru,
160,1,ru,
161,0,ru,
162,1,ru,
163,0,ru,
164,1,ru,
165,1,ru,
166,0,ru,
167,0,ru,
168,0,ru,
169,0,ru,
170,0,ru,
171,0,ru,
172,1,ru,
173,1,ru,
174,0,ru,
175,1,ru,
176,0,ru,
177,0,ru,
178,1,ru,
179,1,ru,
180,0,ru,
181,0,ru,
182,1,ru,
183,0,ru,
184,1,ru,
185,0,ru,
186,1,ru,
187,1,ru,
188,1,ru,
189,0,ru,
190,0,ru,
191,1,ru,
192,0,ru,
193,1,ru,
194,1,ru,
195,1,ru,
196,0,ru,
197,0,ru,
198,1,ru,
199,1,ru,
200,0,ru,
201,1,ru,
202,0,ru,
203,0,ru,
204,0,ru,
205,0,ru,
206,0,ru,
207,1,ru,
208,0,ru,
209,1,ru,
210,1,ru,
211,0,ru,
212,0,ru,
213,1,ru,
214,0,ru,
215,0,ru,
216,0,ru,
217,0,ru,
218,1,ru,
219,1,ru,
220,0,ru,
221,1,ru,
222,1,ru,
223,0,ru,
224,1,ru,
225,1,ru,
