id,prediction,language,error
0,1,fr,
1,1,fr,
2,0,fr,
3,1,fr,
4,1,fr,
5,1,fr,
6,1,fr,
7,0,fr,
8,1,fr,
9,0,fr,
10,0,fr,
11,1,fr,
12,0,fr,
13,0,fr,
14,1,fr,
15,0,fr,
16,1,fr,
17,1,fr,
18,0,fr,
19,1,fr,
20,1,fr,
21,0,fr,
22,1,fr,
23,0,fr,
24,0,fr,
25,0,fr,
26,0,fr,
27,0,fr,
28,0,fr,
29,1,fr,
30,1,fr,
31,0,fr,
32,0,fr,
33,1,fr,
34,0,fr,
35,0,fr,
36,1,fr,
37,1,fr,
38,1,fr,
39,1,fr,
40,0,fr,
41,0,fr,
42,0,fr,
43,0,fr,
44,0,fr,
45,1,fr,
46,0,fr,
47,1,fr,
48,1,fr,
49,0,fr,
50,0,fr,
51,1,fr,
52,0,fr,
53,0,fr,
54,0,fr,
55,1,fr,
56,0,fr,
57,1,fr,
58,1,fr,
59,1,fr,
60,1,fr,
61,1,fr,
62,1,fr,
63,0,fr,
64,0,fr,
65,1,fr,
66,1,fr,
67,0,fr,
68,1,fr,
69,0,fr,
70,1,fr,
71,1,fr,
72,1,fr,
73,1,fr,
74,1,fr,
75,1,fr,
76,1,fr,
77,1,fr,
78,1,fr,
79,1,fr,
80,1,fr,
81,1,fr,
82,1,fr,
83,0,fr,
84,0,fr,
85,1,fr,
86,1,fr,
87,1,fr,
88,1,fr,
89,1,fr,
90,0,fr,
91,1,fr,
92,0,fr,
93,1,fr,
94,0,fr,
95,0,fr,
96,0,fr,
97,0,fr,
98,1,fr,
99,0,fr,
100,1,fr,
101,1,fr,
102,0,fr,
103,0,fr,
104,1,fr,
105,1,fr,
106,0,fr,
107,1,fr,
108,1,fr,
109,0,fr,
110,1,fr,
111,0,fr,
112,0,fr,
113,1,fr,
114,1,fr,
115,1,fr,
116,0,fr,
117,1,fr,
118,0,fr,
119,1,fr,
120,1,fr,
121,1,fr,
122,0,fr,
123,0,fr,
124,0,fr,
125,0,fr,
126,0,fr,
127,0,fr,
128,1,fr,
129,0,fr,
130,0,fr,
131,1,fr,
132,1,fr,
133,1,fr,
134,0,fr,
135,0,fr,
136,1,fr,
137,0,fr,
138,1,fr,
139,1,fr,
140,0,fr,
141,0,fr,
142,0,fr,
143,0,fr,
144,1,fr,
145,1,fr,
146,1,fr,
147,1,fr,
148,1,fr,
149,1,fr,
150,0,fr,
151,0,fr,
152,1,fr,
153,1,fr,
154,1,fr,
155,0,fr,
156,1,fr,
157,1,fr,
158,0,fr,
159,0,fr,
160,0,fr,
161,0,fr,
162,0,fr,
163,1,fr,
164,1,fr,
165,1,fr,
166,1,fr,
167,0,fr,
168,0,fr,
169,0,fr,
170,1,fr,
171,1,fr,
172,0,fr,
173,0,fr,
174,0,fr,
175,0,fr,
176,0,fr,
177,1,fr,
178,1,fr,
179,1,fr,
180,1,fr,
181,0,fr,
182,0,fr,
183,0,fr,
184,0,fr,
185,1,fr,
186,0,fr,
187,1,fr,
188,0,fr,
189,0,fr,
190,1,fr,
191,0,fr,
192,1,fr,
193,1,fr,
194,1,fr,
195,0,fr,
196,0,fr,
197,1,fr,
198,1,fr,
199,1,fr,
200,1,fr,
201,0,fr,
202,0,fr,
203,0,fr,
204,0,fr,
205,1,fr,
206,1,fr,
207,1,fr,
208,1,fr,
209,0,fr,
210,0,fr,
211,0,fr,
212,0,fr,
213,0,fr,
214,1,fr,
215,0,fr,
216,0,fr,
217,1,fr,
218,0,fr,
219,0,fr,
220,0,fr,
221,0,fr,
222,1,fr,
223,1,fr,
224,0,fr,
225,1,fr,
226,0,fr,
227,1,fr,
228,0,fr,
229,0,fr,
230,1,fr,
231,1,fr,
232,1,fr,
233,1,fr,
234,1,fr,
235,0,fr,
236,1,fr,
237,0,fr,
238,1,fr,
239,1,fr,
240,0,fr,
241,1,fr,
242,1,fr,
243,1,fr,
244,0,fr,
245,0,fr,
246,0,fr,
247,0,fr,
248,1,fr,
249,0,fr,
250,0,fr,
251,1,fr,
252,1,fr,
253,1,fr,
254,0,fr,
255,1,fr,
256,1,fr,
257,1,fr,
258,1,fr,
259,1,fr,
260,1,fr,
261,1,fr,
262,1,fr,
263,1,fr,
264,1,fr,
265,1,fr,
266,1,fr,
267,1,fr,
268,0,fr,
269,1,fr,
270,0,fr,
271,1,fr,
272,1,fr,
273,0,fr,
274,0,fr,
275,1,fr,
276,1,fr,
277,0,fr,
278,1,fr,
279,1,fr,
280,0,fr,
281,1,fr,
282,0,fr,
283,1,fr,
284,0,fr,
285,1,fr,
286,0,fr,
287,0,fr,
288,1,fr,
289,1,fr,
290,1,fr,
291,1,fr,
292,1,fr,
293,0,fr,
294,1,fr,
295,1,fr,
296,0,fr,
297,1,fr,
298,1,fr,
299,0,fr,
300,1,fr,
301,1,fr,
302,0,fr,
303,1,fr,
304,1,fr,
305,1,fr,
306,0,fr,
307,1,fr,
308,1,fr,
309,0,fr,
310,1,fr,
311,1,fr,
312,0,fr,
313,0,fr,
314,0,fr,
315,0,fr,
316,1,fr,
317,0,fr,
318,1,fr,
319,1,fr,
320,1,fr,
321,1,fr,
322,1,fr,
323,1,fr,
324,1,fr,
325,0,fr,
326,0,fr,
327,1,fr,
328,0,fr,
329,1,fr,
330,1,fr,
331,1,fr,
332,1,fr,
333,0,fr,
334,1,fr,
335,0,fr,
336,1,fr,
337,1,fr,
338,0,fr,
339,1,fr,
340,1,fr,
341,1,fr,
342,1,fr,
343,1,fr,
344,1,fr,
345,0,fr,
346,0,fr,
347,0,fr,
348,1,fr,
349,0,fr,
350,1,fr,
351,1,fr,
352,0,fr,
353,1,fr,
354,1,fr,
355,1,fr,
356,1,fr,
357,0,fr,
358,1,fr,
359,0,fr,
360,1,fr,
361,0,fr,
362,0,fr,
363,1,fr,
364,0,fr,
365,1,fr,
366,0,fr,
367,0,fr,
368,1,fr,
369,1,fr,
370,1,fr,
371,0,fr,
372,0,fr,
373,0,fr,
374,1,fr,
375,1,fr,
376,1,fr,
377,1,fr,
378,1,fr,
379,1,fr,
380,0,fr,
381,1,fr,
382,1,fr,
383,0,fr,
384,1,fr,
385,0,fr,
386,0,fr,
387,0,fr,
388,0,fr,
389,0,fr,
390,0,fr,
391,0,fr,
392,0,fr,
393,1,fr,
394,1,fr,
395,0,fr,
396,1,fr,
397,0,fr,
398,0,fr,
399,1,fr,
400,0,fr,
401,1,fr,
402,0,fr,
403,0,fr,
404,0,fr,
405,0,fr,
406,0,fr,
407,0,fr,
408,1,fr,
409,1,fr,
410,1,fr,
411,1,fr,
412,1,fr,
413,1,fr,
414,1,fr,
415,1,fr,
416,0,fr,
417,0,fr,
418,0,fr,
419,0,fr,
420,0,fr,
421,0,fr,
422,0,fr,
423,0,fr,
424,1,fr,
425,0,fr,
426,0,fr,
427,1,fr,
428,1,fr,
429,0,fr,
430,1,fr,
431,0,fr,
432,0,fr,
433,1,fr,
434,1,fr,
435,1,fr,
436,1,fr,
437,1,fr,
438,1,fr,
439,1,fr,
440,0,fr,
441,0,fr,
442,0,fr,
443,0,fr,
444,0,fr,
445,0,fr,
446,0,fr,
447,0,fr,
448,0,fr,
449,0,fr,
450,0,fr,
451,1,fr,
452,0,fr,
453,0,fr,
454,0,fr,
455,1,fr,
456,0,fr,
457,0,fr,
458,0,fr,
459,0,fr,
460,0,fr,
461,0,fr,
462,0,fr,
463,0,fr,
464,0,fr,
465,1,fr,
466,1,fr,
467,0,fr,
468,1,fr,
469,1,fr,
470,0,fr,
471,0,fr,
472,1,fr,
473,1,fr,
474,0,fr,
475,1,fr,
476,1,fr,
477,1,fr,
478,1,fr,
479,0,fr,
480,1,fr,
481,1,fr,
482,1,fr,
483,0,fr,
484,1,fr,
485,1,fr,
486,1,fr,
487,0,fr,
488,0,fr,
489,1,fr,
490,1,fr,
491,0,fr,
492,0,fr,
493,0,fr,
494,0,fr,
495,0,fr,
496,1,fr,
497,1,fr,
498,1,fr,
499,1,fr,
500,1,fr,
501,0,fr,
502,1,fr,
503,0,fr,
504,0,fr,
505,0,fr,
506,0,fr,
507,0,fr,
508,1,fr,
509,0,fr,
510,1,fr,
511,0,fr,
512,0,fr,
513,0,fr,
514,1,fr,
515,1,fr,
516,0,fr,
517,0,fr,
518,0,fr,
519,1,fr,
520,1,fr,
521,1,fr,
522,1,fr,
523,1,fr,
524,1,fr,
525,1,fr,
526,1,fr,
527,0,fr,
528,1,fr,
529,1,fr,
530,1,fr,
531,1,fr,
532,1,fr,
533,0,fr,
534,0,fr,
535,1,fr,
536,0,fr,
537,0,fr,
538,0,fr,
539,1,fr,
540,1,fr,
541,1,fr,
542,1,fr,
543,1,fr,
544,0,fr,
545,0,fr,
546,0,fr,
547,0,fr,
548,0,fr,
549,1,fr,
550,1,fr,
551,1,fr,
552,1,fr,
553,0,fr,
554,0,fr,
555,1,fr,
556,1,fr,
557,1,fr,
558,1,fr,
559,1,fr,
560,0,fr,
561,1,fr,
562,1,fr,
563,1,fr,
564,0,fr,
565,0,fr,
566,1,fr,
567,0,fr,
568,1,fr,
569,0,fr,
570,0,fr,
571,1,fr,
572,1,fr,
573,0,fr,
574,0,fr,
575,0,fr,
576,1,fr,
577,0,fr,
578,1,fr,
579,0,fr,
580,1,fr,
581,0,fr,
582,1,fr,
583,1,fr,
584,1,fr,
585,1,fr,
586,0,fr,
587,0,fr,
588,1,fr,
589,0,fr,
590,0,fr,
591,0,fr,
592,0,fr,
593,0,fr,
594,1,fr,
595,1,fr,
596,1,fr,
597,0,fr,
598,1,fr,
599,1,fr,
600,0,fr,
601,0,fr,
602,1,fr,
603,1,fr,
604,1,fr,
605,1,fr,
606,1,fr,
607,1,fr,
608,1,fr,
609,0,fr,
610,0,fr,
611,1,fr,
612,0,fr,
613,0,fr,
614,1,fr,
615,0,fr,
616,0,fr,
617,0,fr,
618,0,fr,
619,0,fr,
620,0,fr,
621,0,fr,
622,0,fr,
623,1,fr,
624,1,fr,
625,1,fr,
626,1,fr,
627,0,fr,
628,1,fr,
629,0,fr,
630,1,fr,
631,0,fr,
632,0,fr,
633,0,fr,
634,1,fr,
635,1,fr,
636,0,fr,
637,0,fr,
638,1,fr,
639,1,fr,
640,1,fr,
641,1,fr,
642,1,fr,
643,1,fr,
644,1,fr,
645,0,fr,
646,1,fr,
647,1,fr,
648,1,fr,
649,1,fr,
650,1,fr,
651,0,fr,
652,0,fr,
653,0,fr,
654,1,fr,
655,0,fr,
656,0,fr,
657,1,fr,
658,1,fr,
659,0,fr,
660,1,fr,
661,1,fr,
662,1,fr,
663,1,fr,
664,1,fr,
665,0,fr,
666,0,fr,
667,1,fr,
668,1,fr,
669,1,fr,
670,0,fr,
671,0,fr,
672,1,fr,
673,1,fr,
674,0,fr,
675,1,fr,
676,1,fr,
677,1,fr,
678,1,fr,
679,1,fr,
680,1,fr,
681,1,fr,
682,0,fr,
683,0,fr,
684,0,fr,
685,1,fr,
686,1,fr,
687,0,fr,
688,1,fr,
689,1,fr,
690,0,fr,
691,0,fr,
692,0,fr,
693,0,fr,
694,0,fr,
695,1,fr,
696,0,fr,
697,1,fr,
698,0,fr,
699,1,fr,
700,1,fr,
701,1,fr,
702,0,fr,
703,0,fr,
704,1,fr,
705,0,fr,
706,1,fr,
707,0,fr,
708,1,fr,
709,1,fr,
710,1,fr,
711,1,fr,
712,0,fr,
713,0,fr,
714,0,fr,
715,1,fr,
716,1,fr,
717,1,fr,
718,0,fr,
719,0,fr,
720,1,fr,
721,0,fr,
722,1,fr,
723,0,fr,
724,0,fr,
725,0,fr,
726,0,fr,
727,0,fr,
728,1,fr,
729,0,fr,
730,0,fr,
731,0,fr,
732,1,fr,
733,1,fr,
734,0,fr,
735,0,fr,
736,0,fr,
737,1,fr,
738,0,fr,
739,0,fr,
740,0,fr,
741,0,fr,
742,0,fr,
743,0,fr,
744,1,fr,
745,1,fr,
746,1,fr,
747,1,fr,
748,0,fr,
749,1,fr,
750,1,fr,
751,1,fr,
752,0,fr,
753,1,fr,
754,1,fr,
755,1,fr,
756,1,fr,
757,1,fr,
758,1,fr,
759,1,fr,
760,0,fr,
761,1,fr,
762,0,fr,
763,1,fr,
764,0,fr,
765,0,fr,
766,0,fr,
767,0,fr,
768,0,fr,
769,1,fr,
770,0,fr,
771,0,fr,
772,0,fr,
773,1,fr,
774,0,fr,
775,1,fr,
776,0,fr,
777,0,fr,
778,1,fr,
779,0,fr,
780,0,fr,
781,1,fr,
782,0,fr,
783,1,fr,
784,0,fr,
785,0,fr,
786,1,fr,
787,1,fr,
788,1,fr,
789,1,fr,
790,1,fr,
791,1,fr,
792,0,fr,
793,0,fr,
794,0,fr,
795,1,fr,
796,1,fr,
797,1,fr,
798,1,fr,
799,1,fr,
800,0,fr,
801,1,fr,
802,0,fr,
803,0,fr,
804,1,fr,
805,1,fr,
806,1,fr,
807,0,fr,
808,0,fr,
809,1,fr,
810,0,fr,
811,1,fr,
812,1,fr,
813,1,fr,
814,0,fr,
815,0,fr,
816,1,fr,
817,1,fr,
818,1,fr,
819,0,fr,
820,0,fr,
821,0,fr,
822,1,fr,
823,1,fr,
824,1,fr,
825,1,fr,
826,0,fr,
827,1,fr,
828,0,fr,
829,0,fr,
830,1,fr,
831,1,fr,
832,0,fr,
833,0,fr,
834,0,fr,
835,1,fr,
836,0,fr,
837,0,fr,
838,0,fr,
839,0,fr,
840,0,fr,
841,1,fr,
842,0,fr,
843,0,fr,
844,1,fr,
845,1,fr,
846,0,fr,
847,1,fr,
848,1,fr,
849,0,fr,
850,0,fr,
851,1,fr,
852,1,fr,
853,0,fr,
854,0,fr,
855,0,fr,
856,1,fr,
857,1,fr,
858,1,fr,
859,1,fr,
860,1,fr,
861,1,fr,
862,1,fr,
863,1,fr,
864,1,fr,
865,1,fr,
866,1,fr,
867,1,fr,
868,0,fr,
869,1,fr,
870,1,fr,
871,1,fr,
872,1,fr,
873,0,fr,
874,0,fr,
875,1,fr,
876,1,fr,
877,1,fr,
878,1,fr,
879,1,fr,
880,1,fr,
881,0,fr,
882,1,fr,
883,1,fr,
884,1,fr,
885,1,fr,
886,1,fr,
887,0,fr,
888,1,fr,
889,0,fr,
890,1,fr,
891,0,fr,
892,0,fr,
893,1,fr,
894,1,fr,
895,0,fr,
896,1,fr,
897,1,fr,
898,1,fr,
899,1,fr,
900,1,fr,
901,1,fr,
902,0,fr,
903,0,fr,
904,1,fr,
905,0,fr,
906,1,fr,
907,1,fr,
908,1,fr,
909,1,fr,
910,1,fr,
911,1,fr,
912,1,fr,
913,1,fr,
914,1,fr,
915,1,fr,
916,0,fr,
917,1,fr,
918,1,fr,
919,0,fr,
920,1,fr,
921,1,fr,
922,1,fr,
923,1,fr,
924,1,fr,
925,1,fr,
926,1,fr,
927,1,fr,
928,0,fr,
929,1,fr,
930,0,fr,
931,1,fr,
932,0,fr,
933,0,fr,
934,1,fr,
935,0,fr,
936,0,fr,
937,0,fr,
938,0,fr,
939,0,fr,
940,0,fr,
941,0,fr,
942,0,fr,
943,0,fr,
944,0,fr,
945,0,fr,
946,0,fr,
947,0,fr,
948,1,fr,
949,0,fr,
950,0,fr,
951,0,fr,
952,1,fr,
953,1,fr,
954,0,fr,
955,0,fr,
956,0,fr,
957,1,fr,
958,1,fr,
959,0,fr,
960,1,fr,
961,1,fr,
962,1,fr,
963,1,fr,
964,0,fr,
965,1,fr,
966,1,fr,
967,1,fr,
968,1,fr,
969,1,fr,
970,1,fr,
971,0,fr,
972,1,fr,
973,0,fr,
974,1,fr,
975,1,fr,
976,1,fr,
977,0,fr,
978,1,fr,
979,0,fr,
980,1,fr,
981,1,fr,
982,0,fr,
983,1,fr,
984,1,fr,
985,1,fr,
986,1,fr,
987,1,fr,
988,1,fr,
989,1,fr,
990,1,fr,
991,1,fr,
992,1,fr,
993,1,fr,
994,0,fr,
995,1,fr,
996,1,fr,
997,1,fr,
998,1,fr,
999,0,fr,
