id,prediction,language,error
0,0,nl,
1,1,nl,
2,0,nl,
3,0,nl,
4,0,nl,
5,0,nl,
6,0,nl,
7,0,nl,
8,0,nl,
9,0,nl,
10,0,nl,
11,1,nl,
12,0,nl,
13,0,nl,
14,1,nl,
15,0,nl,
16,0,nl,
17,1,nl,
18,0,nl,
19,1,nl,
20,0,nl,
21,1,nl,
22,1,nl,
23,0,nl,
24,0,nl,
25,1,nl,
26,0,nl,
27,1,nl,
28,1,nl,
29,1,nl,
30,1,nl,
31,0,nl,
32,1,nl,
33,1,nl,
34,1,nl,
35,0,nl,
36,0,nl,
37,0,nl,
38,0,nl,
39,1,nl,
40,0,nl,
41,1,nl,
42,1,nl,
43,1,nl,
44,1,nl,
45,0,nl,
46,1,nl,
47,1,nl,
48,0,nl,
49,1,nl,
50,1,nl,
51,0,nl,
52,0,nl,
53,0,nl,
54,1,nl,
55,1,nl,
56,1,nl,
57,0,nl,
58,0,nl,
59,0,nl,
60,0,nl,
61,0,nl,
62,1,nl,
63,0,nl,
64,0,nl,
65,1,nl,
66,1,nl,
67,0,nl,
68,0,nl,
69,1,nl,
70,1,nl,
71,1,nl,
72,0,nl,
73,0,nl,
74,0,nl,
75,0,nl,
76,1,nl,
77,0,nl,
78,0,nl,
79,0,nl,
80,1,nl,
81,0,nl,
82,1,nl,
83,0,nl,
84,0,nl,
85,1,nl,
86,0,nl,
87,0,nl,
88,0,nl,
89,1,nl,
90,0,nl,
91,0,nl,
92,0,nl,
93,0,nl,
94,0,nl,
95,0,nl,
96,1,nl,
97,1,nl,
98,0,nl,
99,0,nl,
100,0,nl,
101,0,nl,
102,1,nl,
103,0,nl,
104,0,nl,
105,0,nl,
106,0,nl,
107,0,nl,
108,0,nl,
109,1,nl,
110,0,nl,
111,0,nl,
112,1,nl,
113,0,nl,
114,0,nl,
115,1,nl,
116,0,nl,
117,1,nl,
118,0,nl,
119,0,nl,
120,1,nl,
121,0,nl,
122,0,nl,
123,1,nl,
124,1,nl,
125,1,nl,
126,1,nl,
127,1,nl,
128,0,nl,
129,0,nl,
130,1,nl,
131,1,nl,
132,1,nl,
133,0,nl,
134,1,nl,
135,1,nl,
136,0,nl,
137,0,nl,
138,0,nl,
139,0,nl,
140,0,nl,
141,1,nl,
142,0,nl,
143,0,nl,
144,0,nl,
145,1,nl,
146,1,nl,
147,0,nl,
148,0,nl,
149,0,nl,
150,0,nl,
151,1,nl,
152,1,nl,
153,0,nl,
154,1,nl,
155,1,nl,
156,1,nl,
157,1,nl,
158,0,nl,
159,1,nl,
160,0,nl,
161,1,nl,
162,1,nl,
163,0,nl,
164,0,nl,
165,1,nl,
166,1,nl,
167,1,nl,
168,1,nl,
169,0,nl,
170,1,nl,
171,0,nl,
172,1,nl,
173,0,nl,
174,1,nl,
175,1,nl,
176,1,nl,
177,0,nl,
178,0,nl,
179,1,nl,
180,0,nl,
181,0,nl,
182,0,nl,
183,1,nl,
184,0,nl,
185,0,nl,
186,0,nl,
187,0,nl,
188,1,nl,
189,1,nl,
190,1,nl,
191,1,nl,
192,0,nl,
193,0,nl,
194,1,nl,
195,0,nl,
196,0,nl,
197,1,nl,
198,1,nl,
199,0,nl,
200,0,nl,
201,0,nl,
202,0,nl,
203,0,nl,
204,0,nl,
205,1,nl,
206,1,nl,
207,0,nl,
208,1,nl,
209,1,nl,
210,1,nl,
211,0,nl,
212,0,nl,
213,1,nl,
214,1,nl,
215,0,nl,
216,0,nl,
217,1,nl,
218,1,nl,
219,0,nl,
220,0,nl,
221,0,nl,
222,1,nl,
223,0,nl,
224,0,nl,
225,0,nl,
226,1,nl,
227,0,nl,
228,1,nl,
229,0,nl,
230,1,nl,
231,0,nl,
232,1,nl,
233,0,nl,
234,1,nl,
235,0,nl,
236,1,nl,
237,0,nl,
238,0,nl,
239,0,nl,
240,0,nl,
241,0,nl,
242,0,nl,
243,1,nl,
244,1,nl,
245,1,nl,
246,0,nl,
247,1,nl,
248,0,nl,
249,1,nl,
250,0,nl,
251,1,nl,
252,0,nl,
253,1,nl,
254,1,nl,
255,0,nl,
256,0,nl,
257,1,nl,
258,0,nl,
259,0,nl,
260,0,nl,
261,1,nl,
262,0,nl,
263,1,nl,
264,0,nl,
265,0,nl,
266,0,nl,
267,1,nl,
268,1,nl,
269,1,nl,
270,0,nl,
271,0,nl,
272,0,nl,
273,1,nl,
274,1,nl,
275,0,nl,
276,0,nl,
277,0,nl,
278,0,nl,
279,0,nl,
280,0,nl,
281,1,nl,
282,0,nl,
283,1,nl,
284,1,nl,
285,0,nl,
286,0,nl,
287,1,nl,
288,1,nl,
289,0,nl,
290,0,nl,
291,1,nl,
292,1,nl,
293,0,nl,
294,1,nl,
295,0,nl,
296,0,nl,
297,0,nl,
298,1,nl,
299,0,nl,
300,1,nl,
301,1,nl,
302,1,nl,
303,0,nl,
304,1,nl,
305,0,nl,
306,0,nl,
307,0,nl,
308,0,nl,
309,0,nl,
310,0,nl,
311,0,nl,
312,1,nl,
313,0,nl,
314,1,nl,
315,1,nl,
316,1,nl,
317,1,nl,
318,0,nl,
319,0,nl,
320,0,nl,
321,0,nl,
322,0,nl,
323,0,nl,
324,0,nl,
325,0,nl,
326,1,nl,
327,0,nl,
328,0,nl,
329,0,nl,
330,1,nl,
331,1,nl,
332,0,nl,
333,0,nl,
334,0,nl,
335,0,nl,
336,0,nl,
337,0,nl,
338,0,nl,
339,1,nl,
340,1,nl,
341,0,nl,
342,0,nl,
343,0,nl,
344,0,nl,
345,0,nl,
346,0,nl,
347,1,nl,
348,1,nl,
349,0,nl,
350,0,nl,
351,1,nl,
352,1,nl,
353,1,nl,
354,0,nl,
355,0,nl,
356,1,nl,
357,1,nl,
358,0,nl,
359,1,nl,
360,1,nl,
361,1,nl,
362,1,nl,
363,0,nl,
364,1,nl,
365,0,nl,
366,0,nl,
367,1,nl,
368,1,nl,
369,1,nl,
370,1,nl,
371,1,nl,
372,1,nl,
373,0,nl,
374,0,nl,
375,0,nl,
376,0,nl,
377,1,nl,
378,0,nl,
379,1,nl,
380,1,nl,
381,1,nl,
382,1,nl,
383,0,nl,
384,1,nl,
385,1,nl,
386,0,nl,
387,0,nl,
388,1,nl,
389,1,nl,
390,0,nl,
391,0,nl,
392,1,nl,
393,0,nl,
394,0,nl,
395,0,nl,
396,0,nl,
397,0,nl,
398,0,nl,
399,0,nl,
400,1,nl,
401,0,nl,
402,1,nl,
403,0,nl,
404,1,nl,
405,1,nl,
406,1,nl,
407,0,nl,
408,0,nl,
409,0,nl,
410,0,nl,
411,0,nl,
412,1,nl,
413,0,nl,
414,0,nl,
415,1,nl,
416,0,nl,
417,0,nl,
418,0,nl,
419,0,nl,
420,1,nl,
421,1,nl,
422,0,nl,
423,1,nl,
424,1,nl,
425,0,nl,
426,1,nl,
427,0,nl,
428,0,nl,
429,0,nl,
430,1,nl,
431,0,nl,
432,0,nl,
433,0,nl,
434,1,nl,
435,0,nl,
436,1,nl,
437,0,nl,
438,0,nl,
439,0,nl,
440,0,nl,
441,0,nl,
442,0,nl,
443,0,nl,
444,1,nl,
445,0,nl,
446,0,nl,
447,0,nl,
448,1,nl,
449,1,nl,
450,1,nl,
451,1,nl,
452,0,nl,
453,0,nl,
454,0,nl,
455,0,nl,
456,1,nl,
457,1,nl,
458,0,nl,
459,0,nl,
460,0,nl,
461,0,nl,
462,1,nl,
463,0,nl,
464,0,nl,
465,0,nl,
466,0,nl,
467,0,nl,
468,1,nl,
469,0,nl,
470,0,nl,
471,0,nl,
472,0,nl,
473,1,nl,
474,0,nl,
475,0,nl,
476,0,nl,
477,0,nl,
478,0,nl,
479,0,nl,
480,0,nl,
481,0,nl,
482,0,nl,
483,0,nl,
484,1,nl,
485,1,nl,
486,0,nl,
487,0,nl,
488,1,nl,
489,0,nl,
490,1,nl,
491,0,nl,
492,1,nl,
493,0,nl,
494,0,nl,
495,1,nl,
496,0,nl,
497,0,nl,
498,1,nl,
499,1,nl,
500,1,nl,
501,0,nl,
502,1,nl,
503,0,nl,
504,0,nl,
505,0,nl,
506,1,nl,
507,1,nl,
508,1,nl,
509,0,nl,
510,1,nl,
511,1,nl,
512,0,nl,
513,1,nl,
514,1,nl,
515,0,nl,
516,1,nl,
517,1,nl,
518,0,nl,
519,1,nl,
520,1,nl,
521,0,nl,
522,0,nl,
523,0,nl,
524,1,nl,
525,1,nl,
526,1,nl,
527,1,nl,
528,1,nl,
529,1,nl,
530,0,nl,
531,1,nl,
532,0,nl,
533,1,nl,
534,1,nl,
535,0,nl,
536,0,nl,
537,0,nl,
538,0,nl,
539,0,nl,
540,1,nl,
541,1,nl,
542,0,nl,
543,1,nl,
544,1,nl,
545,0,nl,
546,1,nl,
547,0,nl,
548,0,nl,
549,0,nl,
550,0,nl,
551,0,nl,
552,1,nl,
553,0,nl,
554,1,nl,
555,0,nl,
556,1,nl,
557,1,nl,
558,1,nl,
559,0,nl,
560,0,nl,
561,1,nl,
562,0,nl,
563,0,nl,
564,1,nl,
565,0,nl,
566,0,nl,
567,1,nl,
568,0,nl,
569,0,nl,
570,1,nl,
571,0,nl,
572,0,nl,
573,1,nl,
574,0,nl,
575,0,nl,
576,1,nl,
577,0,nl,
578,1,nl,
579,1,nl,
580,0,nl,
581,1,nl,
582,1,nl,
583,0,nl,
584,0,nl,
585,0,nl,
586,0,nl,
587,0,nl,
588,1,nl,
589,1,nl,
590,1,nl,
591,0,nl,
592,0,nl,
593,0,nl,
594,0,nl,
595,0,nl,
596,0,nl,
597,0,nl,
598,0,nl,
599,1,nl,
600,0,nl,
601,1,nl,
602,1,nl,
603,1,nl,
604,0,nl,
605,1,nl,
606,0,nl,
607,0,nl,
608,1,nl,
609,0,nl,
610,0,nl,
611,1,nl,
612,0,nl,
613,1,nl,
614,0,nl,
615,1,nl,
616,1,nl,
617,0,nl,
618,1,nl,
619,0,nl,
620,1,nl,
621,0,nl,
622,0,nl,
623,0,nl,
624,0,nl,
625,0,nl,
626,0,nl,
627,0,nl,
628,0,nl,
629,0,nl,
630,1,nl,
631,0,nl,
632,1,nl,
633,1,nl,
634,0,nl,
635,1,nl,
636,0,nl,
637,0,nl,
638,0,nl,
639,1,nl,
640,1,nl,
641,1,nl,
642,1,nl,
643,0,nl,
