id,prediction,language,error
0,0,nl,
1,0,nl,
2,1,nl,
3,1,nl,
4,1,nl,
5,1,nl,
6,1,nl,
7,1,nl,
8,0,nl,
9,1,nl,
10,1,nl,
11,0,nl,
12,0,nl,
13,1,nl,
14,1,nl,
15,1,nl,
16,0,nl,
17,0,nl,
18,0,nl,
19,1,nl,
20,1,nl,
21,1,nl,
22,0,nl,
23,1,nl,
24,1,nl,
25,0,nl,
26,1,nl,
27,1,nl,
28,1,nl,
29,1,nl,
30,0,nl,
31,1,nl,
32,1,nl,
33,0,nl,
34,0,nl,
35,1,nl,
36,1,nl,
37,0,nl,
38,1,nl,
39,1,nl,
40,0,nl,
41,1,nl,
42,0,nl,
43,0,nl,
44,1,nl,
45,0,nl,
46,0,nl,
47,0,nl,
48,0,nl,
49,1,nl,
50,0,nl,
51,1,nl,
52,1,nl,
53,0,nl,
54,1,nl,
55,1,nl,
56,0,nl,
57,1,nl,
58,0,nl,
59,1,nl,
60,0,nl,
61,1,nl,
62,0,nl,
63,1,nl,
64,0,nl,
65,0,nl,
66,1,nl,
67,0,nl,
68,0,nl,
69,1,nl,
70,1,nl,
71,1,nl,
72,1,nl,
73,1,nl,
74,0,nl,
75,1,nl,
76,0,nl,
77,1,nl,
78,1,nl,
79,0,nl,
80,0,nl,
81,0,nl,
82,0,nl,
83,1,nl,
84,1,nl,
85,1,nl,
86,1,nl,
87,0,nl,
88,1,nl,
89,0,nl,
90,1,nl,
91,0,nl,
92,1,nl,
93,0,nl,
94,0,nl,
95,1,nl,
96,0,nl,
97,1,nl,
98,1,nl,
99,0,nl,
100,0,nl,
101,0,nl,
102,0,nl,
103,0,nl,
104,0,nl,
105,1,nl,
106,0,nl,
107,0,nl,
108,0,nl,
109,1,nl,
110,1,nl,
111,0,nl,
112,0,nl,
113,1,nl,
114,0,nl,
115,0,nl,
116,0,nl,
117,0,nl,
118,1,nl,
119,0,nl,
120,1,nl,
121,0,nl,
122,0,nl,
123,1,nl,
124,0,nl,
125,0,nl,
126,0,nl,
127,0,nl,
128,0,nl,
129,0,nl,
130,1,nl,
131,1,nl,
132,1,nl,
133,0,nl,
134,0,nl,
135,1,nl,
136,1,nl,
137,0,nl,
138,1,nl,
139,1,nl,
140,1,nl,
141,1,nl,
142,0,nl,
143,0,nl,
144,1,nl,
145,1,nl,
146,0,nl,
147,0,nl,
148,0,nl,
149,0,nl,
150,1,nl,
151,0,nl,
152,1,nl,
153,1,nl,
154,0,nl,
155,0,nl,
156,1,nl,
157,1,nl,
158,1,nl,
159,0,nl,
160,1,nl,
161,1,nl,
162,0,nl,
163,0,nl,
164,1,nl,
165,0,nl,
166,0,nl,
167,1,nl,
168,1,nl,
169,0,nl,
170,1,nl,
171,1,nl,
172,1,nl,
173,1,nl,
174,1,nl,
175,0,nl,
176,1,nl,
177,1,nl,
178,0,nl,
179,0,nl,
180,1,nl,
181,1,nl,
182,0,nl,
183,1,nl,
184,1,nl,
185,0,nl,
186,0,nl,
187,1,nl,
188,1,nl,
189,0,nl,
190,1,nl,
191,0,nl,
192,0,nl,
193,1,nl,
194,1,nl,
195,0,nl,
196,0,nl,
197,0,nl,
198,0,nl,
199,0,nl,
200,0,nl,
201,1,nl,
202,1,nl,
203,0,nl,
204,0,nl,
205,0,nl,
206,0,nl,
207,0,nl,
208,0,nl,
209,1,nl,
210,1,nl,
211,0,nl,
212,0,nl,
213,0,nl,
214,0,nl,
215,0,nl,
216,1,nl,
217,0,nl,
218,0,nl,
219,0,nl,
220,0,nl,
221,0,nl,
222,1,nl,
223,0,nl,
224,0,nl,
225,1,nl,
226,1,nl,
227,1,nl,
228,1,nl,
229,1,nl,
230,1,nl,
231,0,nl,
232,0,nl,
233,1,nl,
234,1,nl,
235,0,nl,
236,0,nl,
237,0,nl,
238,0,nl,
239,1,nl,
240,1,nl,
241,1,nl,
242,0,nl,
243,1,nl,
244,0,nl,
245,0,nl,
