id,prediction,language,error
0,1,ru,
1,1,ru,
2,0,ru,
3,0,ru,
4,0,ru,
5,1,ru,
6,1,ru,
7,0,ru,
8,1,ru,
9,1,ru,
10,0,ru,
11,0,ru,
12,0,ru,
13,0,ru,
14,0,ru,
15,0,ru,
16,0,ru,
17,0,ru,
18,1,ru,
19,0,ru,
20,0,ru,
21,0,ru,
22,0,ru,
23,1,ru,
24,0,ru,
25,0,ru,
26,1,ru,
27,0,ru,
28,0,ru,
29,1,ru,
30,1,ru,
31,0,ru,
32,0,ru,
33,0,ru,
34,0,ru,
35,0,ru,
36,0,ru,
37,0,ru,
38,1,ru,
39,0,ru,
40,0,ru,
41,0,ru,
42,0,ru,
43,0,ru,
44,0,ru,
45,0,ru,
46,0,ru,
47,0,ru,
48,0,ru,
49,0,ru,
50,1,ru,
51,1,ru,
52,1,ru,
53,1,ru,
54,1,ru,
55,0,ru,
56,0,ru,
57,0,ru,
58,0,ru,
59,0,ru,
60,0,ru,
61,0,ru,
62,0,ru,
63,0,ru,
64,1,ru,
65,0,ru,
66,1,ru,
67,0,ru,
68,1,ru,
69,0,ru,
70,0,ru,
71,1,ru,
72,0,ru,
73,1,ru,
74,1,ru,
75,0,ru,
76,0,ru,
77,1,ru,
78,0,ru,
79,0,ru,
80,0,ru,
81,0,ru,
82,0,ru,
83,0,ru,
84,1,ru,
85,0,ru,
86,0,ru,
87,0,ru,
88,1,ru,
89,1,ru,
90,0,ru,
91,0,ru,
92,1,ru,
93,0,ru,
94,0,ru,
95,1,ru,
96,1,ru,
97,0,ru,
98,0,ru,
99,0,ru,
100,0,ru,
101,0,ru,
102,0,ru,
103,0,ru,
104,1,ru,
105,0,ru,
106,0,ru,
107,1,ru,
108,0,ru,
109,0,ru,
110,1,ru,
111,1,ru,
112,0,ru,
113,0,ru,
114,0,ru,
115,0,ru,
116,1,ru,
117,0,ru,
118,1,ru,
119,1,ru,
120,0,ru,
121,0,ru,
122,0,ru,
123,0,ru,
124,1,ru,
125,1,ru,
126,1,ru,
127,1,ru,
128,0,ru,
129,0,ru,
130,0,ru,
131,0,ru,
132,0,ru,
133,1,ru,
134,0,ru,
135,1,ru,
136,1,ru,
137,1,ru,
138,0,ru,
139,0,ru,
140,0,ru,
