id,prediction,language,error
0,0,zh,
1,0,zh,
2,0,zh,
3,0,zh,
4,0,zh,
5,0,zh,
6,0,zh,
7,0,zh,
8,0,zh,
9,0,zh,
10,0,zh,
11,0,zh,
12,0,zh,
13,0,zh,
14,0,zh,
15,0,zh,
16,0,zh,
17,0,zh,
18,0,zh,
19,0,zh,
20,0,zh,
21,0,zh,
22,0,zh,
23,0,zh,
24,1,zh,
25,0,zh,
26,0,zh,
27,0,zh,
28,0,zh,
29,1,zh,
30,0,zh,
31,0,zh,
32,0,zh,
33,0,zh,
34,0,zh,
35,0,zh,
36,0,zh,
37,0,zh,
38,0,zh,
39,0,zh,
40,0,zh,
41,0,zh,
42,0,zh,
43,0,zh,
44,0,zh,
45,0,zh,
46,0,zh,
47,0,zh,
48,0,zh,
49,0,zh,
50,0,zh,
51,0,zh,
52,0,zh,
53,0,zh,
54,0,zh,
55,0,zh,
56,0,zh,
57,0,zh,
58,0,zh,
59,1,zh,
60,0,zh,
61,0,zh,
62,0,zh,
63,1,zh,
64,0,zh,
65,1,zh,
66,0,zh,
67,0,zh,
68,0,zh,
69,0,zh,
70,0,zh,
71,0,zh,
72,0,zh,
73,0,zh,
74,0,zh,
75,0,zh,
76,0,zh,
77,0,zh,
78,0,zh,
79,0,zh,
80,0,zh,
81,0,zh,
82,0,zh,
83,0,zh,
84,0,zh,
85,0,zh,
86,0,zh,
87,0,zh,
88,1,zh,
89,0,zh,
90,0,zh,
91,0,zh,
92,0,zh,
93,0,zh,
94,0,zh,
95,0,zh,
96,0,zh,
97,0,zh,
98,0,zh,
99,0,zh,
100,0,zh,
101,0,zh,
102,0,zh,
103,0,zh,
104,0,zh,
105,1,zh,
106,1,zh,
107,0,zh,
108,1,zh,
109,0,zh,
110,0,zh,
111,0,zh,
112,0,zh,
113,0,zh,
114,0,zh,
115,0,zh,
116,0,zh,
117,0,zh,
118,0,zh,
119,0,zh,
120,1,zh,
121,0,zh,
122,0,zh,
123,0,zh,
124,0,zh,
125,0,zh,
126,1,zh,
127,0,zh,
128,0,zh,
129,0,zh,
130,0,zh,
131,0,zh,
132,0,zh,
133,0,zh,
134,0,zh,
135,0,zh,
136,0,zh,
137,0,zh,
138,0,zh,
139,0,zh,
140,0,zh,
141,0,zh,
142,0,zh,
143,0,zh,
144,0,zh,
145,0,zh,
146,0,zh,
147,0,zh,
148,0,zh,
149,0,zh,
150,0,zh,
151,0,zh,
152,0,zh,
153,0,zh,
154,0,zh,
155,0,zh,
156,0,zh,
157,0,zh,
158,0,zh,
159,0,zh,
160,0,zh,
161,0,zh,
162,0,zh,
163,0,zh,
164,0,zh,
165,0,zh,
166,0,zh,
167,0,zh,
168,1,zh,
169,0,zh,
170,0,zh,
171,0,zh,
172,0,zh,
173,0,zh,
174,0,zh,
175,0,zh,
176,0,zh,
177,0,zh,
178,0,zh,
179,0,zh,
180,0,zh,
181,0,zh,
182,0,zh,
183,0,zh,
184,0,zh,
185,0,zh,
186,0,zh,
187,0,zh,
188,0,zh,
189,0,zh,
190,0,zh,
191,0,zh,
192,0,zh,
193,0,zh,
194,0,zh,
195,1,zh,
196,0,zh,
197,0,zh,
198,0,zh,
199,0,zh,
200,0,zh,
201,0,zh,
202,0,zh,
203,0,zh,
204,0,zh,
205,0,zh,
206,0,zh,
207,0,zh,
208,0,zh,
209,1,zh,
210,0,zh,
211,0,zh,
212,1,zh,
213,0,zh,
214,0,zh,
215,1,zh,
216,0,zh,
217,0,zh,
218,0,zh,
219,0,zh,
220,0,zh,
221,0,zh,
222,0,zh,
223,0,zh,
224,0,zh,
225,0,zh,
226,0,zh,
227,0,zh,
228,0,zh,
