id,prediction,language,error
0,1,ur,
1,0,ur,
2,1,ur,
3,0,ur,
4,0,ur,
5,0,ur,
6,1,ur,
7,1,ur,
8,1,ur,
9,0,ur,
10,1,ur,
11,0,ur,
12,0,ur,
13,0,ur,
14,0,ur,
15,1,ur,
16,0,ur,
17,0,ur,
18,0,ur,
19,0,ur,
20,0,ur,
21,0,ur,
22,0,ur,
23,1,ur,
24,0,ur,
25,0,ur,
26,1,ur,
27,0,ur,
28,0,ur,
29,0,ur,
30,0,ur,
31,1,ur,
32,1,ur,
33,1,ur,
34,1,ur,
35,0,ur,
36,0,ur,
37,0,ur,
38,0,ur,
39,0,ur,
40,0,ur,
41,0,ur,
42,0,ur,
43,1,ur,
44,1,ur,
45,1,ur,
46,0,ur,
47,1,ur,
48,0,ur,
49,1,ur,
50,1,ur,
51,0,ur,
52,0,ur,
53,0,ur,
54,0,ur,
55,0,ur,
56,0,ur,
57,0,ur,
58,0,ur,
59,0,ur,
60,0,ur,
61,0,ur,
62,1,ur,
63,0,ur,
64,0,ur,
65,0,ur,
66,1,ur,
67,0,ur,
68,0,ur,
69,0,ur,
70,0,ur,
71,0,ur,
72,1,ur,
73,0,ur,
74,0,ur,
75,0,ur,
76,0,ur,
77,1,ur,
78,0,ur,
79,0,ur,
80,1,ur,
81,0,ur,
82,0,ur,
83,1,ur,
84,0,ur,
85,0,ur,
86,0,ur,
87,0,ur,
88,0,ur,
89,0,ur,
90,0,ur,
91,0,ur,
92,0,ur,
93,0,ur,
94,1,ur,
95,1,ur,
96,0,ur,
97,0,ur,
98,1,ur,
99,1,ur,
100,1,ur,
101,0,ur,
102,0,ur,
103,1,ur,
104,0,ur,
105,0,ur,
106,1,ur,
107,1,ur,
108,0,ur,
109,1,ur,
110,1,ur,
111,1,ur,
112,1,ur,
113,0,ur,
114,0,ur,
115,1,ur,
116,0,ur,
117,1,ur,
118,1,ur,
119,0,ur,
120,0,ur,
121,0,ur,
122,0,ur,
123,0,ur,
124,0,ur,
125,0,ur,
126,0,ur,
127,0,ur,
128,0,ur,
129,1,ur,
130,0,ur,
131,0,ur,
132,0,ur,
133,0,ur,
134,1,ur,
135,0,ur,
136,1,ur,
137,0,ur,
138,1,ur,
139,1,ur,
140,0,ur,
141,0,ur,
142,0,ur,
143,0,ur,
144,1,ur,
145,0,ur,
146,0,ur,
147,0,ur,
148,0,ur,
149,0,ur,
150,0,ur,
151,0,ur,
152,0,ur,
153,0,ur,
154,0,ur,
155,0,ur,
156,0,ur,
157,1,ur,
158,0,ur,
159,1,ur,
160,0,ur,
161,1,ur,
162,1,ur,
163,0,ur,
164,0,ur,
165,0,ur,
166,0,ur,
167,0,ur,
168,0,ur,
169,0,ur,
170,0,ur,
171,0,ur,
172,0,ur,
173,1,ur,
174,1,ur,
175,0,ur,
176,1,ur,
177,0,ur,
178,1,ur,
179,0,ur,
180,0,ur,
181,0,ur,
182,0,ur,
183,1,ur,
184,0,ur,
185,0,ur,
186,0,ur,
187,0,ur,
188,0,ur,
189,1,ur,
190,1,ur,
191,0,ur,
192,0,ur,
