id,prediction,language,error
0,0,vi,
1,1,vi,
2,0,vi,
3,0,vi,
4,0,vi,
5,1,vi,
6,0,vi,
7,0,vi,
8,0,vi,
9,0,vi,
10,0,vi,
11,0,vi,
12,0,vi,
13,0,vi,
14,0,vi,
15,0,vi,
16,0,vi,
17,0,vi,
18,1,vi,
19,0,vi,
20,0,vi,
21,0,vi,
22,0,vi,
23,1,vi,
24,0,vi,
25,0,vi,
26,0,vi,
27,0,vi,
28,0,vi,
29,0,vi,
30,0,vi,
31,0,vi,
32,0,vi,
33,0,vi,
34,0,vi,
35,0,vi,
36,0,vi,
37,0,vi,
38,1,vi,
39,0,vi,
40,0,vi,
41,0,vi,
42,0,vi,
43,0,vi,
44,0,vi,
45,1,vi,
46,0,vi,
47,0,vi,
48,0,vi,
49,0,vi,
50,0,vi,
51,0,vi,
52,0,vi,
53,0,vi,
54,0,vi,
55,0,vi,
56,0,vi,
57,0,vi,
58,0,vi,
59,1,vi,
60,0,vi,
61,0,vi,
62,0,vi,
63,0,vi,
64,0,vi,
65,0,vi,
66,0,vi,
67,0,vi,
68,0,vi,
69,0,vi,
70,0,vi,
71,0,vi,
72,0,vi,
73,0,vi,
74,0,vi,
75,0,vi,
76,0,vi,
77,1,vi,
78,1,vi,
79,0,vi,
80,0,vi,
81,0,vi,
82,0,vi,
83,0,vi,
84,0,vi,
85,1,vi,
86,1,vi,
87,0,vi,
88,0,vi,
89,0,vi,
90,0,vi,
91,0,vi,
92,0,vi,
93,0,vi,
94,0,vi,
95,0,vi,
96,0,vi,
97,0,vi,
98,0,vi,
99,0,vi,
100,0,vi,
101,0,vi,
102,0,vi,
103,0,vi,
104,0,vi,
105,0,vi,
106,1,vi,
107,0,vi,
108,0,vi,
109,0,vi,
110,0,vi,
111,0,vi,
112,1,vi,
113,1,vi,
114,1,vi,
115,0,vi,
116,0,vi,
117,0,vi,
118,0,vi,
119,0,vi,
120,0,vi,
121,1,vi,
122,1,vi,
123,0,vi,
124,1,vi,
125,0,vi,
126,0,vi,
127,0,vi,
128,1,vi,
129,0,vi,
130,0,vi,
131,0,vi,
132,0,vi,
133,1,vi,
134,0,vi,
135,0,vi,
136,0,vi,
137,0,vi,
138,0,vi,
139,0,vi,
140,0,vi,
141,0,vi,
142,1,vi,
143,0,vi,
144,0,vi,
145,1,vi,
146,1,vi,
147,0,vi,
148,0,vi,
149,0,vi,
150,0,vi,
151,0,vi,
152,1,vi,
153,0,vi,
154,0,vi,
155,0,vi,
156,0,vi,
157,0,vi,
158,0,vi,
159,0,vi,
160,0,vi,
161,0,vi,
162,0,vi,
163,0,vi,
164,0,vi,
165,0,vi,
166,0,vi,
167,0,vi,
168,0,vi,
169,0,vi,
170,0,vi,
171,0,vi,
172,0,vi,
173,0,vi,
174,0,vi,
175,0,vi,
176,1,vi,
177,0,vi,
178,0,vi,
179,0,vi,
180,0,vi,
181,0,vi,
182,0,vi,
183,0,vi,
184,0,vi,
185,0,vi,
186,0,vi,
187,0,vi,
188,0,vi,
189,0,vi,
190,0,vi,
191,0,vi,
192,0,vi,
193,1,vi,
194,1,vi,
195,0,vi,
196,1,vi,
197,0,vi,
198,0,vi,
199,0,vi,
200,0,vi,
201,0,vi,
202,0,vi,
203,0,vi,
204,0,vi,
205,0,vi,
206,0,vi,
207,0,vi,
208,0,vi,
209,0,vi,
210,1,vi,
211,0,vi,
212,0,vi,
