id,prediction,language,error
0,0,hi,
1,1,hi,
2,0,hi,
3,1,hi,
4,0,hi,
5,0,hi,
6,0,hi,
7,1,hi,
8,0,hi,
9,0,hi,
10,0,hi,
11,0,hi,
12,0,hi,
13,0,hi,
14,1,hi,
15,0,hi,
16,0,hi,
17,1,hi,
18,0,hi,
19,1,hi,
20,0,hi,
21,0,hi,
22,0,hi,
23,0,hi,
24,0,hi,
25,0,hi,
26,0,hi,
27,0,hi,
28,0,hi,
29,0,hi,
30,0,hi,
31,1,hi,
32,1,hi,
33,0,hi,
34,1,hi,
35,1,hi,
36,0,hi,
37,1,hi,
38,0,hi,
39,0,hi,
40,0,hi,
41,0,hi,
42,1,hi,
43,0,hi,
44,0,hi,
45,1,hi,
46,1,hi,
47,1,hi,
48,1,hi,
49,1,hi,
50,0,hi,
51,1,hi,
52,1,hi,
53,1,hi,
54,1,hi,
55,0,hi,
56,1,hi,
57,0,hi,
58,0,hi,
59,1,hi,
60,0,hi,
61,0,hi,
62,0,hi,
63,0,hi,
64,0,hi,
65,0,hi,
66,0,hi,
67,1,hi,
68,1,hi,
69,0,hi,
70,1,hi,
71,0,hi,
72,0,hi,
73,0,hi,
74,0,hi,
75,0,hi,
76,1,hi,
77,1,hi,
78,1,hi,
79,0,hi,
80,0,hi,
81,1,hi,
82,0,hi,
83,1,hi,
84,0,hi,
85,1,hi,
86,0,hi,
87,0,hi,
88,1,hi,
89,0,hi,
90,0,hi,
91,1,hi,
92,1,hi,
93,1,hi,
94,1,hi,
95,1,hi,
96,0,hi,
97,0,hi,
98,0,hi,
99,1,hi,
100,1,hi,
101,0,hi,
102,1,hi,
103,1,hi,
104,1,hi,
105,0,hi,
106,0,hi,
107,0,hi,
108,0,hi,
109,0,hi,
110,0,hi,
111,1,hi,
112,1,hi,
113,0,hi,
114,0,hi,
115,1,hi,
116,1,hi,
117,0,hi,
118,1,hi,
119,0,hi,
120,1,hi,
121,0,hi,
122,1,hi,
123,0,hi,
124,0,hi,
125,1,hi,
126,0,hi,
127,0,hi,
128,0,hi,
129,0,hi,
130,0,hi,
131,0,hi,
132,0,hi,
133,1,hi,
134,0,hi,
135,1,hi,
136,0,hi,
137,1,hi,
138,0,hi,
139,0,hi,
140,0,hi,
141,1,hi,
142,0,hi,
143,0,hi,
144,0,hi,
145,0,hi,
146,0,hi,
147,1,hi,
148,0,hi,
149,0,hi,
150,0,hi,
151,1,hi,
152,0,hi,
153,0,hi,
154,1,hi,
155,1,hi,
156,0,hi,
157,0,hi,
158,0,hi,
159,0,hi,
160,0,hi,
161,0,hi,
162,0,hi,
163,0,hi,
164,0,hi,
165,0,hi,
166,0,hi,
167,0,hi,
168,0,hi,
169,0,hi,
170,1,hi,
171,0,hi,
172,0,hi,
173,0,hi,
174,0,hi,
175,1,hi,
176,1,hi,
177,1,hi,
178,0,hi,
179,0,hi,
180,1,hi,
181,1,hi,
182,0,hi,
183,0,hi,
184,1,hi,
185,0,hi,
186,1,hi,
187,0,hi,
188,0,hi,
189,0,hi,
190,0,hi,
191,0,hi,
192,0,hi,
193,0,hi,
194,0,hi,
195,0,hi,
196,0,hi,
197,1,hi,
198,0,hi,
199,0,hi,
200,0,hi,
201,0,hi,
202,0,hi,
203,0,hi,
204,0,hi,
205,0,hi,
206,0,hi,
207,1,hi,
208,0,hi,
209,0,hi,
210,0,hi,
211,1,hi,
212,1,hi,
213,0,hi,
214,0,hi,
215,1,hi,
216,0,hi,
217,1,hi,
218,0,hi,
219,0,hi,
220,0,hi,
221,0,hi,
222,1,hi,
223,1,hi,
224,0,hi,
225,0,hi,
226,0,hi,
227,1,hi,
228,0,hi,
229,0,hi,
230,1,hi,
231,0,hi,
232,0,hi,
233,0,hi,
234,0,hi,
235,0,hi,
236,1,hi,
237,0,hi,
238,0,hi,
239,0,hi,
240,0,hi,
241,0,hi,
242,0,hi,
243,0,hi,
244,0,hi,
245,0,hi,
246,1,hi,
247,0,hi,
248,0,hi,
249,0,hi,
250,1,hi,
251,0,hi,
252,0,hi,
253,1,hi,
254,0,hi,
255,1,hi,
256,1,hi,
257,0,hi,
258,1,hi,
259,1,hi,
260,0,hi,
261,1,hi,
262,0,hi,
263,0,hi,
264,1,hi,
265,1,hi,
266,0,hi,
267,0,hi,
268,0,hi,
269,0,hi,
270,1,hi,
271,0,hi,
272,1,hi,
273,0,hi,
274,0,hi,
275,1,hi,
276,0,hi,
277,0,hi,
278,0,hi,
279,0,hi,
280,0,hi,
281,0,hi,
282,0,hi,
283,0,hi,
284,0,hi,
285,0,hi,
286,0,hi,
287,0,hi,
288,1,hi,
289,0,hi,
290,0,hi,
291,1,hi,
292,0,hi,
293,0,hi,
294,0,hi,
295,1,hi,
296,0,hi,
297,0,hi,
298,0,hi,
299,0,hi,
300,0,hi,
301,1,hi,
302,1,hi,
303,0,hi,
304,0,hi,
305,0,hi,
306,1,hi,
307,0,hi,
308,1,hi,
309,1,hi,
310,1,hi,
311,0,hi,
312,1,hi,
313,0,hi,
314,0,hi,
315,0,hi,
316,1,hi,
317,0,hi,
318,1,hi,
319,1,hi,
320,0,hi,
321,0,hi,
322,0,hi,
323,0,hi,
324,0,hi,
325,1,hi,
326,0,hi,
327,0,hi,
328,1,hi,
329,1,hi,
330,1,hi,
331,0,hi,
332,1,hi,
333,0,hi,
334,1,hi,
335,0,hi,
336,0,hi,
337,1,hi,
338,1,hi,
339,1,hi,
340,1,hi,
341,0,hi,
342,1,hi,
343,0,hi,
344,0,hi,
345,0,hi,
346,0,hi,
347,0,hi,
348,0,hi,
349,0,hi,
350,0,hi,
351,1,hi,
352,1,hi,
353,1,hi,
354,1,hi,
355,0,hi,
356,1,hi,
357,1,hi,
358,1,hi,
359,0,hi,
360,0,hi,
361,0,hi,
362,0,hi,
363,1,hi,
364,1,hi,
365,0,hi,
366,1,hi,
367,1,hi,
368,1,hi,
369,0,hi,
370,0,hi,
371,1,hi,
372,1,hi,
373,0,hi,
374,0,hi,
375,0,hi,
376,0,hi,
377,0,hi,
378,0,hi,
379,0,hi,
380,1,hi,
381,0,hi,
382,0,hi,
383,0,hi,
384,0,hi,
385,0,hi,
386,1,hi,
387,1,hi,
388,0,hi,
389,1,hi,
390,1,hi,
391,0,hi,
392,0,hi,
393,0,hi,
394,0,hi,
395,0,hi,
396,0,hi,
397,0,hi,
398,0,hi,
399,0,hi,
400,0,hi,
401,0,hi,
402,0,hi,
403,0,hi,
404,1,hi,
405,0,hi,
406,0,hi,
407,1,hi,
408,0,hi,
409,0,hi,
410,0,hi,
411,0,hi,
