id,prediction,language,error
0,0,ko,
1,0,ko,
2,1,ko,
3,1,ko,
4,0,ko,
5,0,ko,
6,0,ko,
7,0,ko,
8,0,ko,
9,0,ko,
10,0,ko,
11,0,ko,
12,1,ko,
13,0,ko,
14,0,ko,
15,0,ko,
16,0,ko,
17,0,ko,
18,0,ko,
19,0,ko,
20,0,ko,
21,0,ko,
22,1,ko,
23,0,ko,
24,0,ko,
25,0,ko,
26,0,ko,
27,1,ko,
28,0,ko,
29,0,ko,
30,0,ko,
31,1,ko,
32,0,ko,
33,0,ko,
34,0,ko,
35,0,ko,
36,0,ko,
37,0,ko,
38,0,ko,
39,0,ko,
40,0,ko,
41,0,ko,
42,0,ko,
43,0,ko,
44,0,ko,
45,1,ko,
46,0,ko,
47,0,ko,
48,0,ko,
49,0,ko,
50,0,ko,
51,0,ko,
52,0,ko,
53,0,ko,
54,0,ko,
55,0,ko,
56,0,ko,
57,1,ko,
58,0,ko,
59,0,ko,
60,0,ko,
61,0,ko,
62,0,ko,
63,0,ko,
64,0,ko,
65,0,ko,
66,1,ko,
67,0,ko,
68,0,ko,
69,0,ko,
70,1,ko,
71,0,ko,
72,0,ko,
73,0,ko,
74,0,ko,
75,0,ko,
76,0,ko,
77,0,ko,
78,0,ko,
79,1,ko,
80,0,ko,
81,0,ko,
82,1,ko,
83,0,ko,
84,0,ko,
85,0,ko,
86,1,ko,
87,0,ko,
88,0,ko,
89,1,ko,
90,0,ko,
91,1,ko,
92,1,ko,
93,0,ko,
94,1,ko,
95,0,ko,
96,0,ko,
97,0,ko,
98,0,ko,
99,0,ko,
100,0,ko,
101,0,ko,
102,0,ko,
103,1,ko,
104,0,ko,
105,0,ko,
106,0,ko,
107,0,ko,
108,0,ko,
109,0,ko,
110,1,ko,
111,0,ko,
112,0,ko,
113,0,ko,
114,0,ko,
115,0,ko,
116,0,ko,
117,1,ko,
118,1,ko,
119,0,ko,
120,0,ko,
121,0,ko,
122,0,ko,
123,0,ko,
124,1,ko,
125,0,ko,
126,0,ko,
127,0,ko,
128,0,ko,
129,0,ko,
130,0,ko,
131,1,ko,
132,0,ko,
133,0,ko,
134,1,ko,
135,0,ko,
136,0,ko,
137,1,ko,
138,0,ko,
139,0,ko,
140,1,ko,
141,0,ko,
142,0,ko,
143,0,ko,
144,0,ko,
145,0,ko,
146,1,ko,
147,0,ko,
148,0,ko,
149,0,ko,
150,0,ko,
151,0,ko,
152,0,ko,
153,0,ko,
154,0,ko,
155,0,ko,
156,0,ko,
157,1,ko,
158,0,ko,
159,0,ko,
160,0,ko,
161,0,ko,
162,0,ko,
163,0,ko,
164,1,ko,
165,0,ko,
166,0,ko,
167,1,ko,
168,0,ko,
169,0,ko,
170,0,ko,
171,0,ko,
172,0,ko,
173,0,ko,
174,0,ko,
175,0,ko,
176,0,ko,
177,0,ko,
178,0,ko,
179,0,ko,
180,0,ko,
181,0,ko,
182,0,ko,
183,1,ko,
184,0,ko,
185,0,ko,
186,0,ko,
187,0,ko,
188,0,ko,
189,0,ko,
190,0,ko,
191,0,ko,
192,1,ko,
193,1,ko,
194,0,ko,
195,0,ko,
