id,prediction,language,error
0,1,es,
1,0,es,
2,1,es,
3,0,es,
4,0,es,
5,0,es,
6,0,es,
7,1,es,
8,0,es,
9,1,es,
10,0,es,
11,1,es,
12,0,es,
13,0,es,
14,0,es,
15,0,es,
16,1,es,
17,0,es,
18,0,es,
19,0,es,
20,0,es,
21,1,es,
22,0,es,
23,0,es,
24,0,es,
25,1,es,
26,0,es,
27,0,es,
28,1,es,
29,1,es,
30,1,es,
31,1,es,
32,1,es,
33,0,es,
34,1,es,
35,0,es,
36,0,es,
37,0,es,
38,1,es,
39,1,es,
40,0,es,
41,0,es,
42,0,es,
43,0,es,
44,0,es,
45,1,es,
46,0,es,
47,1,es,
48,1,es,
49,1,es,
50,1,es,
51,1,es,
52,0,es,
53,1,es,
54,1,es,
55,1,es,
56,0,es,
57,0,es,
58,1,es,
59,0,es,
60,1,es,
61,0,es,
62,0,es,
63,0,es,
64,1,es,
65,0,es,
66,1,es,
67,1,es,
68,0,es,
69,0,es,
70,0,es,
71,1,es,
72,0,es,
73,0,es,
74,1,es,
75,0,es,
76,1,es,
77,0,es,
78,0,es,
79,0,es,
80,1,es,
81,0,es,
82,0,es,
83,0,es,
84,0,es,
85,0,es,
86,1,es,
87,1,es,
88,1,es,
89,1,es,
90,0,es,
91,0,es,
92,0,es,
93,0,es,
94,0,es,
95,0,es,
96,0,es,
97,0,es,
98,0,es,
99,1,es,
100,1,es,
101,0,es,
102,1,es,
103,0,es,
104,1,es,
105,1,es,
106,0,es,
107,1,es,
108,1,es,
109,0,es,
110,0,es,
111,1,es,
112,0,es,
113,1,es,
114,1,es,
115,1,es,
116,1,es,
117,0,es,
118,0,es,
119,0,es,
120,0,es,
121,1,es,
122,1,es,
123,0,es,
124,0,es,
125,1,es,
126,1,es,
127,0,es,
128,0,es,
129,0,es,
130,0,es,
131,1,es,
132,0,es,
133,0,es,
134,0,es,
135,0,es,
136,1,es,
137,0,es,
138,0,es,
139,0,es,
140,0,es,
141,1,es,
142,1,es,
143,0,es,
144,0,es,
145,0,es,
146,1,es,
147,0,es,
148,1,es,
149,0,es,
150,0,es,
151,0,es,
152,0,es,
153,0,es,
154,0,es,
155,1,es,
156,1,es,
157,1,es,
158,0,es,
159,1,es,
160,0,es,
161,0,es,
162,0,es,
163,0,es,
164,1,es,
165,1,es,
166,1,es,
167,0,es,
168,0,es,
169,0,es,
170,0,es,
171,1,es,
172,0,es,
173,1,es,
174,1,es,
175,0,es,
176,0,es,
177,1,es,
178,1,es,
179,0,es,
180,1,es,
181,0,es,
182,0,es,
183,1,es,
184,1,es,
185,1,es,
186,0,es,
187,1,es,
188,1,es,
189,0,es,
190,0,es,
191,0,es,
192,0,es,
193,0,es,
194,1,es,
195,0,es,
196,1,es,
197,0,es,
198,0,es,
199,0,es,
200,1,es,
201,0,es,
202,1,es,
203,0,es,
204,0,es,
205,0,es,
206,0,es,
207,1,es,
208,1,es,
209,1,es,
210,0,es,
211,1,es,
212,0,es,
213,1,es,
214,1,es,
215,1,es,
216,0,es,
217,0,es,
218,1,es,
219,0,es,
220,0,es,
221,0,es,
222,1,es,
223,1,es,
224,0,es,
225,1,es,
226,0,es,
227,0,es,
228,0,es,
229,0,es,
230,1,es,
231,0,es,
232,1,es,
233,0,es,
234,0,es,
235,0,es,
236,0,es,
237,1,es,
238,0,es,
239,0,es,
240,0,es,
241,1,es,
242,1,es,
243,0,es,
244,1,es,
245,1,es,
246,0,es,
247,1,es,
248,0,es,
249,0,es,
250,0,es,
251,0,es,
252,0,es,
253,0,es,
254,0,es,
255,0,es,
256,1,es,
257,1,es,
258,1,es,
259,1,es,
260,1,es,
261,0,es,
262,1,es,
263,0,es,
264,0,es,
265,0,es,
266,0,es,
267,0,es,
268,0,es,
269,0,es,
270,0,es,
271,1,es,
272,0,es,
273,0,es,
274,1,es,
275,1,es,
276,0,es,
277,1,es,
278,1,es,
279,0,es,
280,1,es,
281,1,es,
282,0,es,
283,1,es,
284,0,es,
285,0,es,
286,1,es,
287,0,es,
288,1,es,
289,0,es,
290,1,es,
291,1,es,
292,0,es,
293,1,es,
294,1,es,
295,0,es,
296,0,es,
297,0,es,
298,0,es,
299,1,es,
300,1,es,
301,1,es,
302,0,es,
303,0,es,
304,1,es,
305,1,es,
306,0,es,
307,1,es,
308,1,es,
309,0,es,
310,0,es,
311,0,es,
312,1,es,
313,1,es,
314,1,es,
315,0,es,
316,0,es,
317,1,es,
318,0,es,
319,1,es,
320,1,es,
321,1,es,
322,0,es,
323,0,es,
324,0,es,
325,1,es,
326,1,es,
327,1,es,
328,0,es,
329,0,es,
330,1,es,
331,0,es,
332,0,es,
333,1,es,
334,1,es,
335,0,es,
336,1,es,
337,0,es,
338,0,es,
339,0,es,
340,0,es,
341,0,es,
342,1,es,
343,0,es,
344,1,es,
345,1,es,
346,0,es,
347,0,es,
348,0,es,
349,0,es,
350,0,es,
351,1,es,
352,0,es,
353,0,es,
354,0,es,
355,1,es,
356,0,es,
357,0,es,
358,0,es,
359,0,es,
360,1,es,
361,0,es,
362,1,es,
363,0,es,
364,0,es,
365,1,es,
366,0,es,
367,1,es,
368,0,es,
369,1,es,
370,0,es,
371,0,es,
372,1,es,
373,0,es,
374,0,es,
375,0,es,
376,1,es,
377,1,es,
378,1,es,
379,0,es,
380,0,es,
381,1,es,
382,0,es,
383,1,es,
384,1,es,
385,1,es,
386,1,es,
387,1,es,
388,1,es,
389,0,es,
390,1,es,
391,0,es,
392,1,es,
393,0,es,
394,1,es,
395,1,es,
396,1,es,
397,1,es,
398,1,es,
399,1,es,
400,1,es,
401,0,es,
402,1,es,
403,0,es,
404,0,es,
405,1,es,
406,1,es,
407,0,es,
408,0,es,
409,0,es,
410,1,es,
411,0,es,
412,1,es,
413,1,es,
414,1,es,
415,1,es,
416,1,es,
417,1,es,
418,1,es,
419,1,es,
420,1,es,
421,0,es,
422,1,es,
423,1,es,
424,0,es,
425,0,es,
426,1,es,
427,1,es,
428,1,es,
429,1,es,
430,0,es,
431,1,es,
432,1,es,
433,1,es,
434,1,es,
435,0,es,
436,1,es,
437,1,es,
438,0,es,
439,1,es,
440,0,es,
441,0,es,
442,0,es,
443,1,es,
444,0,es,
445,0,es,
446,1,es,
447,0,es,
448,0,es,
449,0,es,
450,1,es,
451,1,es,
452,0,es,
453,0,es,
454,1,es,
455,1,es,
456,0,es,
457,1,es,
458,1,es,
459,1,es,
460,0,es,
461,0,es,
462,1,es,
463,1,es,
464,1,es,
465,1,es,
466,0,es,
467,1,es,
468,1,es,
469,1,es,
470,1,es,
471,0,es,
472,1,es,
473,1,es,
474,1,es,
475,0,es,
476,0,es,
477,1,es,
478,0,es,
479,0,es,
480,0,es,
481,1,es,
482,0,es,
483,1,es,
484,1,es,
485,1,es,
486,1,es,
487,1,es,
488,0,es,
489,0,es,
490,1,es,
491,1,es,
492,1,es,
493,1,es,
494,0,es,
495,0,es,
496,1,es,
497,0,es,
498,0,es,
499,1,es,
500,0,es,
501,1,es,
502,0,es,
503,0,es,
504,1,es,
505,1,es,
506,0,es,
507,0,es,
508,1,es,
509,0,es,
510,0,es,
511,0,es,
512,0,es,
513,1,es,
514,0,es,
515,1,es,
516,1,es,
517,1,es,
518,0,es,
519,1,es,
520,1,es,
521,0,es,
522,0,es,
523,1,es,
524,1,es,
525,1,es,
526,0,es,
527,1,es,
528,0,es,
529,0,es,
530,1,es,
531,0,es,
532,1,es,
533,0,es,
534,0,es,
535,0,es,
536,1,es,
537,0,es,
538,1,es,
539,0,es,
540,0,es,
541,0,es,
542,0,es,
543,0,es,
544,0,es,
545,0,es,
546,0,es,
547,1,es,
548,1,es,
549,1,es,
550,0,es,
551,0,es,
552,0,es,
553,1,es,
554,1,es,
555,0,es,
556,0,es,
557,0,es,
558,1,es,
559,0,es,
560,0,es,
561,0,es,
562,0,es,
563,0,es,
564,1,es,
565,0,es,
566,1,es,
567,0,es,
568,0,es,
569,0,es,
570,0,es,
571,0,es,
572,0,es,
573,0,es,
574,0,es,
575,0,es,
576,1,es,
577,1,es,
578,0,es,
579,0,es,
580,0,es,
581,1,es,
582,0,es,
583,1,es,
584,1,es,
585,1,es,
586,0,es,
587,1,es,
588,0,es,
589,1,es,
590,1,es,
591,0,es,
592,1,es,
593,1,es,
594,1,es,
595,1,es,
596,1,es,
597,0,es,
598,0,es,
599,0,es,
600,0,es,
601,1,es,
602,0,es,
603,1,es,
604,1,es,
605,1,es,
606,1,es,
607,0,es,
608,1,es,
609,1,es,
610,1,es,
611,1,es,
612,1,es,
613,1,es,
614,0,es,
615,0,es,
616,0,es,
617,0,es,
618,1,es,
619,0,es,
620,1,es,
621,1,es,
622,1,es,
623,1,es,
624,1,es,
625,1,es,
626,0,es,
627,1,es,
628,1,es,
629,1,es,
630,0,es,
631,1,es,
632,1,es,
633,1,es,
634,1,es,
635,1,es,
636,1,es,
637,1,es,
638,0,es,
639,0,es,
640,0,es,
641,0,es,
642,1,es,
643,0,es,
644,0,es,
645,1,es,
646,0,es,
647,0,es,
648,1,es,
649,1,es,
650,0,es,
651,1,es,
652,1,es,
653,1,es,
654,1,es,
655,0,es,
656,1,es,
657,0,es,
658,1,es,
659,1,es,
660,0,es,
661,0,es,
662,1,es,
663,1,es,
664,1,es,
665,0,es,
666,0,es,
667,1,es,
668,0,es,
669,1,es,
670,1,es,
671,0,es,
672,1,es,
673,1,es,
674,0,es,
675,1,es,
676,0,es,
677,0,es,
678,1,es,
679,0,es,
680,0,es,
681,1,es,
682,0,es,
683,1,es,
684,0,es,
685,0,es,
686,0,es,
687,0,es,
688,1,es,
689,0,es,
690,0,es,
691,1,es,
692,1,es,
693,0,es,
694,0,es,
695,0,es,
696,0,es,
697,0,es,
698,0,es,
699,0,es,
700,0,es,
701,0,es,
702,1,es,
703,0,es,
704,1,es,
705,1,es,
706,0,es,
707,0,es,
708,1,es,
709,1,es,
710,0,es,
711,0,es,
712,1,es,
713,0,es,
714,1,es,
715,0,es,
716,0,es,
717,1,es,
718,1,es,
719,1,es,
720,0,es,
721,0,es,
722,0,es,
723,0,es,
724,0,es,
725,1,es,
726,0,es,
727,0,es,
728,1,es,
729,0,es,
730,0,es,
731,0,es,
732,0,es,
733,0,es,
734,1,es,
735,0,es,
736,1,es,
737,1,es,
738,1,es,
739,1,es,
740,0,es,
741,0,es,
742,0,es,
743,1,es,
744,0,es,
745,0,es,
746,0,es,
747,1,es,
748,0,es,
749,0,es,
750,1,es,
751,0,es,
752,0,es,
753,1,es,
754,0,es,
755,0,es,
756,0,es,
757,1,es,
758,1,es,
759,0,es,
760,1,es,
761,0,es,
762,1,es,
763,0,es,
764,0,es,
765,1,es,
766,0,es,
767,0,es,
768,0,es,
769,1,es,
770,0,es,
771,1,es,
772,0,es,
773,0,es,
774,0,es,
775,1,es,
776,1,es,
777,0,es,
778,0,es,
779,0,es,
780,1,es,
781,0,es,
782,1,es,
783,0,es,
784,1,es,
785,1,es,
786,1,es,
787,0,es,
788,0,es,
789,0,es,
790,0,es,
791,0,es,
792,1,es,
793,1,es,
794,0,es,
795,0,es,
796,1,es,
797,0,es,
798,1,es,
799,0,es,
800,0,es,
801,0,es,
802,0,es,
803,0,es,
804,0,es,
805,1,es,
806,0,es,
807,0,es,
808,0,es,
809,0,es,
810,0,es,
811,0,es,
812,0,es,
813,0,es,
814,1,es,
815,0,es,
816,0,es,
817,0,es,
818,0,es,
819,0,es,
820,0,es,
821,0,es,
822,1,es,
823,0,es,
824,0,es,
825,0,es,
826,0,es,
827,1,es,
828,1,es,
829,0,es,
830,0,es,
831,0,es,
832,0,es,
833,1,es,
834,1,es,
835,1,es,
836,1,es,
837,1,es,
838,0,es,
839,1,es,
840,1,es,
841,0,es,
842,0,es,
843,1,es,
844,0,es,
845,1,es,
846,0,es,
847,0,es,
848,0,es,
849,0,es,
850,0,es,
851,1,es,
852,1,es,
853,1,es,
854,1,es,
855,0,es,
856,0,es,
857,0,es,
858,1,es,
859,1,es,
860,1,es,
861,1,es,
862,0,es,
863,1,es,
864,0,es,
865,0,es,
866,0,es,
867,1,es,
868,0,es,
869,1,es,
870,1,es,
871,0,es,
872,0,es,
873,0,es,
874,0,es,
875,0,es,
876,0,es,
877,0,es,
878,1,es,
879,1,es,
880,0,es,
881,0,es,
882,0,es,
883,0,es,
884,0,es,
885,0,es,
886,0,es,
887,0,es,
888,0,es,
889,0,es,
890,0,es,
891,1,es,
892,0,es,
893,0,es,
894,0,es,
895,0,es,
896,0,es,
