id,prediction,language,error
0,0,ko,
1,0,ko,
2,1,ko,
3,1,ko,
4,0,ko,
5,1,ko,
6,0,ko,
7,0,ko,
8,1,ko,
9,0,ko,
10,0,ko,
11,0,ko,
12,0,ko,
13,0,ko,
14,0,ko,
15,0,ko,
16,0,ko,
17,1,ko,
18,0,ko,
19,0,ko,
20,0,ko,
21,0,ko,
22,1,ko,
23,1,ko,
24,0,ko,
25,1,ko,
26,0,ko,
27,0,ko,
28,0,ko,
29,0,ko,
30,0,ko,
31,1,ko,
32,0,ko,
33,1,ko,
34,0,ko,
35,0,ko,
36,0,ko,
37,0,ko,
38,0,ko,
39,0,ko,
40,0,ko,
41,0,ko,
42,1,ko,
43,0,ko,
44,0,ko,
45,0,ko,
46,0,ko,
47,0,ko,
48,0,ko,
49,1,ko,
50,1,ko,
51,1,ko,
52,1,ko,
53,0,ko,
54,1,ko,
55,0,ko,
56,0,ko,
57,0,ko,
58,1,ko,
59,1,ko,
60,0,ko,
61,0,ko,
62,0,ko,
63,1,ko,
64,1,ko,
65,1,ko,
66,0,ko,
67,0,ko,
68,1,ko,
69,0,ko,
70,0,ko,
71,1,ko,
72,1,ko,
73,0,ko,
74,1,ko,
75,0,ko,
76,1,ko,
77,1,ko,
78,0,ko,
79,1,ko,
80,0,ko,
81,1,ko,
82,0,ko,
83,0,ko,
84,1,ko,
85,0,ko,
86,0,ko,
87,0,ko,
88,1,ko,
89,0,ko,
90,0,ko,
91,0,ko,
92,0,ko,
93,0,ko,
94,0,ko,
95,1,ko,
96,0,ko,
97,0,ko,
98,0,ko,
99,1,ko,
100,0,ko,
101,0,ko,
102,1,ko,
103,1,ko,
104,1,ko,
105,0,ko,
106,1,ko,
107,1,ko,
108,0,ko,
109,1,ko,
110,0,ko,
111,0,ko,
112,0,ko,
113,0,ko,
114,0,ko,
115,1,ko,
116,0,ko,
117,1,ko,
118,0,ko,
119,1,ko,
120,0,ko,
121,0,ko,
122,0,ko,
123,0,ko,
124,0,ko,
125,0,ko,
126,0,ko,
127,1,ko,
128,0,ko,
129,0,ko,
130,0,ko,
131,0,ko,
132,1,ko,
133,1,ko,
134,0,ko,
135,0,ko,
136,0,ko,
137,0,ko,
138,0,ko,
139,1,ko,
140,0,ko,
141,1,ko,
142,0,ko,
143,0,ko,
144,0,ko,
145,0,ko,
146,0,ko,
147,0,ko,
148,0,ko,
149,1,ko,
150,0,ko,
151,0,ko,
152,0,ko,
153,1,ko,
154,0,ko,
155,1,ko,
156,1,ko,
157,1,ko,
158,0,ko,
159,0,ko,
160,0,ko,
161,1,ko,
162,1,ko,
163,0,ko,
164,1,ko,
165,0,ko,
166,0,ko,
167,0,ko,
168,0,ko,
169,1,ko,
170,0,ko,
171,0,ko,
172,1,ko,
173,0,ko,
174,0,ko,
175,1,ko,
176,0,ko,
177,0,ko,
178,1,ko,
179,0,ko,
180,0,ko,
181,0,ko,
182,1,ko,
183,0,ko,
184,1,ko,
185,0,ko,
186,0,ko,
187,0,ko,
188,0,ko,
189,0,ko,
190,0,ko,
191,1,ko,
192,1,ko,
193,0,ko,
194,0,ko,
195,1,ko,
