id,prediction,language,error
0,1,zh,
1,0,zh,
2,0,zh,
3,1,zh,
4,1,zh,
5,0,zh,
6,0,zh,
7,1,zh,
8,1,zh,
9,0,zh,
10,1,zh,
11,1,zh,
12,1,zh,
13,1,zh,
14,1,zh,
15,1,zh,
16,1,zh,
17,0,zh,
18,1,zh,
19,1,zh,
20,1,zh,
21,1,zh,
22,0,zh,
23,1,zh,
24,0,zh,
25,0,zh,
26,0,zh,
27,1,zh,
28,0,zh,
29,0,zh,
30,0,zh,
31,0,zh,
32,0,zh,
33,1,zh,
34,0,zh,
35,1,zh,
36,1,zh,
37,0,zh,
38,0,zh,
39,1,zh,
40,0,zh,
41,1,zh,
42,0,zh,
43,0,zh,
44,1,zh,
45,1,zh,
46,0,zh,
47,0,zh,
48,0,zh,
49,1,zh,
50,0,zh,
51,1,zh,
52,1,zh,
53,1,zh,
54,0,zh,
55,1,zh,
56,0,zh,
57,0,zh,
58,0,zh,
59,1,zh,
60,0,zh,
61,1,zh,
62,1,zh,
63,1,zh,
64,0,zh,
65,0,zh,
66,0,zh,
67,0,zh,
68,0,zh,
69,0,zh,
70,0,zh,
71,1,zh,
72,1,zh,
73,1,zh,
74,0,zh,
75,0,zh,
76,1,zh,
77,1,zh,
78,1,zh,
79,0,zh,
80,0,zh,
81,0,zh,
82,1,zh,
83,0,zh,
84,1,zh,
85,1,zh,
86,0,zh,
87,0,zh,
88,1,zh,
89,0,zh,
90,0,zh,
91,1,zh,
92,0,zh,
93,0,zh,
94,0,zh,
95,0,zh,
96,1,zh,
97,1,zh,
98,1,zh,
99,0,zh,
100,1,zh,
101,0,zh,
102,0,zh,
103,1,zh,
104,0,zh,
105,0,zh,
106,0,zh,
107,1,zh,
108,1,zh,
109,0,zh,
110,0,zh,
111,1,zh,
112,0,zh,
113,0,zh,
114,0,zh,
115,1,zh,
116,0,zh,
117,1,zh,
118,0,zh,
119,0,zh,
120,0,zh,
121,0,zh,
122,0,zh,
123,1,zh,
124,1,zh,
125,1,zh,
126,1,zh,
127,0,zh,
128,0,zh,
129,0,zh,
130,0,zh,
131,1,zh,
132,1,zh,
133,1,zh,
134,1,zh,
135,1,zh,
136,1,zh,
137,1,zh,
138,0,zh,
139,0,zh,
140,0,zh,
141,0,zh,
142,1,zh,
143,1,zh,
144,1,zh,
145,0,zh,
146,0,zh,
147,1,zh,
148,0,zh,
149,1,zh,
150,0,zh,
151,0,zh,
152,0,zh,
153,1,zh,
154,1,zh,
155,1,zh,
156,1,zh,
157,0,zh,
158,0,zh,
159,1,zh,
160,0,zh,
161,0,zh,
162,0,zh,
163,1,zh,
164,0,zh,
165,1,zh,
166,0,zh,
167,1,zh,
168,1,zh,
169,0,zh,
170,1,zh,
171,1,zh,
172,1,zh,
173,0,zh,
174,1,zh,
175,0,zh,
176,1,zh,
177,1,zh,
178,1,zh,
179,0,zh,
180,1,zh,
181,0,zh,
182,1,zh,
183,0,zh,
184,1,zh,
185,1,zh,
186,1,zh,
187,0,zh,
188,1,zh,
189,1,zh,
190,0,zh,
191,1,zh,
192,0,zh,
193,1,zh,
194,1,zh,
195,1,zh,
196,0,zh,
197,0,zh,
198,1,zh,
199,0,zh,
200,1,zh,
201,1,zh,
202,0,zh,
203,0,zh,
204,0,zh,
205,0,zh,
206,0,zh,
207,1,zh,
208,1,zh,
209,1,zh,
210,0,zh,
211,0,zh,
212,1,zh,
213,0,zh,
214,1,zh,
215,1,zh,
216,1,zh,
217,0,zh,
218,0,zh,
219,0,zh,
220,0,zh,
221,1,zh,
222,1,zh,
223,0,zh,
224,1,zh,
225,0,zh,
226,0,zh,
227,0,zh,
