id,prediction,language,error
0,1,pt,
1,1,pt,
2,0,pt,
3,0,pt,
4,0,pt,
5,0,pt,
6,0,pt,
7,1,pt,
8,0,pt,
9,1,pt,
10,1,pt,
11,1,pt,
12,0,pt,
13,0,pt,
14,0,pt,
15,1,pt,
16,1,pt,
17,0,pt,
18,1,pt,
19,1,pt,
20,0,pt,
21,1,pt,
22,1,pt,
23,0,pt,
24,0,pt,
25,1,pt,
26,0,pt,
27,1,pt,
28,0,pt,
29,0,pt,
30,1,pt,
31,1,pt,
32,0,pt,
33,0,pt,
34,1,pt,
35,1,pt,
36,0,pt,
37,0,pt,
38,1,pt,
39,0,pt,
40,1,pt,
41,1,pt,
42,1,pt,
43,1,pt,
44,0,pt,
45,0,pt,
46,0,pt,
47,0,pt,
48,0,pt,
49,1,pt,
50,0,pt,
51,0,pt,
52,0,pt,
53,0,pt,
54,1,pt,
55,1,pt,
56,0,pt,
57,1,pt,
58,0,pt,
59,1,pt,
60,1,pt,
61,1,pt,
62,1,pt,
63,0,pt,
64,0,pt,
65,1,pt,
66,1,pt,
67,1,pt,
68,0,pt,
69,1,pt,
70,1,pt,
71,1,pt,
72,0,pt,
73,0,pt,
74,1,pt,
75,0,pt,
76,1,pt,
77,1,pt,
78,0,pt,
79,1,pt,
80,0,pt,
81,1,pt,
82,0,pt,
83,0,pt,
84,0,pt,
85,1,pt,
86,1,pt,
87,1,pt,
88,1,pt,
89,0,pt,
90,0,pt,
91,0,pt,
92,1,pt,
93,0,pt,
94,0,pt,
95,0,pt,
96,1,pt,
97,1,pt,
98,0,pt,
99,1,pt,
100,1,pt,
101,0,pt,
102,0,pt,
103,0,pt,
104,0,pt,
105,0,pt,
106,0,pt,
107,0,pt,
108,1,pt,
109,0,pt,
110,1,pt,
111,0,pt,
112,1,pt,
113,0,pt,
114,1,pt,
115,1,pt,
116,1,pt,
117,0,pt,
118,1,pt,
119,0,pt,
120,1,pt,
121,1,pt,
122,1,pt,
123,1,pt,
124,1,pt,
125,0,pt,
126,1,pt,
127,1,pt,
128,1,pt,
129,0,pt,
130,1,pt,
131,0,pt,
132,1,pt,
133,0,pt,
134,0,pt,
135,0,pt,
136,0,pt,
137,0,pt,
138,0,pt,
139,1,pt,
140,1,pt,
141,1,pt,
142,1,pt,
143,1,pt,
144,0,pt,
145,0,pt,
146,1,pt,
147,0,pt,
148,1,pt,
149,1,pt,
150,1,pt,
151,0,pt,
152,1,pt,
153,0,pt,
154,1,pt,
155,1,pt,
156,1,pt,
157,1,pt,
158,1,pt,
159,0,pt,
160,0,pt,
161,0,pt,
162,0,pt,
163,1,pt,
164,0,pt,
165,0,pt,
166,1,pt,
167,1,pt,
168,1,pt,
169,1,pt,
170,0,pt,
171,1,pt,
172,1,pt,
173,0,pt,
174,1,pt,
175,1,pt,
176,1,pt,
177,0,pt,
178,0,pt,
179,1,pt,
180,1,pt,
181,1,pt,
182,1,pt,
183,1,pt,
184,0,pt,
185,0,pt,
186,0,pt,
187,1,pt,
188,0,pt,
189,0,pt,
190,0,pt,
191,0,pt,
192,1,pt,
193,1,pt,
194,0,pt,
195,1,pt,
196,1,pt,
197,0,pt,
198,1,pt,
199,1,pt,
200,1,pt,
201,1,pt,
202,0,pt,
203,0,pt,
204,1,pt,
205,1,pt,
206,0,pt,
207,0,pt,
208,0,pt,
209,0,pt,
210,0,pt,
211,0,pt,
212,0,pt,
213,1,pt,
214,0,pt,
215,1,pt,
216,1,pt,
217,1,pt,
218,0,pt,
219,1,pt,
220,0,pt,
221,0,pt,
222,0,pt,
223,1,pt,
224,1,pt,
225,1,pt,
226,0,pt,
227,1,pt,
228,1,pt,
229,0,pt,
230,0,pt,
231,1,pt,
232,0,pt,
233,1,pt,
234,1,pt,
235,0,pt,
236,0,pt,
237,1,pt,
238,0,pt,
239,0,pt,
240,0,pt,
241,0,pt,
242,0,pt,
243,1,pt,
244,0,pt,
245,1,pt,
246,1,pt,
247,1,pt,
248,1,pt,
249,1,pt,
250,1,pt,
251,0,pt,
252,1,pt,
253,1,pt,
254,1,pt,
255,1,pt,
256,0,pt,
257,1,pt,
258,0,pt,
259,1,pt,
260,0,pt,
261,1,pt,
262,1,pt,
263,0,pt,
264,0,pt,
265,1,pt,
266,0,pt,
267,0,pt,
268,0,pt,
269,1,pt,
270,0,pt,
271,0,pt,
272,0,pt,
273,1,pt,
274,1,pt,
275,0,pt,
276,0,pt,
277,0,pt,
278,0,pt,
279,1,pt,
280,1,pt,
281,1,pt,
282,0,pt,
283,0,pt,
284,1,pt,
285,1,pt,
286,1,pt,
287,1,pt,
288,1,pt,
289,1,pt,
290,1,pt,
291,0,pt,
292,1,pt,
293,0,pt,
294,1,pt,
295,0,pt,
296,1,pt,
297,0,pt,
298,1,pt,
299,0,pt,
300,1,pt,
301,1,pt,
302,0,pt,
303,0,pt,
304,0,pt,
305,1,pt,
306,1,pt,
307,0,pt,
308,1,pt,
309,1,pt,
310,1,pt,
311,0,pt,
312,0,pt,
313,1,pt,
314,1,pt,
315,0,pt,
316,1,pt,
317,0,pt,
318,1,pt,
319,1,pt,
320,0,pt,
321,0,pt,
322,1,pt,
323,0,pt,
324,0,pt,
325,1,pt,
326,1,pt,
327,1,pt,
328,1,pt,
329,0,pt,
330,0,pt,
331,0,pt,
332,0,pt,
333,0,pt,
334,0,pt,
335,0,pt,
336,0,pt,
337,1,pt,
338,1,pt,
339,1,pt,
340,0,pt,
341,1,pt,
342,1,pt,
343,0,pt,
344,0,pt,
345,0,pt,
346,1,pt,
347,1,pt,
348,0,pt,
349,1,pt,
350,1,pt,
351,1,pt,
352,0,pt,
353,1,pt,
354,0,pt,
355,1,pt,
356,1,pt,
357,0,pt,
358,1,pt,
359,0,pt,
360,0,pt,
361,0,pt,
362,0,pt,
363,0,pt,
364,0,pt,
365,1,pt,
366,1,pt,
367,1,pt,
368,0,pt,
369,1,pt,
370,0,pt,
371,0,pt,
372,0,pt,
373,0,pt,
374,0,pt,
375,0,pt,
376,1,pt,
377,1,pt,
378,1,pt,
379,1,pt,
380,0,pt,
381,1,pt,
382,1,pt,
383,1,pt,
384,0,pt,
385,1,pt,
386,0,pt,
387,1,pt,
388,0,pt,
389,1,pt,
390,1,pt,
391,0,pt,
392,0,pt,
393,1,pt,
394,1,pt,
395,1,pt,
396,1,pt,
397,1,pt,
398,0,pt,
399,1,pt,
400,1,pt,
401,1,pt,
402,1,pt,
403,0,pt,
404,0,pt,
405,1,pt,
406,1,pt,
407,1,pt,
408,1,pt,
409,1,pt,
410,1,pt,
411,1,pt,
412,1,pt,
413,0,pt,
414,0,pt,
415,0,pt,
416,1,pt,
417,1,pt,
418,1,pt,
419,0,pt,
420,1,pt,
421,1,pt,
422,0,pt,
423,0,pt,
424,0,pt,
425,1,pt,
426,0,pt,
427,1,pt,
428,1,pt,
429,0,pt,
430,1,pt,
431,1,pt,
432,0,pt,
433,1,pt,
434,1,pt,
435,1,pt,
436,0,pt,
437,1,pt,
438,1,pt,
439,1,pt,
440,1,pt,
441,1,pt,
442,1,pt,
443,0,pt,
444,1,pt,
445,0,pt,
446,1,pt,
447,1,pt,
448,1,pt,
449,1,pt,
450,1,pt,
451,1,pt,
452,1,pt,
453,1,pt,
454,1,pt,
455,1,pt,
456,1,pt,
457,1,pt,
458,1,pt,
459,0,pt,
460,1,pt,
461,1,pt,
462,0,pt,
463,0,pt,
464,0,pt,
465,1,pt,
466,1,pt,
467,0,pt,
468,0,pt,
469,1,pt,
470,0,pt,
471,0,pt,
472,1,pt,
473,1,pt,
474,1,pt,
475,1,pt,
476,1,pt,
477,1,pt,
478,1,pt,
479,1,pt,
480,0,pt,
481,0,pt,
482,1,pt,
483,1,pt,
484,0,pt,
485,0,pt,
486,1,pt,
487,0,pt,
488,1,pt,
489,1,pt,
490,1,pt,
491,0,pt,
492,1,pt,
493,0,pt,
494,0,pt,
495,1,pt,
496,1,pt,
497,0,pt,
498,1,pt,
499,0,pt,
500,1,pt,
501,1,pt,
502,1,pt,
503,1,pt,
504,1,pt,
505,1,pt,
506,0,pt,
507,0,pt,
508,0,pt,
509,1,pt,
510,1,pt,
511,1,pt,
512,0,pt,
513,0,pt,
514,0,pt,
515,0,pt,
516,1,pt,
517,0,pt,
518,1,pt,
519,1,pt,
520,1,pt,
521,0,pt,
522,1,pt,
523,1,pt,
524,0,pt,
525,1,pt,
526,0,pt,
527,1,pt,
528,1,pt,
529,1,pt,
530,0,pt,
531,0,pt,
532,1,pt,
533,1,pt,
534,1,pt,
535,1,pt,
536,0,pt,
537,1,pt,
538,1,pt,
539,0,pt,
540,0,pt,
541,0,pt,
542,1,pt,
543,0,pt,
544,1,pt,
545,1,pt,
546,1,pt,
547,1,pt,
548,0,pt,
549,0,pt,
550,0,pt,
551,1,pt,
552,1,pt,
553,1,pt,
554,0,pt,
555,0,pt,
556,1,pt,
557,1,pt,
558,0,pt,
559,1,pt,
560,0,pt,
561,1,pt,
562,0,pt,
563,1,pt,
564,1,pt,
565,0,pt,
566,0,pt,
567,0,pt,
568,1,pt,
569,0,pt,
570,1,pt,
571,1,pt,
572,0,pt,
573,0,pt,
574,0,pt,
575,0,pt,
576,1,pt,
577,1,pt,
578,0,pt,
579,0,pt,
580,1,pt,
581,0,pt,
582,0,pt,
583,1,pt,
584,0,pt,
585,0,pt,
586,1,pt,
587,1,pt,
588,0,pt,
589,1,pt,
590,0,pt,
591,1,pt,
592,0,pt,
593,1,pt,
594,1,pt,
595,0,pt,
596,1,pt,
597,1,pt,
598,1,pt,
599,0,pt,
600,1,pt,
601,1,pt,
602,0,pt,
603,1,pt,
604,0,pt,
605,1,pt,
606,0,pt,
607,1,pt,
608,0,pt,
609,1,pt,
610,0,pt,
611,1,pt,
612,1,pt,
613,1,pt,
614,0,pt,
615,0,pt,
616,0,pt,
617,0,pt,
618,1,pt,
619,1,pt,
620,1,pt,
621,0,pt,
622,0,pt,
623,1,pt,
624,1,pt,
625,1,pt,
626,0,pt,
627,0,pt,
628,0,pt,
629,1,pt,
630,0,pt,
631,0,pt,
632,1,pt,
633,0,pt,
634,1,pt,
635,1,pt,
636,0,pt,
637,1,pt,
638,0,pt,
639,0,pt,
640,1,pt,
641,1,pt,
642,1,pt,
643,0,pt,
644,0,pt,
645,1,pt,
646,0,pt,
647,1,pt,
648,1,pt,
649,0,pt,
650,1,pt,
651,1,pt,
652,0,pt,
653,0,pt,
654,1,pt,
655,1,pt,
656,0,pt,
657,1,pt,
658,1,pt,
659,0,pt,
660,0,pt,
661,1,pt,
662,1,pt,
663,1,pt,
664,0,pt,
665,0,pt,
666,0,pt,
667,1,pt,
668,0,pt,
669,1,pt,
670,0,pt,
671,1,pt,
672,0,pt,
673,0,pt,
674,0,pt,
675,1,pt,
