id,prediction,language,error
0,1,pt,
1,0,pt,
2,0,pt,
3,1,pt,
4,0,pt,
5,0,pt,
6,0,pt,
7,1,pt,
8,0,pt,
9,0,pt,
10,0,pt,
11,0,pt,
12,1,pt,
13,0,pt,
14,0,pt,
15,0,pt,
16,0,pt,
17,1,pt,
18,0,pt,
19,1,pt,
20,0,pt,
21,1,pt,
22,0,pt,
23,0,pt,
24,0,pt,
25,1,pt,
26,0,pt,
27,0,pt,
28,1,pt,
29,1,pt,
30,0,pt,
31,1,pt,
32,1,pt,
33,1,pt,
34,1,pt,
35,0,pt,
36,0,pt,
37,0,pt,
38,0,pt,
39,0,pt,
40,1,pt,
41,0,pt,
42,0,pt,
43,1,pt,
44,0,pt,
45,0,pt,
46,0,pt,
47,0,pt,
48,1,pt,
49,1,pt,
50,0,pt,
51,0,pt,
52,0,pt,
53,1,pt,
54,0,pt,
55,0,pt,
56,0,pt,
57,0,pt,
58,1,pt,
59,1,pt,
60,0,pt,
61,0,pt,
62,0,pt,
63,0,pt,
64,0,pt,
65,1,pt,
66,0,pt,
67,1,pt,
68,0,pt,
69,1,pt,
70,1,pt,
71,0,pt,
72,0,pt,
73,0,pt,
74,0,pt,
75,0,pt,
76,1,pt,
77,0,pt,
78,1,pt,
79,1,pt,
80,1,pt,
81,0,pt,
82,0,pt,
83,0,pt,
84,0,pt,
85,1,pt,
86,1,pt,
87,1,pt,
88,0,pt,
89,1,pt,
90,0,pt,
91,1,pt,
92,0,pt,
93,1,pt,
94,0,pt,
95,0,pt,
96,1,pt,
97,0,pt,
98,0,pt,
99,0,pt,
100,0,pt,
101,1,pt,
102,0,pt,
103,0,pt,
104,0,pt,
105,1,pt,
106,0,pt,
107,0,pt,
108,0,pt,
109,0,pt,
110,0,pt,
111,0,pt,
112,0,pt,
113,1,pt,
114,1,pt,
115,0,pt,
116,0,pt,
117,0,pt,
118,1,pt,
119,1,pt,
120,0,pt,
121,1,pt,
122,0,pt,
123,1,pt,
124,0,pt,
125,0,pt,
126,1,pt,
127,1,pt,
128,1,pt,
129,1,pt,
130,1,pt,
131,1,pt,
132,1,pt,
133,0,pt,
134,1,pt,
135,1,pt,
136,1,pt,
137,0,pt,
138,1,pt,
139,1,pt,
140,1,pt,
141,0,pt,
142,1,pt,
143,1,pt,
144,0,pt,
145,0,pt,
146,0,pt,
147,0,pt,
148,1,pt,
149,0,pt,
150,0,pt,
151,0,pt,
152,1,pt,
153,0,pt,
154,0,pt,
155,0,pt,
156,0,pt,
157,0,pt,
158,0,pt,
159,0,pt,
160,0,pt,
161,1,pt,
162,0,pt,
163,1,pt,
164,1,pt,
165,0,pt,
166,1,pt,
167,1,pt,
168,1,pt,
169,1,pt,
170,0,pt,
171,1,pt,
172,0,pt,
173,0,pt,
174,0,pt,
175,1,pt,
176,1,pt,
177,1,pt,
178,0,pt,
179,0,pt,
180,0,pt,
181,1,pt,
182,1,pt,
183,1,pt,
184,1,pt,
185,1,pt,
186,1,pt,
187,0,pt,
188,1,pt,
189,0,pt,
190,0,pt,
191,1,pt,
192,0,pt,
193,0,pt,
194,1,pt,
195,0,pt,
196,0,pt,
197,1,pt,
198,0,pt,
199,0,pt,
200,0,pt,
201,1,pt,
202,1,pt,
203,0,pt,
204,0,pt,
205,0,pt,
206,0,pt,
207,1,pt,
208,0,pt,
209,0,pt,
210,1,pt,
211,1,pt,
212,0,pt,
213,0,pt,
214,1,pt,
215,0,pt,
216,1,pt,
217,0,pt,
218,1,pt,
219,0,pt,
220,0,pt,
221,1,pt,
222,1,pt,
223,1,pt,
224,0,pt,
225,0,pt,
226,0,pt,
227,0,pt,
228,0,pt,
229,0,pt,
230,1,pt,
231,0,pt,
232,0,pt,
233,0,pt,
234,1,pt,
235,0,pt,
236,1,pt,
237,1,pt,
238,1,pt,
239,0,pt,
240,0,pt,
241,0,pt,
242,0,pt,
243,0,pt,
244,0,pt,
245,0,pt,
246,1,pt,
247,1,pt,
248,1,pt,
249,0,pt,
250,1,pt,
251,0,pt,
252,1,pt,
253,0,pt,
254,1,pt,
255,1,pt,
256,1,pt,
257,0,pt,
258,0,pt,
259,1,pt,
260,0,pt,
261,1,pt,
262,1,pt,
263,1,pt,
264,1,pt,
265,0,pt,
266,1,pt,
267,0,pt,
268,0,pt,
269,1,pt,
270,1,pt,
271,0,pt,
272,1,pt,
273,1,pt,
274,0,pt,
275,1,pt,
276,1,pt,
277,0,pt,
278,1,pt,
279,0,pt,
280,0,pt,
281,1,pt,
282,1,pt,
283,1,pt,
284,0,pt,
285,1,pt,
286,0,pt,
287,1,pt,
288,0,pt,
289,0,pt,
290,1,pt,
291,0,pt,
292,1,pt,
293,1,pt,
294,0,pt,
295,0,pt,
296,1,pt,
297,1,pt,
298,0,pt,
299,0,pt,
300,0,pt,
301,0,pt,
302,1,pt,
303,0,pt,
304,1,pt,
305,0,pt,
306,1,pt,
307,1,pt,
308,0,pt,
309,0,pt,
310,1,pt,
311,1,pt,
312,0,pt,
313,0,pt,
314,0,pt,
315,0,pt,
316,0,pt,
317,0,pt,
318,1,pt,
319,0,pt,
320,0,pt,
321,1,pt,
322,0,pt,
323,1,pt,
324,1,pt,
325,0,pt,
326,1,pt,
327,0,pt,
328,1,pt,
329,1,pt,
330,0,pt,
331,0,pt,
332,0,pt,
333,0,pt,
334,1,pt,
335,0,pt,
336,0,pt,
337,1,pt,
338,0,pt,
339,1,pt,
340,0,pt,
341,0,pt,
342,1,pt,
343,0,pt,
