id,prediction,language,error
0,0,hu,
1,0,hu,
2,0,hu,
3,0,hu,
4,0,hu,
5,0,hu,
6,0,hu,
7,0,hu,
8,0,hu,
9,0,hu,
10,0,hu,
11,1,hu,
12,1,hu,
13,0,hu,
14,0,hu,
15,0,hu,
16,1,hu,
17,0,hu,
18,1,hu,
19,0,hu,
20,0,hu,
21,0,hu,
22,0,hu,
23,0,hu,
24,0,hu,
25,0,hu,
26,0,hu,
27,0,hu,
28,1,hu,
29,0,hu,
30,0,hu,
31,0,hu,
32,0,hu,
33,0,hu,
34,1,hu,
35,0,hu,
36,0,hu,
37,0,hu,
38,1,hu,
39,0,hu,
40,1,hu,
41,1,hu,
42,0,hu,
43,0,hu,
44,1,hu,
45,1,hu,
46,1,hu,
47,0,hu,
48,0,hu,
49,1,hu,
50,0,hu,
51,0,hu,
52,0,hu,
53,0,hu,
54,1,hu,
55,0,hu,
56,1,hu,
57,1,hu,
58,0,hu,
59,1,hu,
60,1,hu,
61,0,hu,
62,1,hu,
63,0,hu,
64,0,hu,
65,1,hu,
66,0,hu,
67,0,hu,
68,1,hu,
69,1,hu,
70,0,hu,
71,0,hu,
72,0,hu,
73,0,hu,
74,1,hu,
75,0,hu,
76,1,hu,
77,0,hu,
78,0,hu,
79,0,hu,
80,0,hu,
81,1,hu,
82,1,hu,
83,1,hu,
84,0,hu,
85,0,hu,
86,0,hu,
87,1,hu,
88,0,hu,
89,0,hu,
90,0,hu,
91,0,hu,
92,0,hu,
93,0,hu,
94,0,hu,
95,1,hu,
96,0,hu,
97,1,hu,
98,1,hu,
99,1,hu,
100,0,hu,
101,0,hu,
102,0,hu,
103,0,hu,
104,1,hu,
105,0,hu,
106,0,hu,
107,0,hu,
108,0,hu,
109,0,hu,
110,1,hu,
111,0,hu,
112,0,hu,
113,0,hu,
114,1,hu,
115,0,hu,
116,0,hu,
117,0,hu,
118,0,hu,
119,0,hu,
120,1,hu,
121,0,hu,
122,0,hu,
123,1,hu,
124,1,hu,
125,1,hu,
126,0,hu,
127,0,hu,
128,0,hu,
129,1,hu,
130,0,hu,
131,1,hu,
132,1,hu,
133,0,hu,
134,1,hu,
135,0,hu,
136,0,hu,
137,1,hu,
138,0,hu,
139,0,hu,
140,0,hu,
141,0,hu,
142,0,hu,
143,0,hu,
144,1,hu,
145,0,hu,
146,0,hu,
147,0,hu,
148,0,hu,
149,1,hu,
150,0,hu,
151,0,hu,
152,0,hu,
153,1,hu,
154,0,hu,
155,1,hu,
156,0,hu,
157,1,hu,
158,0,hu,
159,0,hu,
160,0,hu,
161,0,hu,
162,0,hu,
163,1,hu,
164,0,hu,
165,1,hu,
166,1,hu,
167,0,hu,
168,0,hu,
169,0,hu,
170,0,hu,
171,1,hu,
172,1,hu,
173,1,hu,
174,1,hu,
175,1,hu,
176,0,hu,
177,0,hu,
178,0,hu,
179,0,hu,
180,0,hu,
181,1,hu,
182,1,hu,
183,1,hu,
184,0,hu,
185,0,hu,
186,0,hu,
187,0,hu,
188,0,hu,
189,0,hu,
190,0,hu,
191,1,hu,
192,0,hu,
193,0,hu,
194,0,hu,
195,0,hu,
196,0,hu,
197,0,hu,
198,0,hu,
199,0,hu,
200,0,hu,
201,0,hu,
202,0,hu,
203,1,hu,
204,0,hu,
205,1,hu,
206,0,hu,
207,0,hu,
208,1,hu,
209,0,hu,
210,1,hu,
211,0,hu,
212,0,hu,
213,0,hu,
214,1,hu,
215,0,hu,
216,1,hu,
217,0,hu,
218,1,hu,
219,0,hu,
220,0,hu,
221,0,hu,
222,0,hu,
223,1,hu,
224,0,hu,
225,0,hu,
226,0,hu,
227,0,hu,
228,0,hu,
229,0,hu,
