id,prediction,language,error
0,0,ar,
1,0,ar,
2,0,ar,
3,0,ar,
4,0,ar,
5,1,ar,
6,0,ar,
7,0,ar,
8,0,ar,
9,0,ar,
10,0,ar,
11,1,ar,
12,0,ar,
13,0,ar,
14,0,ar,
15,0,ar,
16,0,ar,
17,0,ar,
18,0,ar,
19,0,ar,
20,0,ar,
21,0,ar,
22,0,ar,
23,0,ar,
24,0,ar,
25,0,ar,
26,1,ar,
27,0,ar,
28,1,ar,
29,1,ar,
30,1,ar,
31,0,ar,
32,0,ar,
33,0,ar,
34,1,ar,
35,0,ar,
36,0,ar,
37,0,ar,
38,0,ar,
39,0,ar,
40,0,ar,
41,1,ar,
42,0,ar,
43,0,ar,
44,0,ar,
45,0,ar,
46,0,ar,
47,0,ar,
48,0,ar,
49,0,ar,
50,0,ar,
51,1,ar,
52,0,ar,
53,0,ar,
54,0,ar,
55,0,ar,
56,0,ar,
57,0,ar,
58,0,ar,
59,0,ar,
60,1,ar,
61,0,ar,
62,0,ar,
63,0,ar,
64,1,ar,
65,0,ar,
66,0,ar,
67,1,ar,
68,0,ar,
69,0,ar,
70,0,ar,
71,1,ar,
72,0,ar,
73,0,ar,
74,0,ar,
75,0,ar,
76,0,ar,
77,0,ar,
78,0,ar,
79,0,ar,
80,0,ar,
81,1,ar,
82,0,ar,
83,0,ar,
84,0,ar,
85,0,ar,
86,0,ar,
87,0,ar,
88,0,ar,
89,0,ar,
90,0,ar,
91,0,ar,
92,0,ar,
93,1,ar,
94,0,ar,
95,0,ar,
96,0,ar,
97,0,ar,
98,0,ar,
99,0,ar,
100,0,ar,
101,0,ar,
102,0,ar,
103,0,ar,
104,0,ar,
105,0,ar,
106,0,ar,
107,0,ar,
108,0,ar,
109,0,ar,
110,0,ar,
111,0,ar,
112,0,ar,
113,0,ar,
114,0,ar,
115,1,ar,
116,0,ar,
117,0,ar,
118,0,ar,
119,0,ar,
120,0,ar,
121,0,ar,
122,0,ar,
123,0,ar,
124,1,ar,
125,1,ar,
126,0,ar,
127,1,ar,
128,0,ar,
129,0,ar,
130,0,ar,
131,0,ar,
132,0,ar,
133,0,ar,
134,0,ar,
135,0,ar,
136,1,ar,
137,1,ar,
138,1,ar,
139,0,ar,
140,0,ar,
141,1,ar,
142,0,ar,
143,0,ar,
144,0,ar,
145,0,ar,
146,0,ar,
147,0,ar,
148,0,ar,
149,0,ar,
150,0,ar,
151,1,ar,
152,0,ar,
153,0,ar,
154,0,ar,
155,0,ar,
156,0,ar,
157,1,ar,
158,0,ar,
159,1,ar,
160,0,ar,
161,0,ar,
162,0,ar,
163,1,ar,
164,0,ar,
165,0,ar,
166,0,ar,
167,1,ar,
168,0,ar,
169,0,ar,
170,0,ar,
171,0,ar,
172,0,ar,
173,0,ar,
174,0,ar,
175,1,ar,
176,1,ar,
177,0,ar,
178,0,ar,
179,1,ar,
180,0,ar,
181,1,ar,
182,0,ar,
183,0,ar,
184,0,ar,
185,0,ar,
186,0,ar,
187,0,ar,
188,1,ar,
189,0,ar,
190,0,ar,
191,0,ar,
192,0,ar,
193,1,ar,
194,0,ar,
195,1,ar,
196,0,ar,
197,1,ar,
198,0,ar,
199,0,ar,
200,0,ar,
201,0,ar,
202,0,ar,
203,0,ar,
204,0,ar,
205,0,ar,
206,1,ar,
207,0,ar,
208,1,ar,
209,0,ar,
210,1,ar,
211,0,ar,
212,0,ar,
213,0,ar,
214,1,ar,
215,1,ar,
216,0,ar,
217,0,ar,
218,0,ar,
219,0,ar,
220,0,ar,
221,0,ar,
222,0,ar,
223,0,ar,
224,1,ar,
225,0,ar,
226,0,ar,
227,0,ar,
228,0,ar,
229,0,ar,
230,0,ar,
231,1,ar,
232,0,ar,
233,0,ar,
234,1,ar,
235,0,ar,
236,0,ar,
237,0,ar,
238,0,ar,
239,0,ar,
240,0,ar,
241,1,ar,
242,0,ar,
243,0,ar,
244,0,ar,
245,1,ar,
246,0,ar,
247,0,ar,
248,0,ar,
249,0,ar,
250,0,ar,
251,0,ar,
252,1,ar,
253,1,ar,
254,1,ar,
255,1,ar,
256,0,ar,
257,0,ar,
258,0,ar,
259,0,ar,
260,0,ar,
261,0,ar,
262,0,ar,
263,1,ar,
264,0,ar,
265,0,ar,
266,0,ar,
267,1,ar,
268,0,ar,
269,0,ar,
270,0,ar,
271,1,ar,
272,0,ar,
273,0,ar,
274,0,ar,
275,0,ar,
276,0,ar,
277,0,ar,
278,0,ar,
279,1,ar,
280,0,ar,
281,0,ar,
282,0,ar,
283,0,ar,
284,0,ar,
285,0,ar,
286,0,ar,
287,0,ar,
288,0,ar,
289,1,ar,
290,0,ar,
291,1,ar,
292,1,ar,
293,0,ar,
294,0,ar,
295,0,ar,
296,0,ar,
297,0,ar,
298,0,ar,
299,0,ar,
300,0,ar,
301,0,ar,
302,0,ar,
303,0,ar,
304,0,ar,
305,0,ar,
306,0,ar,
307,0,ar,
308,0,ar,
309,1,ar,
310,0,ar,
311,0,ar,
312,1,ar,
313,1,ar,
314,1,ar,
315,0,ar,
316,0,ar,
317,0,ar,
318,1,ar,
319,1,ar,
320,0,ar,
321,0,ar,
322,0,ar,
323,0,ar,
324,0,ar,
325,0,ar,
326,0,ar,
327,0,ar,
328,0,ar,
329,0,ar,
330,0,ar,
331,0,ar,
332,1,ar,
333,1,ar,
334,0,ar,
335,1,ar,
336,0,ar,
337,1,ar,
338,0,ar,
339,0,ar,
340,0,ar,
341,0,ar,
342,0,ar,
343,0,ar,
344,0,ar,
345,0,ar,
346,0,ar,
347,1,ar,
348,1,ar,
349,0,ar,
350,1,ar,
351,1,ar,
352,0,ar,
353,0,ar,
354,0,ar,
355,0,ar,
356,0,ar,
357,0,ar,
358,0,ar,
359,0,ar,
360,0,ar,
361,0,ar,
362,0,ar,
363,0,ar,
364,0,ar,
365,0,ar,
366,1,ar,
367,0,ar,
368,0,ar,
369,0,ar,
370,0,ar,
371,0,ar,
372,0,ar,
373,1,ar,
374,0,ar,
375,0,ar,
376,1,ar,
377,1,ar,
378,0,ar,
379,0,ar,
380,0,ar,
381,0,ar,
382,0,ar,
383,0,ar,
384,0,ar,
385,0,ar,
386,0,ar,
387,1,ar,
388,0,ar,
389,0,ar,
390,1,ar,
391,1,ar,
392,0,ar,
393,0,ar,
394,0,ar,
395,0,ar,
396,0,ar,
397,0,ar,
398,1,ar,
399,0,ar,
400,0,ar,
401,0,ar,
402,1,ar,
403,0,ar,
404,0,ar,
405,0,ar,
406,0,ar,
407,0,ar,
408,1,ar,
409,0,ar,
410,0,ar,
411,0,ar,
412,0,ar,
413,0,ar,
414,0,ar,
415,1,ar,
416,0,ar,
417,0,ar,
418,1,ar,
419,0,ar,
420,0,ar,
421,0,ar,
422,0,ar,
423,1,ar,
424,1,ar,
425,1,ar,
426,0,ar,
427,0,ar,
428,0,ar,
429,0,ar,
430,0,ar,
431,0,ar,
432,0,ar,
433,0,ar,
434,0,ar,
435,1,ar,
436,0,ar,
437,0,ar,
438,1,ar,
439,0,ar,
440,0,ar,
441,0,ar,
442,1,ar,
443,0,ar,
444,0,ar,
445,0,ar,
446,0,ar,
447,0,ar,
448,0,ar,
449,0,ar,
450,0,ar,
451,0,ar,
452,0,ar,
453,0,ar,
454,0,ar,
455,0,ar,
456,0,ar,
457,0,ar,
458,0,ar,
459,0,ar,
460,0,ar,
461,0,ar,
462,0,ar,
463,0,ar,
464,0,ar,
465,0,ar,
466,0,ar,
467,0,ar,
468,0,ar,
469,0,ar,
470,0,ar,
471,1,ar,
472,1,ar,
473,1,ar,
474,0,ar,
475,0,ar,
476,0,ar,
477,0,ar,
478,0,ar,
479,0,ar,
480,0,ar,
481,0,ar,
482,0,ar,
483,0,ar,
484,0,ar,
485,0,ar,
486,0,ar,
487,0,ar,
488,0,ar,
489,0,ar,
490,0,ar,
491,0,ar,
492,0,ar,
493,0,ar,
494,0,ar,
495,0,ar,
496,1,ar,
497,0,ar,
498,1,ar,
499,0,ar,
500,0,ar,
501,0,ar,
502,0,ar,
503,0,ar,
504,0,ar,
505,0,ar,
506,0,ar,
507,0,ar,
508,1,ar,
509,0,ar,
510,0,ar,
511,0,ar,
512,0,ar,
513,0,ar,
514,0,ar,
515,0,ar,
516,0,ar,
517,0,ar,
518,0,ar,
