id,prediction,language,error
0,0,ja,
1,0,ja,
2,0,ja,
3,0,ja,
4,0,ja,
5,0,ja,
6,0,ja,
7,0,ja,
8,0,ja,
9,0,ja,
10,0,ja,
11,0,ja,
12,0,ja,
13,1,ja,
14,0,ja,
15,1,ja,
16,1,ja,
17,0,ja,
18,0,ja,
19,1,ja,
20,0,ja,
21,0,ja,
22,0,ja,
23,1,ja,
24,1,ja,
25,1,ja,
26,1,ja,
27,0,ja,
28,0,ja,
29,1,ja,
30,1,ja,
31,0,ja,
32,1,ja,
33,1,ja,
34,0,ja,
35,1,ja,
36,0,ja,
37,0,ja,
38,0,ja,
39,0,ja,
40,1,ja,
41,1,ja,
42,0,ja,
43,0,ja,
44,1,ja,
45,0,ja,
46,1,ja,
47,0,ja,
48,1,ja,
49,1,ja,
50,0,ja,
51,1,ja,
52,0,ja,
53,0,ja,
54,0,ja,
55,0,ja,
56,0,ja,
57,0,ja,
58,1,ja,
59,0,ja,
60,0,ja,
61,1,ja,
62,0,ja,
63,0,ja,
64,0,ja,
65,1,ja,
66,1,ja,
67,1,ja,
68,0,ja,
69,0,ja,
70,0,ja,
71,1,ja,
72,0,ja,
73,0,ja,
74,0,ja,
75,0,ja,
76,0,ja,
77,1,ja,
78,0,ja,
79,0,ja,
80,0,ja,
81,0,ja,
82,0,ja,
83,0,ja,
84,0,ja,
85,1,ja,
86,0,ja,
87,1,ja,
88,0,ja,
89,0,ja,
90,1,ja,
91,1,ja,
92,1,ja,
93,1,ja,
94,0,ja,
95,0,ja,
96,0,ja,
97,1,ja,
98,0,ja,
99,1,ja,
100,0,ja,
101,0,ja,
102,0,ja,
103,0,ja,
104,0,ja,
105,1,ja,
106,0,ja,
107,0,ja,
108,1,ja,
109,1,ja,
110,1,ja,
111,0,ja,
112,1,ja,
113,0,ja,
114,0,ja,
115,0,ja,
116,1,ja,
117,0,ja,
118,0,ja,
119,0,ja,
120,0,ja,
121,1,ja,
122,0,ja,
123,1,ja,
124,0,ja,
125,0,ja,
126,0,ja,
127,0,ja,
128,1,ja,
129,1,ja,
130,0,ja,
131,0,ja,
132,0,ja,
133,1,ja,
134,0,ja,
135,0,ja,
136,1,ja,
137,1,ja,
138,0,ja,
139,0,ja,
140,0,ja,
141,1,ja,
142,0,ja,
143,1,ja,
144,0,ja,
145,0,ja,
146,1,ja,
147,0,ja,
148,0,ja,
149,0,ja,
150,1,ja,
151,0,ja,
152,1,ja,
153,0,ja,
154,1,ja,
155,1,ja,
156,0,ja,
157,0,ja,
158,0,ja,
159,0,ja,
160,1,ja,
161,0,ja,
162,0,ja,
163,0,ja,
164,0,ja,
165,1,ja,
166,0,ja,
167,0,ja,
168,1,ja,
169,0,ja,
170,1,ja,
171,0,ja,
172,0,ja,
173,1,ja,
174,1,ja,
175,1,ja,
176,1,ja,
177,1,ja,
178,0,ja,
179,1,ja,
180,0,ja,
181,0,ja,
182,0,ja,
183,1,ja,
184,1,ja,
185,1,ja,
186,0,ja,
187,1,ja,
188,1,ja,
189,1,ja,
190,0,ja,
191,1,ja,
192,1,ja,
193,1,ja,
194,0,ja,
195,0,ja,
196,1,ja,
197,0,ja,
198,1,ja,
199,1,ja,
200,0,ja,
201,1,ja,
202,1,ja,
203,0,ja,
204,0,ja,
205,1,ja,
206,0,ja,
207,1,ja,
208,0,ja,
209,0,ja,
210,1,ja,
211,0,ja,
212,1,ja,
213,1,ja,
214,1,ja,
215,1,ja,
216,1,ja,
217,1,ja,
218,0,ja,
219,0,ja,
220,0,ja,
221,1,ja,
222,0,ja,
223,1,ja,
224,1,ja,
225,1,ja,
226,1,ja,
227,0,ja,
228,0,ja,
229,0,ja,
230,1,ja,
231,0,ja,
232,0,ja,
233,0,ja,
234,1,ja,
235,0,ja,
236,1,ja,
237,1,ja,
238,1,ja,
239,1,ja,
240,0,ja,
241,0,ja,
242,0,ja,
243,0,ja,
244,1,ja,
245,0,ja,
246,1,ja,
247,0,ja,
248,0,ja,
249,1,ja,
250,0,ja,
251,0,ja,
252,1,ja,
253,1,ja,
254,1,ja,
255,0,ja,
256,0,ja,
257,0,ja,
258,0,ja,
259,0,ja,
260,1,ja,
261,0,ja,
262,1,ja,
263,0,ja,
264,1,ja,
265,0,ja,
266,0,ja,
267,0,ja,
268,1,ja,
269,1,ja,
270,0,ja,
271,1,ja,
272,1,ja,
273,0,ja,
274,0,ja,
275,0,ja,
276,0,ja,
277,0,ja,
278,1,ja,
279,0,ja,
280,0,ja,
281,1,ja,
282,1,ja,
283,0,ja,
284,1,ja,
285,0,ja,
286,0,ja,
287,0,ja,
288,0,ja,
289,1,ja,
290,1,ja,
291,0,ja,
292,1,ja,
293,0,ja,
294,1,ja,
295,0,ja,
296,1,ja,
297,1,ja,
298,0,ja,
299,0,ja,
300,0,ja,
301,0,ja,
302,0,ja,
303,0,ja,
304,0,ja,
305,1,ja,
306,1,ja,
307,0,ja,
308,1,ja,
309,1,ja,
310,1,ja,
311,1,ja,
312,0,ja,
313,1,ja,
314,0,ja,
315,0,ja,
316,0,ja,
317,0,ja,
318,0,ja,
319,0,ja,
320,1,ja,
321,0,ja,
322,0,ja,
323,0,ja,
324,0,ja,
325,0,ja,
326,0,ja,
327,0,ja,
328,0,ja,
329,0,ja,
330,0,ja,
331,0,ja,
332,1,ja,
333,0,ja,
334,1,ja,
335,0,ja,
336,0,ja,
337,0,ja,
338,0,ja,
339,1,ja,
340,1,ja,
341,1,ja,
342,0,ja,
343,0,ja,
344,1,ja,
345,0,ja,
346,0,ja,
347,0,ja,
348,0,ja,
349,0,ja,
350,0,ja,
351,0,ja,
352,0,ja,
353,0,ja,
354,1,ja,
355,0,ja,
356,0,ja,
357,0,ja,
358,0,ja,
359,0,ja,
360,0,ja,
361,1,ja,
362,0,ja,
363,0,ja,
364,0,ja,
365,0,ja,
366,0,ja,
367,0,ja,
368,0,ja,
369,0,ja,
370,1,ja,
371,0,ja,
372,0,ja,
373,0,ja,
374,0,ja,
375,1,ja,
376,0,ja,
377,0,ja,
378,0,ja,
379,0,ja,
380,0,ja,
381,0,ja,
382,0,ja,
383,0,ja,
384,1,ja,
385,1,ja,
386,0,ja,
387,0,ja,
388,0,ja,
389,0,ja,
390,0,ja,
391,0,ja,
392,1,ja,
393,0,ja,
394,1,ja,
395,0,ja,
396,0,ja,
397,0,ja,
398,0,ja,
399,1,ja,
400,1,ja,
401,1,ja,
402,1,ja,
403,0,ja,
404,0,ja,
405,1,ja,
406,0,ja,
407,0,ja,
408,1,ja,
409,0,ja,
410,0,ja,
411,0,ja,
412,0,ja,
413,0,ja,
414,1,ja,
415,0,ja,
416,0,ja,
417,0,ja,
418,1,ja,
419,0,ja,
420,0,ja,
421,1,ja,
422,1,ja,
423,0,ja,
424,1,ja,
425,0,ja,
426,0,ja,
427,0,ja,
428,0,ja,
429,0,ja,
430,1,ja,
431,1,ja,
432,0,ja,
433,0,ja,
434,0,ja,
435,0,ja,
436,0,ja,
437,0,ja,
438,0,ja,
439,0,ja,
440,0,ja,
441,1,ja,
442,0,ja,
443,1,ja,
444,0,ja,
445,0,ja,
446,0,ja,
447,1,ja,
448,0,ja,
449,1,ja,
450,0,ja,
451,0,ja,
452,1,ja,
453,1,ja,
454,1,ja,
455,0,ja,
456,1,ja,
457,1,ja,
458,1,ja,
459,0,ja,
460,0,ja,
461,0,ja,
462,0,ja,
463,0,ja,
464,1,ja,
465,0,ja,
466,1,ja,
467,0,ja,
468,0,ja,
469,0,ja,
470,0,ja,
471,0,ja,
472,1,ja,
473,0,ja,
474,1,ja,
475,1,ja,
476,0,ja,
477,0,ja,
478,0,ja,
479,1,ja,
480,0,ja,
481,1,ja,
482,0,ja,
483,0,ja,
484,0,ja,
485,0,ja,
486,1,ja,
487,0,ja,
488,1,ja,
489,0,ja,
490,1,ja,
491,0,ja,
492,1,ja,
493,0,ja,
494,1,ja,
495,0,ja,
496,1,ja,
497,1,ja,
498,1,ja,
499,0,ja,
500,1,ja,
501,0,ja,
502,1,ja,
503,0,ja,
504,0,ja,
505,1,ja,
506,1,ja,
507,1,ja,
508,0,ja,
509,1,ja,
510,1,ja,
511,0,ja,
512,1,ja,
513,1,ja,
514,0,ja,
515,0,ja,
516,1,ja,
517,1,ja,
518,0,ja,
519,0,ja,
520,1,ja,
521,0,ja,
522,0,ja,
523,1,ja,
524,1,ja,
525,0,ja,
526,1,ja,
527,0,ja,
528,0,ja,
529,1,ja,
530,0,ja,
531,0,ja,
532,0,ja,
533,1,ja,
534,0,ja,
535,0,ja,
536,1,ja,
537,0,ja,
538,0,ja,
539,0,ja,
540,0,ja,
541,0,ja,
542,0,ja,
543,0,ja,
544,0,ja,
545,0,ja,
546,1,ja,
547,0,ja,
548,1,ja,
549,0,ja,
550,0,ja,
551,0,ja,
552,0,ja,
553,0,ja,
554,1,ja,
555,1,ja,
556,1,ja,
557,1,ja,
558,0,ja,
559,0,ja,
560,0,ja,
561,1,ja,
562,0,ja,
563,0,ja,
564,0,ja,
565,1,ja,
566,0,ja,
567,0,ja,
568,0,ja,
569,0,ja,
570,0,ja,
571,0,ja,
572,0,ja,
573,1,ja,
574,1,ja,
575,1,ja,
576,1,ja,
577,0,ja,
578,1,ja,
579,1,ja,
580,1,ja,
581,0,ja,
582,1,ja,
583,1,ja,
584,0,ja,
585,0,ja,
586,1,ja,
587,0,ja,
588,0,ja,
589,0,ja,
590,0,ja,
591,0,ja,
592,1,ja,
593,0,ja,
594,0,ja,
595,1,ja,
596,0,ja,
597,0,ja,
598,1,ja,
599,0,ja,
600,0,ja,
601,0,ja,
602,0,ja,
603,0,ja,
604,0,ja,
605,0,ja,
606,0,ja,
607,1,ja,
608,0,ja,
609,0,ja,
610,1,ja,
611,0,ja,
612,0,ja,
613,0,ja,
614,0,ja,
615,0,ja,
616,0,ja,
617,0,ja,
618,0,ja,
619,0,ja,
620,0,ja,
621,0,ja,
622,0,ja,
623,0,ja,
624,0,ja,
625,1,ja,
626,1,ja,
627,0,ja,
628,0,ja,
629,0,ja,
630,0,ja,
631,1,ja,
632,0,ja,
633,0,ja,
634,0,ja,
635,0,ja,
636,1,ja,
637,0,ja,
638,1,ja,
639,0,ja,
640,1,ja,
641,1,ja,
642,1,ja,
643,0,ja,
644,0,ja,
645,1,ja,
646,0,ja,
647,1,ja,
648,0,ja,
649,0,ja,
650,1,ja,
