id,prediction,language,error
0,1,id,
1,1,id,
2,0,id,
3,0,id,
4,1,id,
5,0,id,
6,1,id,
7,0,id,
8,1,id,
9,0,id,
10,0,id,
11,1,id,
12,0,id,
13,0,id,
14,0,id,
15,1,id,
16,1,id,
17,0,id,
18,0,id,
19,0,id,
20,1,id,
21,0,id,
22,1,id,
23,1,id,
24,0,id,
25,0,id,
26,0,id,
27,1,id,
28,1,id,
29,0,id,
30,0,id,
31,0,id,
32,1,id,
33,0,id,
34,0,id,
35,0,id,
36,0,id,
37,1,id,
38,0,id,
39,1,id,
40,0,id,
41,0,id,
42,0,id,
43,1,id,
44,1,id,
45,1,id,
46,0,id,
47,0,id,
48,1,id,
49,0,id,
50,1,id,
51,0,id,
52,0,id,
53,1,id,
54,1,id,
55,0,id,
56,0,id,
57,0,id,
58,0,id,
59,0,id,
60,1,id,
61,0,id,
62,0,id,
63,1,id,
64,1,id,
65,1,id,
66,1,id,
67,1,id,
68,0,id,
69,0,id,
70,0,id,
71,1,id,
72,1,id,
73,1,id,
74,0,id,
75,0,id,
76,0,id,
77,0,id,
78,0,id,
79,0,id,
80,0,id,
81,0,id,
82,0,id,
83,1,id,
84,1,id,
85,1,id,
86,0,id,
87,1,id,
88,1,id,
89,0,id,
90,1,id,
91,1,id,
92,0,id,
93,1,id,
94,1,id,
95,1,id,
96,1,id,
97,1,id,
98,0,id,
99,0,id,
100,1,id,
101,0,id,
102,1,id,
103,0,id,
104,1,id,
105,0,id,
106,0,id,
107,1,id,
108,0,id,
109,1,id,
110,0,id,
111,0,id,
112,0,id,
113,1,id,
114,0,id,
115,0,id,
116,0,id,
117,0,id,
118,0,id,
119,1,id,
120,0,id,
121,0,id,
122,1,id,
123,0,id,
124,0,id,
125,1,id,
126,1,id,
127,1,id,
128,1,id,
129,0,id,
130,1,id,
131,0,id,
132,1,id,
133,0,id,
134,0,id,
135,1,id,
136,1,id,
137,0,id,
138,0,id,
139,1,id,
140,0,id,
141,0,id,
142,1,id,
143,0,id,
144,1,id,
145,1,id,
146,1,id,
147,1,id,
148,1,id,
149,1,id,
150,0,id,
151,0,id,
152,1,id,
153,0,id,
154,0,id,
155,0,id,
156,0,id,
157,0,id,
158,0,id,
159,0,id,
160,1,id,
161,0,id,
162,0,id,
163,1,id,
164,0,id,
165,1,id,
166,0,id,
167,0,id,
168,0,id,
169,1,id,
170,0,id,
