id,prompt,prediction,label,language,error
0,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: ดี, ฉันไม่ได้คิดอะไรเกี่ยวกับเรื่องนี้, แต่ฉันก็ผิดหวัง, และ, ฉันก็กลับไปคุยกับเขาอีกครั้ง
Sentence 2: ฉันไม่ได้คุยกับเขาอีกเลย

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,2,th,
1,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: ดี, ฉันไม่ได้คิดอะไรเกี่ยวกับเรื่องนี้, แต่ฉันก็ผิดหวัง, และ, ฉันก็กลับไปคุยกับเขาอีกครั้ง
Sentence 2: ฉันรู้สึกเเย่มากที่ฉันกำลังเริ่มที่จะคุยกับเขาอีกเเล้ว

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,0,th,
2,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: ดี, ฉันไม่ได้คิดอะไรเกี่ยวกับเรื่องนี้, แต่ฉันก็ผิดหวัง, และ, ฉันก็กลับไปคุยกับเขาอีกครั้ง
Sentence 2: พวกเราคุยกันได้ถูกคอจริงๆ

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,1,th,
3,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: และฉันนึกว่านั้นเป็นสิทธิพิเศษและมันยังคงเป็น ฉันเป็นเก้า สอง-สอง เอ็กซ์-โอ ซึ่งเป็นสาขาอาชีพ AFFC Air Force ของฉัน
Sentence 2: ฉันไม่รู้เลยว่าฉันไม่ใช่เเค่คนเดียวที่อยู่ที่ไร่ในวันนั้น

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",2,1,th,
4,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: และฉันนึกว่านั้นเป็นสิทธิพิเศษและมันยังคงเป็น ฉันเป็นเก้า สอง-สอง เอ็กซ์-โอ ซึ่งเป็นสาขาอาชีพ AFFC Air Force ของฉัน
Sentence 2: ฉันเข้าใจว่าฉันคือคนเดียวที่มีเลขที่ AFFC สาขาอาชีพของกอพทัพอากาศ

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,0,th,
5,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: และฉันนึกว่านั้นเป็นสิทธิพิเศษและมันยังคงเป็น ฉันเป็นเก้า สอง-สอง เอ็กซ์-โอ ซึ่งเป็นสาขาอาชีพ AFFC Air Force ของฉัน
Sentence 2: พวกเราได้รับการปฎิบัติอย่างเท่าๆกัน ไม่ว่าเราจะได้รับคำสัญญาว่าเราจะได้สิทธิพิเศษอะไรบ้าง ทุกๆอย่างเป็นเรื่องโกหก

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,2,th,
6,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: พวกเขาบอกฉันว่าเขาจะเรียกคน ๆ หนึ่งเข้ามาในตอนท้ายให้ฉันพบ
Sentence 2: ฉันไม่เคยพูดเรื่องประชุมกับใคร

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",1,2,th,
7,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: พวกเขาบอกฉันว่าเขาจะเรียกคน ๆ หนึ่งเข้ามาในตอนท้ายให้ฉันพบ
Sentence 2: ฉันได้รับข้อมูลมาว่าเขาจะมาที่นี้เพื่อพบฉัน

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",1,0,th,
8,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: พวกเขาบอกฉันว่าเขาจะเรียกคน ๆ หนึ่งเข้ามาในตอนท้ายให้ฉันพบ
Sentence 2: เขามาช้านิดหน่อย

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,1,th,
9,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: มันมีอีกมากที่คุณสามารถพูดคุยเกี่ยวกับสิ่งนั้น ฉันจะข้ามไปละกัน
Sentence 2: ฉันต้องการจะบอกคุณทุกอย่างที่ฉันรู้เกี่ยวกับเรื่องนี้!

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,2,th,
