id,prediction,language,error
0,0,es,
1,1,es,
2,1,es,
3,1,es,
4,1,es,
5,1,es,
6,0,es,
7,0,es,
8,0,es,
9,0,es,
10,1,es,
11,0,es,
12,1,es,
13,0,es,
14,0,es,
15,0,es,
16,1,es,
17,1,es,
18,1,es,
19,1,es,
20,0,es,
21,1,es,
22,0,es,
23,0,es,
24,1,es,
25,0,es,
26,0,es,
27,1,es,
28,0,es,
29,0,es,
30,1,es,
31,1,es,
32,0,es,
33,1,es,
34,1,es,
35,0,es,
36,1,es,
37,0,es,
38,0,es,
39,0,es,
40,1,es,
41,0,es,
42,0,es,
43,0,es,
44,0,es,
45,1,es,
46,0,es,
47,0,es,
48,1,es,
49,0,es,
50,0,es,
51,0,es,
52,0,es,
53,0,es,
54,0,es,
55,1,es,
56,1,es,
57,1,es,
58,0,es,
59,0,es,
60,0,es,
61,0,es,
62,1,es,
63,1,es,
64,1,es,
65,0,es,
66,1,es,
67,0,es,
68,1,es,
69,1,es,
70,1,es,
71,1,es,
72,1,es,
73,0,es,
74,1,es,
75,0,es,
76,0,es,
77,0,es,
78,1,es,
79,0,es,
80,1,es,
81,1,es,
82,1,es,
83,0,es,
84,1,es,
85,0,es,
86,0,es,
87,1,es,
88,1,es,
89,0,es,
90,0,es,
91,0,es,
92,1,es,
93,1,es,
94,0,es,
95,0,es,
96,0,es,
97,0,es,
98,0,es,
99,0,es,
100,0,es,
101,1,es,
102,0,es,
103,1,es,
104,1,es,
105,1,es,
106,0,es,
107,0,es,
108,0,es,
109,0,es,
110,1,es,
111,1,es,
112,0,es,
113,1,es,
114,0,es,
115,1,es,
116,0,es,
117,0,es,
118,0,es,
119,0,es,
120,1,es,
121,1,es,
122,0,es,
123,1,es,
124,0,es,
125,0,es,
126,1,es,
127,1,es,
128,1,es,
129,0,es,
130,1,es,
131,0,es,
132,1,es,
133,1,es,
134,1,es,
135,0,es,
136,0,es,
137,0,es,
138,1,es,
139,0,es,
140,1,es,
141,0,es,
142,0,es,
143,1,es,
144,1,es,
145,1,es,
146,1,es,
147,1,es,
148,0,es,
149,1,es,
150,1,es,
151,1,es,
152,0,es,
