id,prediction,language,error
0,1,el,
1,0,el,
2,0,el,
3,0,el,
4,1,el,
5,0,el,
6,0,el,
7,0,el,
8,0,el,
9,0,el,
10,0,el,
11,1,el,
12,0,el,
13,0,el,
14,1,el,
15,0,el,
16,1,el,
17,0,el,
18,0,el,
19,0,el,
20,0,el,
21,1,el,
22,0,el,
23,1,el,
24,0,el,
25,0,el,
26,0,el,
27,1,el,
28,0,el,
29,0,el,
30,1,el,
31,0,el,
32,0,el,
33,1,el,
34,0,el,
35,1,el,
36,1,el,
37,0,el,
38,0,el,
39,0,el,
40,1,el,
41,0,el,
42,0,el,
43,0,el,
44,1,el,
45,0,el,
46,1,el,
47,1,el,
48,0,el,
49,0,el,
50,0,el,
51,0,el,
52,0,el,
53,1,el,
54,0,el,
55,1,el,
56,1,el,
57,0,el,
58,0,el,
59,0,el,
60,0,el,
61,0,el,
62,1,el,
63,1,el,
64,0,el,
65,0,el,
66,0,el,
67,0,el,
68,0,el,
69,0,el,
70,0,el,
71,0,el,
72,0,el,
73,0,el,
74,1,el,
75,0,el,
76,0,el,
77,0,el,
78,0,el,
79,0,el,
80,1,el,
81,1,el,
82,0,el,
83,0,el,
84,0,el,
85,1,el,
86,1,el,
87,0,el,
88,1,el,
89,0,el,
90,0,el,
91,1,el,
92,1,el,
93,1,el,
94,0,el,
95,0,el,
96,0,el,
97,0,el,
98,0,el,
99,0,el,
100,0,el,
101,0,el,
102,1,el,
103,1,el,
104,0,el,
105,0,el,
106,1,el,
107,1,el,
108,1,el,
109,0,el,
110,0,el,
111,0,el,
112,1,el,
113,0,el,
114,0,el,
115,1,el,
116,0,el,
117,0,el,
118,0,el,
119,1,el,
120,0,el,
121,0,el,
122,0,el,
123,0,el,
124,0,el,
125,0,el,
126,1,el,
127,1,el,
128,0,el,
129,1,el,
130,0,el,
131,0,el,
132,0,el,
133,0,el,
134,1,el,
135,0,el,
136,0,el,
137,0,el,
138,0,el,
139,1,el,
140,1,el,
141,1,el,
142,0,el,
143,0,el,
144,0,el,
145,0,el,
146,0,el,
147,0,el,
148,0,el,
149,0,el,
150,0,el,
151,0,el,
152,1,el,
153,1,el,
154,0,el,
155,0,el,
156,0,el,
157,0,el,
158,0,el,
159,1,el,
160,1,el,
161,0,el,
162,0,el,
163,0,el,
164,0,el,
165,0,el,
166,0,el,
167,0,el,
168,0,el,
169,0,el,
170,0,el,
171,0,el,
172,0,el,
173,0,el,
174,0,el,
175,0,el,
176,0,el,
177,0,el,
178,0,el,
179,0,el,
180,0,el,
181,0,el,
182,0,el,
183,0,el,
184,0,el,
185,0,el,
186,0,el,
187,0,el,
188,0,el,
189,1,el,
190,0,el,
191,0,el,
192,0,el,
193,0,el,
194,1,el,
195,0,el,
196,0,el,
197,0,el,
198,0,el,
199,0,el,
200,0,el,
201,0,el,
202,1,el,
203,1,el,
204,0,el,
205,0,el,
206,1,el,
207,0,el,
208,1,el,
209,1,el,
210,1,el,
211,1,el,
212,1,el,
213,1,el,
214,0,el,
215,0,el,
216,0,el,
217,0,el,
218,0,el,
219,1,el,
220,0,el,
221,0,el,
222,1,el,
223,0,el,
224,0,el,
225,0,el,
