id,prediction,language,error
0,0,es,
1,0,es,
2,0,es,
3,0,es,
4,1,es,
5,0,es,
6,1,es,
7,1,es,
8,0,es,
9,0,es,
10,0,es,
11,1,es,
12,0,es,
13,0,es,
14,1,es,
15,0,es,
16,0,es,
17,0,es,
18,1,es,
19,0,es,
20,0,es,
21,0,es,
22,1,es,
23,1,es,
24,0,es,
25,0,es,
26,0,es,
27,0,es,
28,0,es,
29,1,es,
30,0,es,
31,1,es,
32,0,es,
33,0,es,
34,0,es,
35,0,es,
36,0,es,
37,1,es,
38,0,es,
39,0,es,
40,0,es,
41,1,es,
42,0,es,
43,0,es,
44,1,es,
45,0,es,
46,0,es,
47,0,es,
48,0,es,
49,1,es,
50,1,es,
51,0,es,
52,1,es,
53,1,es,
54,0,es,
55,1,es,
56,0,es,
57,0,es,
58,0,es,
59,0,es,
60,0,es,
61,1,es,
62,0,es,
63,1,es,
64,0,es,
65,0,es,
66,0,es,
67,1,es,
68,0,es,
69,0,es,
70,0,es,
71,0,es,
72,0,es,
73,0,es,
74,1,es,
75,0,es,
76,1,es,
77,0,es,
78,0,es,
79,0,es,
80,0,es,
81,0,es,
82,1,es,
83,0,es,
84,1,es,
85,1,es,
86,1,es,
87,1,es,
88,0,es,
89,0,es,
90,1,es,
91,1,es,
92,1,es,
93,0,es,
94,0,es,
95,0,es,
96,1,es,
97,0,es,
98,0,es,
99,0,es,
100,0,es,
101,0,es,
102,0,es,
103,1,es,
104,0,es,
105,0,es,
106,0,es,
107,1,es,
108,1,es,
109,1,es,
110,0,es,
111,1,es,
112,0,es,
113,0,es,
114,1,es,
115,1,es,
116,0,es,
117,0,es,
118,0,es,
119,0,es,
120,0,es,
121,0,es,
122,1,es,
123,1,es,
124,1,es,
125,0,es,
126,0,es,
127,1,es,
128,1,es,
129,0,es,
130,0,es,
131,0,es,
132,0,es,
133,0,es,
134,0,es,
135,0,es,
136,0,es,
137,1,es,
138,0,es,
139,0,es,
140,0,es,
141,0,es,
142,0,es,
143,0,es,
144,0,es,
145,0,es,
146,0,es,
147,0,es,
148,0,es,
149,0,es,
150,1,es,
151,1,es,
152,1,es,
153,0,es,
154,1,es,
155,0,es,
156,0,es,
157,0,es,
158,1,es,
159,1,es,
160,1,es,
161,1,es,
162,1,es,
163,1,es,
164,0,es,
165,0,es,
166,0,es,
167,0,es,
168,1,es,
169,1,es,
170,0,es,
171,0,es,
172,1,es,
173,0,es,
174,0,es,
175,0,es,
176,0,es,
177,1,es,
178,0,es,
179,0,es,
180,0,es,
181,0,es,
182,0,es,
183,0,es,
184,0,es,
185,0,es,
186,1,es,
187,1,es,
188,0,es,
189,1,es,
190,1,es,
191,0,es,
192,0,es,
193,0,es,
194,0,es,
195,0,es,
196,0,es,
197,1,es,
198,1,es,
199,0,es,
200,0,es,
201,0,es,
202,1,es,
203,0,es,
204,0,es,
205,1,es,
206,0,es,
207,0,es,
208,0,es,
209,1,es,
210,0,es,
211,0,es,
212,0,es,
213,0,es,
214,1,es,
215,0,es,
216,0,es,
217,0,es,
218,0,es,
219,1,es,
220,1,es,
221,1,es,
222,0,es,
223,1,es,
224,1,es,
225,0,es,
226,1,es,
227,0,es,
228,0,es,
229,1,es,
230,0,es,
231,0,es,
232,1,es,
233,0,es,
234,0,es,
235,1,es,
236,1,es,
237,1,es,
238,1,es,
239,0,es,
240,0,es,
241,0,es,
242,0,es,
243,0,es,
244,1,es,
245,1,es,
246,1,es,
247,0,es,
248,1,es,
249,1,es,
250,0,es,
251,0,es,
252,0,es,
253,1,es,
254,0,es,
255,1,es,
256,1,es,
257,1,es,
258,0,es,
259,0,es,
260,0,es,
261,0,es,
262,0,es,
263,1,es,
264,0,es,
265,0,es,
266,0,es,
267,0,es,
268,0,es,
269,0,es,
270,1,es,
271,1,es,
272,0,es,
273,0,es,
274,0,es,
275,1,es,
276,0,es,
277,1,es,
278,1,es,
279,0,es,
280,0,es,
281,0,es,
282,0,es,
283,1,es,
284,0,es,
285,0,es,
286,0,es,
287,0,es,
288,0,es,
289,0,es,
290,1,es,
291,1,es,
292,0,es,
293,1,es,
294,1,es,
295,1,es,
296,0,es,
297,0,es,
298,0,es,
299,0,es,
300,0,es,
301,1,es,
302,0,es,
303,1,es,
304,1,es,
305,0,es,
306,0,es,
307,0,es,
308,0,es,
309,0,es,
310,0,es,
311,0,es,
312,0,es,
313,1,es,
314,1,es,
315,1,es,
316,1,es,
317,0,es,
318,0,es,
319,0,es,
320,1,es,
321,0,es,
322,0,es,
323,1,es,
324,1,es,
325,1,es,
326,0,es,
327,0,es,
328,1,es,
329,0,es,
330,1,es,
331,0,es,
332,0,es,
333,1,es,
334,0,es,
335,1,es,
336,0,es,
337,0,es,
338,1,es,
339,1,es,
340,1,es,
341,0,es,
342,1,es,
343,1,es,
344,1,es,
345,0,es,
346,0,es,
347,0,es,
348,0,es,
349,1,es,
350,0,es,
351,0,es,
352,1,es,
353,1,es,
354,0,es,
355,0,es,
356,1,es,
357,0,es,
358,0,es,
359,0,es,
360,1,es,
361,0,es,
362,1,es,
363,0,es,
364,0,es,
365,0,es,
366,0,es,
367,1,es,
368,0,es,
369,1,es,
370,0,es,
371,1,es,
372,1,es,
373,0,es,
374,1,es,
375,0,es,
376,0,es,
377,1,es,
378,0,es,
379,0,es,
380,1,es,
381,0,es,
382,0,es,
383,0,es,
384,0,es,
385,1,es,
386,1,es,
387,1,es,
388,0,es,
389,1,es,
390,1,es,
391,1,es,
392,0,es,
393,1,es,
394,0,es,
395,1,es,
396,0,es,
397,1,es,
398,1,es,
399,0,es,
400,0,es,
401,1,es,
402,0,es,
403,0,es,
404,1,es,
405,0,es,
406,0,es,
407,0,es,
408,1,es,
409,1,es,
410,0,es,
411,0,es,
412,0,es,
413,0,es,
414,1,es,
415,1,es,
416,0,es,
417,0,es,
418,1,es,
419,1,es,
420,0,es,
421,0,es,
422,0,es,
423,1,es,
424,0,es,
425,0,es,
426,0,es,
427,1,es,
428,0,es,
429,0,es,
430,0,es,
431,0,es,
432,1,es,
433,1,es,
434,0,es,
435,0,es,
436,1,es,
437,0,es,
438,0,es,
439,0,es,
440,0,es,
441,0,es,
442,1,es,
443,0,es,
444,1,es,
445,0,es,
446,0,es,
447,0,es,
448,0,es,
449,1,es,
450,0,es,
451,0,es,
452,1,es,
453,0,es,
454,1,es,
455,0,es,
456,1,es,
457,1,es,
458,0,es,
459,0,es,
460,0,es,
461,1,es,
462,1,es,
463,0,es,
464,1,es,
465,0,es,
466,0,es,
467,0,es,
468,0,es,
469,1,es,
470,1,es,
471,0,es,
472,1,es,
473,1,es,
474,0,es,
475,1,es,
476,0,es,
477,1,es,
478,1,es,
479,0,es,
480,1,es,
481,0,es,
482,1,es,
483,0,es,
484,0,es,
485,1,es,
486,1,es,
487,1,es,
488,1,es,
489,1,es,
490,1,es,
491,0,es,
492,0,es,
493,0,es,
494,0,es,
495,1,es,
496,1,es,
497,0,es,
498,1,es,
499,0,es,
500,1,es,
501,1,es,
502,0,es,
503,1,es,
504,1,es,
505,0,es,
506,1,es,
507,0,es,
508,0,es,
509,1,es,
510,0,es,
511,0,es,
512,0,es,
513,1,es,
514,0,es,
515,0,es,
516,0,es,
517,0,es,
518,0,es,
519,1,es,
520,0,es,
521,0,es,
522,1,es,
523,1,es,
524,1,es,
525,0,es,
526,0,es,
527,1,es,
528,1,es,
529,1,es,
530,0,es,
531,0,es,
532,1,es,
533,0,es,
534,0,es,
535,0,es,
536,0,es,
537,0,es,
538,0,es,
539,1,es,
540,1,es,
541,0,es,
542,1,es,
543,0,es,
544,1,es,
545,1,es,
546,0,es,
547,1,es,
548,0,es,
549,1,es,
550,0,es,
551,0,es,
552,0,es,
553,0,es,
554,0,es,
555,0,es,
556,0,es,
557,0,es,
558,1,es,
559,1,es,
560,0,es,
561,0,es,
562,0,es,
563,1,es,
564,1,es,
565,1,es,
566,0,es,
567,1,es,
568,0,es,
569,0,es,
570,1,es,
571,0,es,
572,1,es,
573,0,es,
574,0,es,
575,0,es,
576,0,es,
577,0,es,
578,0,es,
579,1,es,
580,1,es,
581,1,es,
582,0,es,
583,0,es,
584,0,es,
585,1,es,
586,1,es,
587,1,es,
588,1,es,
589,0,es,
590,1,es,
591,0,es,
592,0,es,
593,0,es,
594,0,es,
595,1,es,
596,0,es,
597,0,es,
598,0,es,
599,0,es,
600,1,es,
601,0,es,
602,0,es,
603,1,es,
604,1,es,
605,0,es,
606,0,es,
607,1,es,
608,1,es,
609,1,es,
610,0,es,
611,0,es,
612,0,es,
613,1,es,
614,0,es,
615,1,es,
616,0,es,
617,0,es,
618,0,es,
619,0,es,
620,0,es,
621,0,es,
622,0,es,
623,0,es,
624,0,es,
625,1,es,
626,0,es,
627,0,es,
628,0,es,
629,1,es,
630,0,es,
631,1,es,
632,1,es,
633,1,es,
634,1,es,
635,0,es,
636,0,es,
637,0,es,
638,0,es,
639,1,es,
640,1,es,
641,0,es,
642,1,es,
643,0,es,
644,1,es,
645,1,es,
646,0,es,
647,1,es,
648,0,es,
649,0,es,
650,0,es,
651,1,es,
652,1,es,
653,0,es,
654,0,es,
655,0,es,
656,0,es,
657,0,es,
658,1,es,
659,0,es,
660,0,es,
661,0,es,
662,0,es,
663,1,es,
664,1,es,
665,0,es,
666,1,es,
667,0,es,
668,0,es,
669,1,es,
670,0,es,
671,0,es,
672,0,es,
673,0,es,
674,0,es,
675,0,es,
676,0,es,
677,1,es,
678,0,es,
679,0,es,
680,0,es,
681,0,es,
682,1,es,
