id,prediction,language,error
0,0,he,
1,0,he,
2,0,he,
3,0,he,
4,1,he,
5,1,he,
6,1,he,
7,1,he,
8,1,he,
9,0,he,
10,0,he,
11,0,he,
12,0,he,
13,0,he,
14,0,he,
15,0,he,
16,1,he,
17,0,he,
18,0,he,
19,0,he,
20,0,he,
21,0,he,
22,0,he,
23,1,he,
24,1,he,
25,0,he,
26,0,he,
27,0,he,
28,0,he,
29,0,he,
30,0,he,
31,1,he,
32,1,he,
33,0,he,
34,0,he,
35,1,he,
36,1,he,
37,0,he,
38,0,he,
39,0,he,
40,0,he,
41,0,he,
42,0,he,
43,1,he,
44,0,he,
45,0,he,
46,1,he,
47,0,he,
48,0,he,
49,1,he,
50,1,he,
51,1,he,
52,0,he,
53,1,he,
54,1,he,
55,0,he,
56,1,he,
57,0,he,
58,0,he,
59,1,he,
60,1,he,
61,0,he,
62,0,he,
63,0,he,
64,0,he,
65,0,he,
66,1,he,
67,1,he,
68,1,he,
69,0,he,
70,0,he,
71,0,he,
72,1,he,
73,0,he,
74,0,he,
75,0,he,
76,0,he,
77,1,he,
78,1,he,
79,1,he,
80,0,he,
81,1,he,
82,1,he,
83,0,he,
84,0,he,
85,1,he,
86,0,he,
87,1,he,
88,0,he,
89,0,he,
90,0,he,
91,1,he,
92,0,he,
93,0,he,
94,0,he,
95,1,he,
96,1,he,
97,0,he,
98,1,he,
99,0,he,
100,0,he,
101,1,he,
102,0,he,
103,0,he,
104,0,he,
105,0,he,
106,0,he,
107,0,he,
108,1,he,
109,1,he,
110,1,he,
111,0,he,
112,1,he,
113,0,he,
114,0,he,
115,1,he,
116,0,he,
117,0,he,
118,0,he,
119,1,he,
120,1,he,
121,1,he,
122,0,he,
123,1,he,
124,0,he,
125,1,he,
126,1,he,
127,1,he,
128,1,he,
129,0,he,
130,1,he,
131,0,he,
132,0,he,
133,1,he,
134,0,he,
135,0,he,
136,0,he,
137,0,he,
138,1,he,
139,0,he,
140,1,he,
141,0,he,
142,1,he,
143,0,he,
144,0,he,
145,0,he,
146,1,he,
147,0,he,
148,0,he,
149,0,he,
150,0,he,
151,0,he,
152,0,he,
153,0,he,
