id,prediction,language,error
0,0,et,
1,0,et,
2,0,et,
3,0,et,
4,0,et,
5,0,et,
6,0,et,
7,0,et,
8,1,et,
9,0,et,
10,0,et,
11,0,et,
12,0,et,
13,1,et,
14,0,et,
15,0,et,
16,0,et,
17,0,et,
18,0,et,
19,0,et,
20,0,et,
21,0,et,
22,0,et,
23,0,et,
24,0,et,
25,0,et,
26,1,et,
27,1,et,
28,1,et,
29,0,et,
30,0,et,
31,0,et,
32,0,et,
33,0,et,
34,0,et,
35,0,et,
36,0,et,
37,0,et,
38,0,et,
39,0,et,
40,0,et,
41,0,et,
42,1,et,
43,0,et,
44,0,et,
45,0,et,
46,0,et,
47,1,et,
48,0,et,
49,0,et,
50,0,et,
51,1,et,
52,0,et,
53,0,et,
54,1,et,
55,0,et,
56,0,et,
57,0,et,
58,1,et,
59,0,et,
60,0,et,
61,0,et,
62,0,et,
63,1,et,
64,0,et,
65,0,et,
66,0,et,
67,0,et,
68,0,et,
69,0,et,
70,0,et,
71,0,et,
72,0,et,
73,1,et,
74,0,et,
75,1,et,
76,0,et,
77,0,et,
78,0,et,
79,1,et,
80,0,et,
81,0,et,
82,1,et,
83,0,et,
84,0,et,
85,0,et,
86,0,et,
87,0,et,
88,0,et,
89,0,et,
90,1,et,
91,0,et,
92,0,et,
93,0,et,
94,0,et,
95,0,et,
96,0,et,
97,0,et,
98,0,et,
99,0,et,
100,1,et,
101,1,et,
102,0,et,
103,0,et,
104,0,et,
105,0,et,
106,0,et,
107,0,et,
108,0,et,
109,1,et,
110,0,et,
111,0,et,
112,0,et,
113,0,et,
114,0,et,
115,0,et,
116,0,et,
117,0,et,
118,0,et,
119,0,et,
120,0,et,
121,0,et,
122,0,et,
123,0,et,
124,1,et,
125,0,et,
126,1,et,
127,0,et,
128,0,et,
129,0,et,
130,0,et,
131,0,et,
132,0,et,
133,0,et,
134,0,et,
135,1,et,
136,0,et,
137,0,et,
138,0,et,
139,0,et,
140,1,et,
141,0,et,
142,1,et,
143,0,et,
144,0,et,
145,1,et,
146,0,et,
147,0,et,
148,0,et,
149,0,et,
150,0,et,
151,0,et,
152,0,et,
153,0,et,
154,0,et,
155,0,et,
156,1,et,
157,0,et,
158,0,et,
159,1,et,
160,0,et,
161,0,et,
162,0,et,
163,0,et,
164,0,et,
165,0,et,
166,0,et,
167,1,et,
168,1,et,
169,1,et,
170,0,et,
171,0,et,
172,0,et,
173,1,et,
174,0,et,
175,0,et,
176,0,et,
177,0,et,
178,0,et,
179,0,et,
180,1,et,
181,0,et,
182,0,et,
183,0,et,
184,0,et,
185,0,et,
186,0,et,
187,0,et,
188,0,et,
189,0,et,
190,0,et,
191,0,et,
192,0,et,
193,0,et,
194,0,et,
195,0,et,
196,0,et,
197,0,et,
198,1,et,
199,0,et,
200,0,et,
201,0,et,
202,0,et,
203,0,et,
204,0,et,
205,0,et,
206,0,et,
207,0,et,
208,0,et,
209,0,et,
210,0,et,
211,0,et,
212,1,et,
213,0,et,
214,0,et,
215,0,et,
216,0,et,
217,1,et,
218,0,et,
219,0,et,
220,0,et,
221,1,et,
222,0,et,
223,0,et,
224,0,et,
225,0,et,
226,0,et,
227,0,et,
228,1,et,
229,0,et,
230,0,et,
231,0,et,
232,1,et,
233,0,et,
234,0,et,
235,0,et,
236,0,et,
237,1,et,
238,0,et,
239,1,et,
240,1,et,
241,0,et,
242,1,et,
243,0,et,
244,0,et,
245,0,et,
246,0,et,
247,0,et,
248,0,et,
249,1,et,
250,0,et,
251,0,et,
252,0,et,
253,0,et,
254,0,et,
255,0,et,
256,0,et,
257,1,et,
258,0,et,
259,1,et,
260,0,et,
261,1,et,
262,0,et,
263,0,et,
264,0,et,
265,0,et,
266,0,et,
267,1,et,
268,0,et,
269,0,et,
270,1,et,
271,1,et,
272,0,et,
273,0,et,
274,0,et,
275,0,et,
276,0,et,
277,0,et,
278,0,et,
279,1,et,
280,0,et,
281,0,et,
282,0,et,
283,0,et,
284,1,et,
285,0,et,
286,0,et,
287,1,et,
288,0,et,
289,1,et,
290,0,et,
291,0,et,
292,0,et,
293,0,et,
294,0,et,
295,0,et,
296,1,et,
297,1,et,
298,0,et,
299,0,et,
300,0,et,
301,0,et,
302,0,et,
303,0,et,
304,0,et,
305,0,et,
306,0,et,
307,0,et,
308,0,et,
309,0,et,
310,0,et,
311,0,et,
312,0,et,
313,0,et,
314,0,et,
315,0,et,
316,0,et,
317,0,et,
318,0,et,
319,0,et,
320,1,et,
321,0,et,
322,0,et,
323,1,et,
324,0,et,
325,0,et,
326,0,et,
327,0,et,
328,0,et,
329,0,et,
330,1,et,
331,0,et,
332,0,et,
333,0,et,
334,1,et,
335,0,et,
336,0,et,
337,0,et,
338,0,et,
339,0,et,
340,0,et,
341,0,et,
342,0,et,
343,1,et,
344,0,et,
345,0,et,
346,0,et,
347,0,et,
348,0,et,
349,1,et,
350,0,et,
351,1,et,
352,0,et,
353,0,et,
354,0,et,
355,1,et,
356,0,et,
357,0,et,
358,0,et,
359,0,et,
360,1,et,
361,0,et,
