id,prediction,language,error
0,0,vi,
1,0,vi,
2,0,vi,
3,0,vi,
4,0,vi,
5,0,vi,
6,0,vi,
7,0,vi,
8,0,vi,
9,0,vi,
10,1,vi,
11,0,vi,
12,0,vi,
13,1,vi,
14,0,vi,
15,0,vi,
16,0,vi,
17,1,vi,
18,0,vi,
19,0,vi,
20,1,vi,
21,0,vi,
22,0,vi,
23,0,vi,
24,0,vi,
25,1,vi,
26,1,vi,
27,0,vi,
28,1,vi,
29,0,vi,
30,0,vi,
31,1,vi,
32,0,vi,
33,1,vi,
34,0,vi,
35,0,vi,
36,0,vi,
37,0,vi,
38,1,vi,
39,0,vi,
40,0,vi,
41,0,vi,
42,0,vi,
43,0,vi,
44,0,vi,
45,0,vi,
46,0,vi,
47,0,vi,
48,0,vi,
49,0,vi,
50,0,vi,
51,1,vi,
52,0,vi,
53,0,vi,
54,0,vi,
55,0,vi,
56,0,vi,
57,0,vi,
58,0,vi,
59,1,vi,
60,0,vi,
61,0,vi,
62,1,vi,
63,0,vi,
64,0,vi,
65,0,vi,
66,0,vi,
67,0,vi,
68,0,vi,
69,0,vi,
70,0,vi,
71,0,vi,
72,0,vi,
73,0,vi,
74,0,vi,
75,0,vi,
76,1,vi,
77,1,vi,
78,1,vi,
79,0,vi,
80,1,vi,
81,0,vi,
82,0,vi,
83,0,vi,
84,0,vi,
85,0,vi,
86,0,vi,
87,1,vi,
88,0,vi,
89,1,vi,
90,0,vi,
91,0,vi,
92,0,vi,
93,0,vi,
94,0,vi,
95,0,vi,
96,0,vi,
97,0,vi,
98,0,vi,
99,0,vi,
100,0,vi,
101,1,vi,
102,0,vi,
103,0,vi,
104,0,vi,
105,0,vi,
106,0,vi,
107,0,vi,
108,0,vi,
109,0,vi,
110,0,vi,
111,0,vi,
112,0,vi,
113,1,vi,
114,1,vi,
115,1,vi,
116,1,vi,
117,0,vi,
118,0,vi,
119,0,vi,
120,0,vi,
121,0,vi,
122,0,vi,
123,0,vi,
124,1,vi,
125,1,vi,
126,0,vi,
127,0,vi,
128,0,vi,
129,0,vi,
130,0,vi,
131,0,vi,
132,0,vi,
133,1,vi,
134,1,vi,
135,0,vi,
136,0,vi,
137,0,vi,
138,0,vi,
139,1,vi,
140,1,vi,
141,1,vi,
142,0,vi,
143,0,vi,
144,0,vi,
145,1,vi,
146,1,vi,
147,1,vi,
148,0,vi,
149,0,vi,
150,0,vi,
151,0,vi,
152,1,vi,
153,0,vi,
154,0,vi,
155,0,vi,
156,0,vi,
157,1,vi,
158,0,vi,
159,0,vi,
160,0,vi,
161,1,vi,
162,0,vi,
163,1,vi,
164,1,vi,
165,0,vi,
166,0,vi,
167,1,vi,
168,0,vi,
169,1,vi,
170,0,vi,
171,1,vi,
172,0,vi,
173,1,vi,
174,0,vi,
175,0,vi,
176,0,vi,
177,0,vi,
178,1,vi,
179,0,vi,
180,0,vi,
181,0,vi,
182,0,vi,
183,0,vi,
184,1,vi,
185,0,vi,
186,0,vi,
187,0,vi,
188,1,vi,
189,0,vi,
190,1,vi,
191,1,vi,
192,0,vi,
193,1,vi,
194,0,vi,
195,1,vi,
196,1,vi,
197,0,vi,
198,0,vi,
199,1,vi,
200,0,vi,
201,1,vi,
202,1,vi,
203,0,vi,
204,0,vi,
205,1,vi,
206,0,vi,
207,1,vi,
208,0,vi,
209,0,vi,
210,0,vi,
211,1,vi,
212,0,vi,
213,1,vi,
214,0,vi,
215,0,vi,
216,0,vi,
217,0,vi,
218,0,vi,
219,1,vi,
220,1,vi,
221,1,vi,
222,1,vi,
223,0,vi,
224,0,vi,
225,0,vi,
226,1,vi,
227,0,vi,
228,1,vi,
229,0,vi,
230,0,vi,
231,0,vi,
232,1,vi,
233,0,vi,
234,1,vi,
235,0,vi,
236,1,vi,
237,0,vi,
238,1,vi,
239,1,vi,
240,1,vi,
241,1,vi,
242,1,vi,
243,0,vi,
244,0,vi,
245,1,vi,
246,0,vi,
247,1,vi,
248,0,vi,
249,1,vi,
250,1,vi,
251,0,vi,
252,1,vi,
253,0,vi,
254,1,vi,
255,0,vi,
256,0,vi,
257,1,vi,
258,0,vi,
259,0,vi,
260,0,vi,
261,0,vi,
262,0,vi,
263,0,vi,
264,0,vi,
265,0,vi,
266,1,vi,
267,0,vi,
268,0,vi,
269,1,vi,
270,0,vi,
271,1,vi,
272,0,vi,
273,1,vi,
274,0,vi,
275,1,vi,
276,0,vi,
277,0,vi,
278,0,vi,
279,1,vi,
280,0,vi,
281,0,vi,
282,1,vi,
283,0,vi,
284,0,vi,
285,1,vi,
286,0,vi,
287,0,vi,
288,0,vi,
289,1,vi,
290,0,vi,
291,1,vi,
292,0,vi,
293,0,vi,
294,1,vi,
295,0,vi,
296,0,vi,
297,0,vi,
298,0,vi,
299,0,vi,
300,0,vi,
301,0,vi,
302,0,vi,
303,0,vi,
304,0,vi,
305,1,vi,
306,0,vi,
307,1,vi,
308,0,vi,
309,0,vi,
310,0,vi,
311,0,vi,
312,1,vi,
313,1,vi,
314,0,vi,
315,0,vi,
316,0,vi,
317,0,vi,
318,0,vi,
319,1,vi,
320,0,vi,
321,1,vi,
322,0,vi,
323,0,vi,
324,1,vi,
325,0,vi,
326,0,vi,
327,0,vi,
328,1,vi,
329,0,vi,
330,0,vi,
331,1,vi,
332,0,vi,
333,0,vi,
334,0,vi,
335,0,vi,
336,0,vi,
337,0,vi,
338,0,vi,
339,1,vi,
340,1,vi,
341,1,vi,
342,0,vi,
343,0,vi,
344,0,vi,
345,0,vi,
346,0,vi,
347,1,vi,
348,1,vi,
349,0,vi,
350,1,vi,
351,0,vi,
352,0,vi,
353,0,vi,
354,1,vi,
355,0,vi,
356,1,vi,
357,0,vi,
358,1,vi,
359,1,vi,
360,1,vi,
361,0,vi,
362,0,vi,
363,0,vi,
364,0,vi,
365,1,vi,
366,0,vi,
367,0,vi,
368,1,vi,
369,0,vi,
370,0,vi,
371,0,vi,
372,0,vi,
373,0,vi,
374,0,vi,
375,1,vi,
376,0,vi,
377,0,vi,
378,0,vi,
379,1,vi,
380,1,vi,
381,0,vi,
382,0,vi,
383,1,vi,
384,0,vi,
385,0,vi,
386,0,vi,
387,0,vi,
388,1,vi,
389,1,vi,
390,0,vi,
391,1,vi,
392,1,vi,
393,1,vi,
394,1,vi,
395,1,vi,
396,0,vi,
397,0,vi,
398,0,vi,
399,0,vi,
400,0,vi,
401,0,vi,
402,0,vi,
403,0,vi,
404,1,vi,
405,0,vi,
406,1,vi,
407,0,vi,
408,0,vi,
409,1,vi,
410,1,vi,
411,0,vi,
412,0,vi,
413,0,vi,
414,1,vi,
415,0,vi,
416,0,vi,
417,0,vi,
418,0,vi,
419,1,vi,
420,0,vi,
