id,prediction,language,error
0,0,ko,
1,0,ko,
2,0,ko,
3,0,ko,
4,0,ko,
5,0,ko,
6,0,ko,
7,0,ko,
8,0,ko,
9,1,ko,
10,0,ko,
11,0,ko,
12,0,ko,
13,0,ko,
14,0,ko,
15,0,ko,
16,1,ko,
17,1,ko,
18,0,ko,
19,0,ko,
20,0,ko,
21,0,ko,
22,1,ko,
23,0,ko,
24,0,ko,
25,1,ko,
26,0,ko,
27,0,ko,
28,0,ko,
29,0,ko,
30,1,ko,
31,0,ko,
32,0,ko,
33,0,ko,
34,1,ko,
35,0,ko,
36,0,ko,
37,0,ko,
38,0,ko,
39,0,ko,
40,1,ko,
41,1,ko,
42,0,ko,
43,1,ko,
44,0,ko,
45,0,ko,
46,0,ko,
47,1,ko,
48,0,ko,
49,1,ko,
50,1,ko,
51,0,ko,
52,0,ko,
53,1,ko,
54,1,ko,
55,0,ko,
56,0,ko,
57,0,ko,
58,0,ko,
59,1,ko,
60,0,ko,
61,0,ko,
62,0,ko,
63,0,ko,
64,0,ko,
65,0,ko,
66,1,ko,
67,0,ko,
68,0,ko,
69,0,ko,
70,0,ko,
71,1,ko,
72,0,ko,
73,0,ko,
74,0,ko,
75,1,ko,
76,0,ko,
77,0,ko,
78,1,ko,
79,1,ko,
80,1,ko,
81,1,ko,
82,0,ko,
83,0,ko,
84,0,ko,
85,1,ko,
86,0,ko,
87,0,ko,
88,0,ko,
89,0,ko,
90,0,ko,
91,0,ko,
92,1,ko,
93,1,ko,
94,0,ko,
95,0,ko,
96,1,ko,
97,0,ko,
98,1,ko,
99,1,ko,
100,0,ko,
101,1,ko,
102,0,ko,
103,1,ko,
104,0,ko,
105,0,ko,
106,0,ko,
107,0,ko,
108,0,ko,
109,1,ko,
110,0,ko,
111,0,ko,
112,1,ko,
113,0,ko,
114,1,ko,
115,0,ko,
116,0,ko,
117,0,ko,
118,0,ko,
119,0,ko,
120,0,ko,
121,0,ko,
122,0,ko,
123,0,ko,
124,0,ko,
125,0,ko,
126,1,ko,
127,1,ko,
128,0,ko,
129,0,ko,
130,0,ko,
131,0,ko,
132,0,ko,
133,0,ko,
134,1,ko,
135,0,ko,
136,0,ko,
137,0,ko,
138,1,ko,
139,0,ko,
140,0,ko,
141,1,ko,
142,0,ko,
143,0,ko,
144,0,ko,
145,1,ko,
146,0,ko,
147,0,ko,
148,1,ko,
149,0,ko,
150,1,ko,
151,0,ko,
152,0,ko,
153,0,ko,
154,0,ko,
155,0,ko,
156,0,ko,
157,0,ko,
158,0,ko,
159,0,ko,
160,0,ko,
161,0,ko,
162,0,ko,
163,0,ko,
164,0,ko,
165,0,ko,
166,1,ko,
167,1,ko,
168,1,ko,
169,0,ko,
170,1,ko,
171,0,ko,
172,0,ko,
173,0,ko,
174,0,ko,
175,1,ko,
176,0,ko,
177,1,ko,
178,0,ko,
179,1,ko,
180,0,ko,
181,1,ko,
182,0,ko,
183,0,ko,
184,1,ko,
185,0,ko,
186,0,ko,
187,0,ko,
188,0,ko,
189,1,ko,
190,0,ko,
191,0,ko,
192,0,ko,
193,1,ko,
194,1,ko,
195,0,ko,
