id,prediction,language,error
0,1,tl,
1,0,tl,
2,0,tl,
3,0,tl,
4,0,tl,
5,1,tl,
6,0,tl,
7,0,tl,
8,0,tl,
9,0,tl,
10,0,tl,
11,0,tl,
12,0,tl,
13,0,tl,
14,1,tl,
15,0,tl,
16,0,tl,
17,0,tl,
18,1,tl,
19,0,tl,
20,0,tl,
21,0,tl,
22,0,tl,
23,0,tl,
24,0,tl,
25,0,tl,
26,0,tl,
27,0,tl,
28,0,tl,
29,0,tl,
30,0,tl,
31,0,tl,
32,0,tl,
33,0,tl,
34,0,tl,
35,0,tl,
36,0,tl,
37,0,tl,
38,0,tl,
39,0,tl,
40,0,tl,
41,0,tl,
42,0,tl,
43,0,tl,
44,1,tl,
45,0,tl,
46,0,tl,
47,0,tl,
48,0,tl,
49,0,tl,
50,0,tl,
51,0,tl,
52,1,tl,
53,0,tl,
54,0,tl,
55,0,tl,
56,0,tl,
57,0,tl,
58,0,tl,
59,0,tl,
60,0,tl,
61,0,tl,
62,0,tl,
63,0,tl,
64,0,tl,
65,0,tl,
66,0,tl,
67,0,tl,
68,0,tl,
69,1,tl,
70,1,tl,
71,0,tl,
72,0,tl,
73,0,tl,
74,0,tl,
75,0,tl,
76,0,tl,
77,0,tl,
78,0,tl,
79,0,tl,
80,0,tl,
81,0,tl,
82,0,tl,
83,0,tl,
84,0,tl,
85,0,tl,
86,0,tl,
87,0,tl,
88,0,tl,
89,0,tl,
90,0,tl,
91,0,tl,
92,0,tl,
93,0,tl,
94,0,tl,
95,0,tl,
96,0,tl,
97,0,tl,
98,0,tl,
99,0,tl,
100,0,tl,
101,0,tl,
102,0,tl,
103,1,tl,
104,0,tl,
105,0,tl,
106,0,tl,
107,0,tl,
108,0,tl,
109,0,tl,
110,0,tl,
111,0,tl,
112,0,tl,
113,0,tl,
114,0,tl,
115,0,tl,
116,0,tl,
117,0,tl,
118,0,tl,
119,0,tl,
120,0,tl,
121,0,tl,
122,0,tl,
123,0,tl,
124,1,tl,
125,0,tl,
126,0,tl,
127,0,tl,
128,0,tl,
129,0,tl,
130,0,tl,
131,0,tl,
132,0,tl,
133,0,tl,
134,0,tl,
135,0,tl,
136,0,tl,
137,0,tl,
138,0,tl,
139,0,tl,
140,0,tl,
141,0,tl,
142,0,tl,
143,0,tl,
144,0,tl,
145,0,tl,
146,0,tl,
147,0,tl,
148,0,tl,
149,0,tl,
150,0,tl,
151,0,tl,
152,0,tl,
153,0,tl,
154,1,tl,
155,0,tl,
156,0,tl,
157,0,tl,
158,0,tl,
159,0,tl,
160,0,tl,
161,0,tl,
162,0,tl,
163,0,tl,
164,0,tl,
165,0,tl,
166,0,tl,
167,0,tl,
168,0,tl,
169,0,tl,
170,0,tl,
171,0,tl,
172,0,tl,
173,0,tl,
174,0,tl,
175,0,tl,
176,0,tl,
177,0,tl,
178,0,tl,
179,0,tl,
180,1,tl,
181,0,tl,
182,0,tl,
