id,prediction,language,error
0,0,ru,
1,1,ru,
2,0,ru,
3,1,ru,
4,0,ru,
5,0,ru,
6,0,ru,
7,0,ru,
8,0,ru,
9,0,ru,
10,1,ru,
11,1,ru,
12,0,ru,
13,1,ru,
14,0,ru,
15,0,ru,
16,1,ru,
17,0,ru,
18,0,ru,
19,1,ru,
20,0,ru,
21,0,ru,
22,1,ru,
23,1,ru,
24,0,ru,
25,0,ru,
26,0,ru,
27,1,ru,
28,1,ru,
29,0,ru,
30,0,ru,
31,1,ru,
32,0,ru,
33,1,ru,
34,0,ru,
35,0,ru,
36,1,ru,
37,1,ru,
38,1,ru,
39,0,ru,
40,0,ru,
41,0,ru,
42,0,ru,
43,1,ru,
44,0,ru,
45,0,ru,
46,0,ru,
47,1,ru,
48,1,ru,
49,0,ru,
50,0,ru,
51,1,ru,
52,0,ru,
53,1,ru,
54,0,ru,
55,1,ru,
56,0,ru,
57,1,ru,
58,1,ru,
59,0,ru,
60,1,ru,
61,1,ru,
62,1,ru,
63,1,ru,
64,0,ru,
65,0,ru,
66,1,ru,
67,0,ru,
68,1,ru,
69,0,ru,
70,0,ru,
71,0,ru,
72,1,ru,
73,0,ru,
74,0,ru,
75,0,ru,
76,1,ru,
77,0,ru,
78,0,ru,
79,0,ru,
80,1,ru,
81,1,ru,
82,1,ru,
83,0,ru,
84,0,ru,
85,1,ru,
86,0,ru,
87,0,ru,
88,0,ru,
89,1,ru,
90,1,ru,
91,0,ru,
92,1,ru,
93,1,ru,
94,1,ru,
95,0,ru,
96,1,ru,
97,0,ru,
98,0,ru,
99,0,ru,
100,1,ru,
101,1,ru,
102,0,ru,
103,1,ru,
104,1,ru,
105,0,ru,
106,1,ru,
107,0,ru,
108,0,ru,
109,0,ru,
110,0,ru,
111,0,ru,
112,0,ru,
113,1,ru,
114,0,ru,
115,0,ru,
116,0,ru,
117,1,ru,
118,0,ru,
119,0,ru,
120,0,ru,
121,1,ru,
122,1,ru,
123,1,ru,
124,0,ru,
125,0,ru,
126,0,ru,
127,0,ru,
128,0,ru,
129,0,ru,
130,0,ru,
131,0,ru,
132,0,ru,
133,0,ru,
134,0,ru,
135,0,ru,
136,1,ru,
137,1,ru,
138,0,ru,
139,0,ru,
140,1,ru,
141,1,ru,
142,1,ru,
143,1,ru,
144,0,ru,
145,1,ru,
146,0,ru,
147,0,ru,
148,0,ru,
149,0,ru,
150,1,ru,
151,0,ru,
152,0,ru,
153,0,ru,
154,0,ru,
155,1,ru,
156,0,ru,
157,0,ru,
158,1,ru,
159,1,ru,
160,1,ru,
161,1,ru,
162,1,ru,
163,0,ru,
164,1,ru,
165,0,ru,
166,1,ru,
167,1,ru,
168,0,ru,
169,1,ru,
170,0,ru,
171,0,ru,
172,0,ru,
173,0,ru,
174,1,ru,
175,0,ru,
176,0,ru,
177,1,ru,
178,1,ru,
179,0,ru,
180,1,ru,
181,1,ru,
182,0,ru,
183,0,ru,
184,1,ru,
185,0,ru,
186,1,ru,
187,0,ru,
188,1,ru,
189,0,ru,
190,1,ru,
191,0,ru,
192,0,ru,
193,1,ru,
194,0,ru,
195,0,ru,
196,0,ru,
197,0,ru,
198,0,ru,
199,1,ru,
200,1,ru,
201,1,ru,
202,0,ru,
203,1,ru,
204,1,ru,
205,1,ru,
206,1,ru,
207,0,ru,
208,1,ru,
209,0,ru,
210,0,ru,
211,0,ru,
212,0,ru,
213,0,ru,
214,0,ru,
215,0,ru,
216,0,ru,
217,0,ru,
218,1,ru,
219,0,ru,
220,1,ru,
221,0,ru,
222,0,ru,
223,1,ru,
224,1,ru,
225,0,ru,
226,0,ru,
227,1,ru,
228,0,ru,
229,1,ru,
230,0,ru,
231,0,ru,
232,1,ru,
233,1,ru,
234,0,ru,
235,0,ru,
236,1,ru,
237,0,ru,
238,0,ru,
239,0,ru,
240,1,ru,
241,0,ru,
242,0,ru,
243,1,ru,
244,0,ru,
245,0,ru,
246,0,ru,
247,0,ru,
248,0,ru,
249,0,ru,
250,1,ru,
251,1,ru,
252,1,ru,
253,0,ru,
254,1,ru,
255,1,ru,
256,0,ru,
257,1,ru,
258,1,ru,
259,0,ru,
260,0,ru,
261,1,ru,
262,0,ru,
263,1,ru,
264,0,ru,
265,1,ru,
266,1,ru,
267,0,ru,
268,1,ru,
269,1,ru,
270,1,ru,
271,1,ru,
272,1,ru,
273,0,ru,
274,0,ru,
275,0,ru,
276,0,ru,
277,1,ru,
278,0,ru,
279,0,ru,
280,1,ru,
281,0,ru,
282,1,ru,
283,1,ru,
284,0,ru,
285,1,ru,
286,0,ru,
287,1,ru,
288,0,ru,
289,0,ru,
290,1,ru,
291,1,ru,
292,0,ru,
293,0,ru,
294,0,ru,
295,1,ru,
296,1,ru,
297,0,ru,
298,1,ru,
299,0,ru,
300,0,ru,
301,1,ru,
302,0,ru,
303,1,ru,
304,1,ru,
305,1,ru,
306,0,ru,
307,0,ru,
308,0,ru,
309,1,ru,
310,0,ru,
311,0,ru,
312,0,ru,
313,0,ru,
314,1,ru,
315,0,ru,
316,1,ru,
317,0,ru,
318,1,ru,
319,1,ru,
320,1,ru,
321,1,ru,
322,0,ru,
323,0,ru,
324,0,ru,
325,1,ru,
326,1,ru,
327,0,ru,
328,1,ru,
329,1,ru,
330,0,ru,
331,0,ru,
332,0,ru,
333,1,ru,
334,1,ru,
335,0,ru,
336,1,ru,
337,1,ru,
338,0,ru,
339,1,ru,
340,0,ru,
341,0,ru,
342,0,ru,
343,0,ru,
344,1,ru,
345,1,ru,
346,1,ru,
347,0,ru,
348,0,ru,
349,0,ru,
350,0,ru,
351,0,ru,
352,0,ru,
353,1,ru,
354,0,ru,
355,1,ru,
356,1,ru,
357,0,ru,
358,0,ru,
359,0,ru,
360,0,ru,
361,0,ru,
362,1,ru,
363,1,ru,
364,1,ru,
365,0,ru,
366,1,ru,
367,0,ru,
368,0,ru,
369,0,ru,
370,0,ru,
371,0,ru,
372,1,ru,
373,0,ru,
374,0,ru,
375,0,ru,
376,1,ru,
377,0,ru,
378,0,ru,
379,0,ru,
380,0,ru,
381,0,ru,
382,0,ru,
383,1,ru,
384,0,ru,
385,0,ru,
386,1,ru,
387,0,ru,
388,0,ru,
389,0,ru,
390,1,ru,
391,0,ru,
392,1,ru,
393,0,ru,
394,1,ru,
395,0,ru,
396,0,ru,
397,0,ru,
398,0,ru,
399,0,ru,
400,1,ru,
401,0,ru,
402,0,ru,
403,1,ru,
404,1,ru,
405,1,ru,
406,1,ru,
407,0,ru,
408,1,ru,
409,0,ru,
410,1,ru,
411,0,ru,
412,0,ru,
413,1,ru,
414,0,ru,
415,0,ru,
416,0,ru,
417,1,ru,
418,1,ru,
419,1,ru,
420,0,ru,
421,0,ru,
422,0,ru,
423,0,ru,
424,0,ru,
425,0,ru,
426,0,ru,
427,1,ru,
428,1,ru,
429,1,ru,
430,0,ru,
431,0,ru,
432,1,ru,
433,0,ru,
434,0,ru,
435,1,ru,
436,0,ru,
437,1,ru,
438,0,ru,
439,1,ru,
440,0,ru,
441,0,ru,
442,1,ru,
443,1,ru,
444,1,ru,
445,0,ru,
446,1,ru,
447,0,ru,
448,0,ru,
449,0,ru,
450,1,ru,
451,1,ru,
452,1,ru,
453,1,ru,
454,1,ru,
455,0,ru,
456,0,ru,
457,1,ru,
458,1,ru,
459,0,ru,
460,1,ru,
461,1,ru,
462,1,ru,
463,1,ru,
464,0,ru,
465,0,ru,
466,1,ru,
467,0,ru,
468,0,ru,
469,1,ru,
470,1,ru,
471,0,ru,
472,1,ru,
473,0,ru,
474,0,ru,
475,1,ru,
476,0,ru,
477,0,ru,
478,0,ru,
479,0,ru,
480,1,ru,
481,0,ru,
482,0,ru,
483,0,ru,
484,0,ru,
485,1,ru,
486,1,ru,
487,0,ru,
488,1,ru,
489,1,ru,
490,0,ru,
491,0,ru,
492,1,ru,
493,1,ru,
494,0,ru,
495,0,ru,
496,0,ru,
497,1,ru,
498,0,ru,
499,0,ru,
500,0,ru,
501,0,ru,
502,0,ru,
503,0,ru,
504,0,ru,
505,0,ru,
506,1,ru,
507,1,ru,
508,1,ru,
509,1,ru,
510,0,ru,
511,0,ru,
512,0,ru,
513,0,ru,
514,1,ru,
515,1,ru,
516,0,ru,
517,1,ru,
518,1,ru,
519,0,ru,
520,1,ru,
521,1,ru,
522,1,ru,
523,1,ru,
524,1,ru,
525,1,ru,
526,1,ru,
527,1,ru,
528,0,ru,
529,0,ru,
530,0,ru,
531,0,ru,
532,0,ru,
533,1,ru,
534,0,ru,
535,1,ru,
536,0,ru,
537,1,ru,
538,0,ru,
539,0,ru,
540,0,ru,
541,0,ru,
542,1,ru,
543,0,ru,
544,0,ru,
545,0,ru,
546,0,ru,
547,0,ru,
548,0,ru,
549,0,ru,
550,1,ru,
551,1,ru,
552,1,ru,
