id,prediction,language,error
0,0,he,
1,1,he,
2,0,he,
3,0,he,
4,1,he,
5,1,he,
6,1,he,
7,0,he,
8,0,he,
9,0,he,
10,0,he,
11,0,he,
12,0,he,
13,1,he,
14,1,he,
15,1,he,
16,1,he,
17,0,he,
18,0,he,
19,0,he,
20,0,he,
21,0,he,
22,0,he,
23,1,he,
24,0,he,
25,0,he,
26,1,he,
27,1,he,
28,1,he,
29,0,he,
30,0,he,
31,0,he,
32,0,he,
33,0,he,
34,1,he,
35,0,he,
36,1,he,
37,0,he,
38,1,he,
39,0,he,
40,0,he,
41,0,he,
42,0,he,
43,0,he,
44,0,he,
45,0,he,
46,0,he,
47,0,he,
48,0,he,
49,0,he,
50,0,he,
51,1,he,
52,0,he,
53,0,he,
54,0,he,
55,1,he,
56,1,he,
57,0,he,
58,0,he,
59,1,he,
60,1,he,
61,0,he,
62,0,he,
63,0,he,
64,0,he,
65,0,he,
66,0,he,
67,1,he,
68,1,he,
69,0,he,
70,0,he,
71,1,he,
72,1,he,
73,0,he,
74,0,he,
75,0,he,
76,0,he,
77,0,he,
78,0,he,
79,1,he,
80,0,he,
81,0,he,
82,1,he,
83,0,he,
84,0,he,
85,0,he,
86,0,he,
87,0,he,
88,0,he,
89,0,he,
90,0,he,
91,0,he,
92,1,he,
93,1,he,
94,1,he,
95,1,he,
96,0,he,
97,0,he,
98,0,he,
99,0,he,
100,1,he,
101,1,he,
102,1,he,
103,0,he,
104,1,he,
105,0,he,
106,0,he,
107,1,he,
108,1,he,
109,0,he,
110,0,he,
111,0,he,
112,1,he,
113,0,he,
114,1,he,
115,0,he,
116,0,he,
117,1,he,
118,0,he,
119,0,he,
120,1,he,
121,0,he,
122,0,he,
123,1,he,
124,0,he,
125,0,he,
126,0,he,
127,1,he,
128,1,he,
129,1,he,
130,0,he,
131,1,he,
132,0,he,
133,1,he,
134,1,he,
135,1,he,
136,0,he,
137,0,he,
138,0,he,
139,0,he,
140,1,he,
141,1,he,
142,0,he,
143,0,he,
144,0,he,
145,0,he,
146,1,he,
147,0,he,
148,1,he,
149,1,he,
150,0,he,
151,1,he,
152,0,he,
153,1,he,
154,1,he,
155,1,he,
156,0,he,
157,1,he,
158,1,he,
159,0,he,
160,1,he,
161,0,he,
162,0,he,
163,0,he,
164,0,he,
165,1,he,
166,1,he,
167,1,he,
168,0,he,
169,0,he,
170,0,he,
171,0,he,
172,0,he,
173,0,he,
174,0,he,
175,0,he,
176,1,he,
177,0,he,
178,1,he,
179,0,he,
180,0,he,
181,1,he,
182,0,he,
183,0,he,
184,1,he,
185,0,he,
186,0,he,
187,0,he,
188,0,he,
189,0,he,
190,0,he,
191,0,he,
192,0,he,
193,1,he,
194,0,he,
195,1,he,
196,0,he,
197,0,he,
198,1,he,
199,0,he,
200,0,he,
201,1,he,
202,1,he,
203,0,he,
204,0,he,
205,1,he,
206,0,he,
207,1,he,
208,1,he,
209,0,he,
210,1,he,
211,1,he,
212,1,he,
213,0,he,
214,1,he,
215,1,he,
216,0,he,
217,0,he,
218,0,he,
219,0,he,
220,0,he,
221,0,he,
222,0,he,
223,1,he,
224,0,he,
225,0,he,
226,0,he,
227,1,he,
228,0,he,
229,0,he,
230,1,he,
231,0,he,
232,0,he,
233,0,he,
234,1,he,
235,0,he,
236,0,he,
237,0,he,
238,0,he,
239,0,he,
240,0,he,
241,0,he,
242,0,he,
243,0,he,
244,0,he,
245,1,he,
246,1,he,
247,0,he,
248,1,he,
249,0,he,
250,1,he,
251,0,he,
252,0,he,
253,1,he,
254,0,he,
255,1,he,
256,0,he,
