,id,prompt,prediction,label,language,error
0,0,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: Eh bien, je ne pensais même pas à cela, mais j'étais si frustré, et j'ai fini par lui reparler.
Sentence 2: Je ne lui ai pas parlé de nouveau

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",1,2,fr,
1,1,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: Eh bien, je ne pensais même pas à cela, mais j'étais si frustré, et j'ai fini par lui reparler.
Sentence 2: J'étais si contrarié que je commençais juste à lui parler à nouveau.

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,0,fr,
2,2,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: Eh bien, je ne pensais même pas à cela, mais j'étais si frustré, et j'ai fini par lui reparler.
Sentence 2: Nous avons eu une grande discussion.

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",1,1,fr,
3,3,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: Et je pensais que c'était un privilège, et ça l'est toujours, toujours, j'étais le seul 922 Ex-O, c'est là que j'avais effectué ma carrière dans l'AFFC Air Force.
Sentence 2: Je n'avais pas conscience que je n'étais pas la seule personne à être sur le terrain ce jour-là.

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,1,fr,
4,4,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: Et je pensais que c'était un privilège, et ça l'est toujours, toujours, j'étais le seul 922 Ex-O, c'est là que j'avais effectué ma carrière dans l'AFFC Air Force.
Sentence 2: J'avais l'impression que j'étais le seul à avoir ce numéro dans le domaine de carrière de l'AFFC Air Force.

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",1,0,fr,
5,5,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: Et je pensais que c'était un privilège, et ça l'est toujours, toujours, j'étais le seul 922 Ex-O, c'est là que j'avais effectué ma carrière dans l'AFFC Air Force.
Sentence 2: Nous avons tous reçu le même nombre exact, peu importe les privilèges qu'on nous a promis de nous accorder, c'était un mensonge.

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,2,fr,
6,6,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: Ils m'ont dit qu'à la fin, on m'amènerait un homme pour que je le rencontre.
Sentence 2: On ne m'a jamais dit de rencontrer qui que ce soit.

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",1,2,fr,
7,7,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: Ils m'ont dit qu'à la fin, on m'amènerait un homme pour que je le rencontre.
Sentence 2: On m'a dit qu'un gars avait été appelé pour me rencontrer.

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",1,0,fr,
8,8,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: Ils m'ont dit qu'à la fin, on m'amènerait un homme pour que je le rencontre.
Sentence 2: Le gars arriva un peu en retard.

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,1,fr,
9,9,"You are a multilinguist. Given two sentences, determine the relationship between them:

Sentence 1: Il y a tellement de choses dont vous pourriez parler que je vais juste m'en passer.
Sentence 2: J'aimerais vous dire tout ce que je sais à propos de cela !

Options:
0. 'Entailment' - Sentence 2 logically follows from Sentence 1.
1. 'Neutral' - Sentence 2 is neither entailed nor contradictory to Sentence 1.

2. 'Contradiction' - Sentence 2 logically conflicts with Sentence 1.
What is the relationship? Please answer with '0', '1', or '2'.
",0,2,fr,
