id,prediction,language,error
0,0,vi,
1,0,vi,
2,0,vi,
3,1,vi,
4,0,vi,
5,0,vi,
6,0,vi,
7,0,vi,
8,1,vi,
9,0,vi,
10,1,vi,
11,0,vi,
12,0,vi,
13,0,vi,
14,0,vi,
15,0,vi,
16,0,vi,
17,0,vi,
18,0,vi,
19,1,vi,
20,1,vi,
21,1,vi,
22,0,vi,
23,0,vi,
24,0,vi,
25,1,vi,
26,0,vi,
27,1,vi,
28,1,vi,
29,0,vi,
30,0,vi,
31,0,vi,
32,0,vi,
33,0,vi,
34,0,vi,
35,1,vi,
36,0,vi,
37,0,vi,
38,0,vi,
39,0,vi,
40,0,vi,
41,0,vi,
42,0,vi,
43,0,vi,
44,0,vi,
45,1,vi,
46,0,vi,
47,0,vi,
48,0,vi,
49,1,vi,
50,0,vi,
51,0,vi,
52,0,vi,
53,1,vi,
54,1,vi,
55,0,vi,
56,0,vi,
57,1,vi,
58,0,vi,
59,0,vi,
60,0,vi,
61,0,vi,
62,0,vi,
63,0,vi,
64,0,vi,
65,1,vi,
66,1,vi,
67,0,vi,
68,0,vi,
69,1,vi,
70,0,vi,
71,0,vi,
72,0,vi,
73,0,vi,
74,0,vi,
75,1,vi,
76,0,vi,
77,0,vi,
78,1,vi,
79,0,vi,
80,0,vi,
81,0,vi,
82,0,vi,
83,0,vi,
84,0,vi,
85,0,vi,
86,1,vi,
87,0,vi,
88,0,vi,
89,0,vi,
90,0,vi,
91,0,vi,
92,0,vi,
93,0,vi,
94,0,vi,
95,1,vi,
96,1,vi,
97,0,vi,
98,0,vi,
99,1,vi,
100,0,vi,
101,0,vi,
102,0,vi,
103,0,vi,
104,0,vi,
105,1,vi,
106,0,vi,
107,1,vi,
108,0,vi,
109,1,vi,
110,1,vi,
111,1,vi,
112,1,vi,
113,1,vi,
114,1,vi,
115,0,vi,
116,1,vi,
117,0,vi,
118,1,vi,
119,1,vi,
120,0,vi,
121,1,vi,
122,0,vi,
123,1,vi,
124,1,vi,
125,0,vi,
126,0,vi,
127,1,vi,
128,0,vi,
129,1,vi,
130,0,vi,
131,0,vi,
132,0,vi,
133,0,vi,
134,0,vi,
135,0,vi,
136,1,vi,
137,1,vi,
138,1,vi,
139,0,vi,
140,0,vi,
141,1,vi,
142,0,vi,
143,1,vi,
144,0,vi,
145,0,vi,
146,0,vi,
147,0,vi,
148,0,vi,
149,0,vi,
150,0,vi,
151,0,vi,
152,0,vi,
153,1,vi,
154,1,vi,
155,1,vi,
156,1,vi,
157,0,vi,
158,0,vi,
159,0,vi,
160,0,vi,
161,0,vi,
162,1,vi,
163,1,vi,
164,0,vi,
165,0,vi,
166,0,vi,
167,0,vi,
168,1,vi,
169,1,vi,
170,1,vi,
171,1,vi,
172,1,vi,
173,0,vi,
174,1,vi,
175,1,vi,
176,1,vi,
177,0,vi,
178,1,vi,
179,0,vi,
180,0,vi,
181,0,vi,
182,0,vi,
183,1,vi,
184,0,vi,
185,0,vi,
186,0,vi,
187,0,vi,
188,1,vi,
189,1,vi,
190,1,vi,
191,1,vi,
192,1,vi,
193,0,vi,
194,1,vi,
195,0,vi,
196,1,vi,
197,1,vi,
198,0,vi,
199,0,vi,
200,0,vi,
201,0,vi,
202,1,vi,
203,1,vi,
204,1,vi,
205,1,vi,
206,1,vi,
207,0,vi,
208,0,vi,
209,0,vi,
210,0,vi,
211,1,vi,
212,1,vi,
213,1,vi,
214,0,vi,
215,0,vi,
216,1,vi,
217,1,vi,
218,0,vi,
219,1,vi,
220,0,vi,
221,1,vi,
222,0,vi,
223,0,vi,
224,1,vi,
225,0,vi,
226,0,vi,
227,0,vi,
228,1,vi,
229,1,vi,
230,0,vi,
231,1,vi,
232,1,vi,
233,1,vi,
234,0,vi,
235,0,vi,
236,0,vi,
237,1,vi,
238,0,vi,
239,0,vi,
240,0,vi,
241,1,vi,
242,1,vi,
243,1,vi,
244,0,vi,
245,0,vi,
246,0,vi,
247,0,vi,
248,0,vi,
249,0,vi,
250,1,vi,
251,0,vi,
252,1,vi,
253,0,vi,
254,0,vi,
255,1,vi,
256,1,vi,
257,0,vi,
258,1,vi,
259,0,vi,
260,1,vi,
261,0,vi,
262,1,vi,
263,1,vi,
264,1,vi,
265,0,vi,
266,0,vi,
267,0,vi,
268,1,vi,
269,1,vi,
270,0,vi,
271,1,vi,
272,0,vi,
273,0,vi,
274,1,vi,
275,0,vi,
276,1,vi,
277,0,vi,
278,1,vi,
279,1,vi,
280,0,vi,
281,0,vi,
282,1,vi,
283,0,vi,
284,0,vi,
285,0,vi,
286,0,vi,
287,0,vi,
288,1,vi,
289,1,vi,
290,1,vi,
291,1,vi,
292,0,vi,
293,1,vi,
294,1,vi,
295,0,vi,
296,1,vi,
297,1,vi,
298,0,vi,
299,1,vi,
300,0,vi,
301,1,vi,
302,1,vi,
303,1,vi,
304,0,vi,
305,1,vi,
306,0,vi,
307,1,vi,
308,0,vi,
309,0,vi,
310,0,vi,
311,1,vi,
312,0,vi,
313,1,vi,
314,0,vi,
315,0,vi,
316,1,vi,
317,0,vi,
318,0,vi,
319,1,vi,
320,1,vi,
321,0,vi,
322,1,vi,
323,0,vi,
324,1,vi,
325,1,vi,
326,1,vi,
327,0,vi,
328,1,vi,
329,1,vi,
330,1,vi,
331,0,vi,
332,0,vi,
333,0,vi,
334,0,vi,
335,0,vi,
336,0,vi,
337,1,vi,
338,0,vi,
339,1,vi,
340,0,vi,
341,1,vi,
342,0,vi,
343,1,vi,
344,0,vi,
345,0,vi,
346,0,vi,
347,1,vi,
348,1,vi,
349,1,vi,
350,0,vi,
351,0,vi,
352,1,vi,
353,0,vi,
354,0,vi,
355,0,vi,
356,1,vi,
357,0,vi,
358,1,vi,
359,0,vi,
360,0,vi,
361,0,vi,
362,0,vi,
363,0,vi,
364,1,vi,
365,1,vi,
366,1,vi,
367,1,vi,
368,0,vi,
369,0,vi,
370,0,vi,
371,0,vi,
372,0,vi,
373,0,vi,
374,0,vi,
375,0,vi,
376,0,vi,
377,1,vi,
378,1,vi,
379,1,vi,
380,1,vi,
381,0,vi,
382,1,vi,
383,1,vi,
384,0,vi,
385,1,vi,
386,1,vi,
387,0,vi,
388,0,vi,
389,1,vi,
390,0,vi,
391,0,vi,
392,0,vi,
393,1,vi,
394,0,vi,
395,1,vi,
396,0,vi,
397,0,vi,
398,0,vi,
399,0,vi,
400,1,vi,
401,1,vi,
402,0,vi,
403,1,vi,
404,1,vi,
405,0,vi,
406,0,vi,
407,1,vi,
408,1,vi,
409,0,vi,
410,0,vi,
411,1,vi,
412,1,vi,
413,1,vi,
414,0,vi,
415,0,vi,
416,1,vi,
417,1,vi,
418,0,vi,
419,0,vi,
420,0,vi,
