id,prediction,language,error
0,0,fi,
1,1,fi,
2,1,fi,
3,0,fi,
4,1,fi,
5,1,fi,
6,1,fi,
7,0,fi,
8,0,fi,
9,0,fi,
10,0,fi,
11,0,fi,
12,0,fi,
13,0,fi,
14,0,fi,
15,0,fi,
16,0,fi,
17,0,fi,
18,1,fi,
19,0,fi,
20,1,fi,
21,0,fi,
22,0,fi,
23,0,fi,
24,0,fi,
25,0,fi,
26,0,fi,
27,1,fi,
28,0,fi,
29,0,fi,
30,0,fi,
31,1,fi,
32,0,fi,
33,0,fi,
34,0,fi,
35,0,fi,
36,0,fi,
37,0,fi,
38,0,fi,
39,0,fi,
40,0,fi,
41,0,fi,
42,0,fi,
43,0,fi,
44,0,fi,
45,0,fi,
46,0,fi,
47,0,fi,
48,0,fi,
49,0,fi,
50,1,fi,
51,0,fi,
52,0,fi,
53,0,fi,
54,0,fi,
55,1,fi,
56,0,fi,
57,0,fi,
58,0,fi,
59,0,fi,
60,1,fi,
61,0,fi,
62,0,fi,
63,0,fi,
64,0,fi,
65,0,fi,
66,1,fi,
67,0,fi,
68,0,fi,
69,0,fi,
70,1,fi,
71,0,fi,
72,0,fi,
73,1,fi,
74,0,fi,
75,1,fi,
76,0,fi,
77,1,fi,
78,1,fi,
79,1,fi,
80,0,fi,
81,0,fi,
82,0,fi,
83,1,fi,
84,0,fi,
85,1,fi,
86,0,fi,
87,0,fi,
88,0,fi,
89,0,fi,
90,0,fi,
91,0,fi,
92,1,fi,
93,1,fi,
94,1,fi,
95,0,fi,
96,0,fi,
97,0,fi,
98,0,fi,
99,0,fi,
100,0,fi,
101,0,fi,
102,0,fi,
103,0,fi,
104,0,fi,
105,1,fi,
106,0,fi,
107,0,fi,
108,1,fi,
109,0,fi,
110,0,fi,
111,0,fi,
112,1,fi,
113,0,fi,
114,0,fi,
115,0,fi,
116,1,fi,
117,0,fi,
118,0,fi,
119,0,fi,
120,1,fi,
121,0,fi,
122,0,fi,
123,1,fi,
124,1,fi,
125,0,fi,
126,0,fi,
127,1,fi,
128,0,fi,
129,0,fi,
130,1,fi,
131,0,fi,
132,0,fi,
133,0,fi,
134,0,fi,
135,0,fi,
136,0,fi,
137,0,fi,
138,0,fi,
139,0,fi,
140,1,fi,
141,1,fi,
142,0,fi,
143,1,fi,
144,1,fi,
145,1,fi,
146,0,fi,
147,0,fi,
148,0,fi,
149,1,fi,
150,1,fi,
151,1,fi,
152,0,fi,
153,0,fi,
154,0,fi,
155,0,fi,
156,0,fi,
157,0,fi,
158,0,fi,
159,0,fi,
160,0,fi,
161,0,fi,
162,0,fi,
163,0,fi,
164,1,fi,
165,0,fi,
166,0,fi,
167,0,fi,
168,0,fi,
169,0,fi,
170,0,fi,
171,0,fi,
172,0,fi,
173,0,fi,
174,0,fi,
175,0,fi,
176,0,fi,
177,1,fi,
178,1,fi,
179,0,fi,
180,0,fi,
181,1,fi,
182,0,fi,
183,0,fi,
184,0,fi,
185,0,fi,
186,0,fi,
187,0,fi,
188,0,fi,
189,1,fi,
190,1,fi,
191,0,fi,
192,0,fi,
193,0,fi,
194,0,fi,
195,1,fi,
196,1,fi,
197,0,fi,
198,0,fi,
199,0,fi,
200,1,fi,
201,1,fi,
202,0,fi,
203,1,fi,
204,0,fi,
205,0,fi,
206,0,fi,
207,0,fi,
208,1,fi,
209,0,fi,
210,0,fi,
211,0,fi,
212,0,fi,
213,0,fi,
214,0,fi,
215,1,fi,
216,0,fi,
217,0,fi,
218,0,fi,
219,0,fi,
220,0,fi,
221,0,fi,
222,0,fi,
223,1,fi,
224,0,fi,
225,0,fi,
226,0,fi,
227,0,fi,
228,0,fi,
229,0,fi,
230,0,fi,
231,0,fi,
232,0,fi,
233,1,fi,
234,1,fi,
235,1,fi,
236,1,fi,
237,0,fi,
238,1,fi,
239,1,fi,
240,0,fi,
241,0,fi,
242,0,fi,
243,1,fi,
244,0,fi,
245,0,fi,
246,0,fi,
247,0,fi,
248,0,fi,
249,0,fi,
250,0,fi,
251,1,fi,
252,0,fi,
253,0,fi,
254,0,fi,
255,0,fi,
256,0,fi,
257,0,fi,
258,0,fi,
259,1,fi,
260,1,fi,
261,1,fi,
262,0,fi,
263,0,fi,
264,1,fi,
265,0,fi,
266,0,fi,
267,0,fi,
268,0,fi,
269,1,fi,
270,1,fi,
271,0,fi,
272,0,fi,
273,1,fi,
274,0,fi,
275,0,fi,
276,1,fi,
277,0,fi,
278,0,fi,
279,0,fi,
280,0,fi,
281,1,fi,
282,0,fi,
283,1,fi,
284,0,fi,
285,0,fi,
286,0,fi,
287,0,fi,
288,0,fi,
289,0,fi,
290,0,fi,
291,0,fi,
292,0,fi,
293,0,fi,
294,1,fi,
295,0,fi,
296,1,fi,
297,0,fi,
298,0,fi,
299,1,fi,
300,0,fi,
301,0,fi,
302,0,fi,
303,0,fi,
304,0,fi,
305,0,fi,
306,0,fi,
307,0,fi,
308,0,fi,
309,0,fi,
310,0,fi,
311,0,fi,
312,1,fi,
313,0,fi,
314,0,fi,
315,0,fi,
316,0,fi,
317,1,fi,
318,0,fi,
319,0,fi,
320,0,fi,
321,0,fi,
322,0,fi,
323,0,fi,
324,0,fi,
325,0,fi,
326,0,fi,
327,0,fi,
328,0,fi,
329,0,fi,
330,0,fi,
331,1,fi,
332,0,fi,
333,1,fi,
334,0,fi,
335,0,fi,
336,0,fi,
337,0,fi,
338,0,fi,
339,1,fi,
340,1,fi,
341,0,fi,
342,0,fi,
343,0,fi,
344,0,fi,
345,0,fi,
346,0,fi,
347,0,fi,
348,1,fi,
349,0,fi,
350,0,fi,
351,0,fi,
352,1,fi,
353,0,fi,
354,0,fi,
355,0,fi,
356,0,fi,
357,0,fi,
358,0,fi,
359,0,fi,
360,0,fi,
361,0,fi,
362,0,fi,
363,1,fi,
364,0,fi,
365,1,fi,
366,0,fi,
367,0,fi,
368,1,fi,
369,0,fi,
370,0,fi,
371,1,fi,
372,0,fi,
373,0,fi,
374,1,fi,
375,0,fi,
376,1,fi,
377,0,fi,
378,0,fi,
379,0,fi,
380,0,fi,
381,0,fi,
382,0,fi,
383,0,fi,
384,1,fi,
385,0,fi,
386,0,fi,
387,0,fi,
388,1,fi,
389,0,fi,
390,0,fi,
391,1,fi,
392,0,fi,
393,1,fi,
394,1,fi,
395,0,fi,
396,0,fi,
397,1,fi,
398,0,fi,
399,0,fi,
400,0,fi,
401,1,fi,
402,1,fi,
403,0,fi,
404,0,fi,
405,0,fi,
406,0,fi,
407,1,fi,
408,0,fi,
409,1,fi,
410,0,fi,
411,1,fi,
412,0,fi,
413,1,fi,
414,0,fi,
415,0,fi,
416,0,fi,
417,0,fi,
418,0,fi,
419,0,fi,
420,1,fi,
421,0,fi,
422,0,fi,
423,1,fi,
424,0,fi,
425,0,fi,
426,0,fi,
427,0,fi,
428,1,fi,
429,0,fi,
430,0,fi,
431,1,fi,
432,0,fi,
433,0,fi,
434,1,fi,
435,0,fi,
436,0,fi,
437,1,fi,
438,0,fi,
439,0,fi,
440,0,fi,
441,0,fi,
442,0,fi,
443,0,fi,
444,0,fi,
445,0,fi,
446,0,fi,
447,0,fi,
448,0,fi,
449,0,fi,
450,0,fi,
451,0,fi,
452,0,fi,
453,0,fi,
454,1,fi,
455,0,fi,
456,0,fi,
457,1,fi,
458,0,fi,
459,0,fi,
460,0,fi,
461,0,fi,
462,0,fi,
463,1,fi,
464,1,fi,
465,0,fi,
466,1,fi,
467,1,fi,
468,1,fi,
469,1,fi,
470,0,fi,
471,0,fi,
472,1,fi,
473,0,fi,
474,1,fi,
475,1,fi,
476,1,fi,
477,0,fi,
478,0,fi,
479,0,fi,
480,0,fi,
481,0,fi,
482,0,fi,
483,1,fi,
484,1,fi,
485,0,fi,
486,0,fi,
487,0,fi,
488,0,fi,
489,0,fi,
490,0,fi,
491,0,fi,
492,0,fi,
493,0,fi,
494,0,fi,
495,0,fi,
496,1,fi,
497,0,fi,
498,1,fi,
499,0,fi,
500,0,fi,
501,1,fi,
502,1,fi,
503,0,fi,
504,1,fi,
505,0,fi,
506,0,fi,
507,0,fi,
508,0,fi,
509,1,fi,
510,0,fi,
511,0,fi,
512,0,fi,
513,0,fi,
514,1,fi,
515,0,fi,
516,0,fi,
517,0,fi,
518,0,fi,
519,0,fi,
520,1,fi,
521,0,fi,
522,1,fi,
523,0,fi,
524,0,fi,
525,0,fi,
526,0,fi,
527,1,fi,
528,0,fi,
529,0,fi,
530,1,fi,
531,0,fi,
532,0,fi,
533,0,fi,
534,0,fi,
