id,prediction,language,error
0,1,it,
1,0,it,
2,0,it,
3,0,it,
4,1,it,
5,0,it,
6,0,it,
7,1,it,
8,0,it,
9,1,it,
10,0,it,
11,0,it,
12,1,it,
13,0,it,
14,1,it,
15,0,it,
16,0,it,
17,0,it,
18,1,it,
19,0,it,
20,1,it,
21,1,it,
22,0,it,
23,1,it,
24,0,it,
25,0,it,
26,1,it,
27,0,it,
28,0,it,
29,1,it,
30,1,it,
31,1,it,
32,0,it,
33,0,it,
34,0,it,
35,0,it,
36,1,it,
37,1,it,
38,1,it,
39,0,it,
40,0,it,
41,1,it,
42,1,it,
43,0,it,
44,0,it,
45,1,it,
46,0,it,
47,1,it,
48,0,it,
49,1,it,
50,0,it,
51,1,it,
52,0,it,
53,1,it,
54,1,it,
55,0,it,
56,0,it,
57,1,it,
58,0,it,
59,1,it,
60,0,it,
61,1,it,
62,1,it,
63,0,it,
64,0,it,
65,0,it,
66,0,it,
67,1,it,
68,0,it,
69,1,it,
70,1,it,
71,1,it,
72,0,it,
73,0,it,
74,0,it,
75,1,it,
76,1,it,
77,1,it,
78,0,it,
79,1,it,
80,0,it,
81,1,it,
82,0,it,
83,1,it,
84,1,it,
85,0,it,
86,1,it,
87,1,it,
88,0,it,
89,0,it,
90,0,it,
91,0,it,
92,0,it,
93,0,it,
94,0,it,
95,1,it,
96,1,it,
97,1,it,
98,0,it,
99,1,it,
100,0,it,
101,1,it,
102,1,it,
103,0,it,
104,0,it,
105,0,it,
106,0,it,
107,0,it,
108,1,it,
109,0,it,
110,0,it,
111,0,it,
112,1,it,
113,0,it,
114,0,it,
115,0,it,
116,0,it,
117,0,it,
118,1,it,
119,0,it,
120,0,it,
121,0,it,
122,0,it,
123,0,it,
124,0,it,
125,1,it,
126,1,it,
127,0,it,
128,0,it,
129,0,it,
130,0,it,
131,0,it,
132,0,it,
133,1,it,
134,0,it,
135,1,it,
136,0,it,
137,1,it,
138,0,it,
139,0,it,
140,0,it,
141,0,it,
142,1,it,
143,1,it,
144,0,it,
145,0,it,
146,0,it,
147,1,it,
148,0,it,
149,0,it,
150,0,it,
151,0,it,
152,1,it,
153,0,it,
154,0,it,
155,1,it,
156,1,it,
157,1,it,
158,0,it,
159,0,it,
160,1,it,
161,1,it,
162,0,it,
163,0,it,
164,1,it,
165,0,it,
166,1,it,
167,1,it,
168,1,it,
169,1,it,
170,0,it,
171,0,it,
172,0,it,
173,1,it,
174,1,it,
175,0,it,
176,1,it,
177,0,it,
178,0,it,
179,0,it,
180,0,it,
181,1,it,
182,1,it,
183,0,it,
184,0,it,
185,0,it,
186,1,it,
187,1,it,
