id,prediction,language,error
0,1,nl,
1,0,nl,
2,1,nl,
3,1,nl,
4,1,nl,
5,1,nl,
6,1,nl,
7,0,nl,
8,1,nl,
9,0,nl,
10,1,nl,
11,0,nl,
12,0,nl,
13,1,nl,
14,1,nl,
15,0,nl,
16,0,nl,
17,0,nl,
18,0,nl,
19,1,nl,
20,1,nl,
21,1,nl,
22,0,nl,
23,1,nl,
24,0,nl,
25,1,nl,
26,0,nl,
27,1,nl,
28,0,nl,
29,1,nl,
30,0,nl,
31,1,nl,
32,0,nl,
33,1,nl,
34,1,nl,
35,0,nl,
36,0,nl,
37,0,nl,
38,0,nl,
39,1,nl,
40,1,nl,
41,0,nl,
42,1,nl,
43,0,nl,
44,1,nl,
45,0,nl,
46,0,nl,
47,1,nl,
48,0,nl,
49,0,nl,
50,1,nl,
51,1,nl,
52,1,nl,
53,1,nl,
54,1,nl,
55,1,nl,
56,0,nl,
57,1,nl,
58,1,nl,
59,0,nl,
60,0,nl,
61,0,nl,
62,0,nl,
63,0,nl,
64,1,nl,
65,1,nl,
66,0,nl,
67,0,nl,
68,1,nl,
69,1,nl,
70,1,nl,
71,0,nl,
72,1,nl,
73,1,nl,
74,1,nl,
75,1,nl,
76,0,nl,
77,0,nl,
78,1,nl,
79,0,nl,
80,1,nl,
81,0,nl,
82,0,nl,
83,0,nl,
84,0,nl,
85,0,nl,
86,1,nl,
87,1,nl,
88,1,nl,
89,1,nl,
90,0,nl,
91,0,nl,
92,0,nl,
93,0,nl,
94,1,nl,
95,0,nl,
96,1,nl,
97,0,nl,
98,1,nl,
99,1,nl,
100,1,nl,
101,0,nl,
102,0,nl,
103,1,nl,
104,0,nl,
105,0,nl,
106,0,nl,
107,1,nl,
108,1,nl,
109,0,nl,
110,0,nl,
111,1,nl,
112,0,nl,
113,1,nl,
114,0,nl,
115,0,nl,
116,0,nl,
117,1,nl,
118,1,nl,
119,0,nl,
120,0,nl,
121,0,nl,
122,0,nl,
123,1,nl,
124,1,nl,
