id,prediction,language,error
0,0,nl,
1,0,nl,
2,0,nl,
3,1,nl,
4,1,nl,
5,0,nl,
6,0,nl,
7,0,nl,
8,1,nl,
9,0,nl,
10,0,nl,
11,0,nl,
12,0,nl,
13,0,nl,
14,1,nl,
15,0,nl,
16,0,nl,
17,0,nl,
18,0,nl,
19,0,nl,
20,0,nl,
21,0,nl,
22,1,nl,
23,0,nl,
24,0,nl,
25,0,nl,
26,0,nl,
27,1,nl,
28,0,nl,
29,1,nl,
30,0,nl,
31,0,nl,
32,0,nl,
33,1,nl,
34,1,nl,
35,0,nl,
36,0,nl,
37,0,nl,
38,1,nl,
39,1,nl,
40,1,nl,
41,0,nl,
42,0,nl,
43,1,nl,
44,1,nl,
45,0,nl,
46,1,nl,
47,0,nl,
48,1,nl,
49,1,nl,
50,0,nl,
51,0,nl,
52,1,nl,
53,0,nl,
54,1,nl,
55,0,nl,
56,0,nl,
57,1,nl,
58,1,nl,
59,0,nl,
60,0,nl,
61,1,nl,
62,1,nl,
63,1,nl,
64,1,nl,
65,1,nl,
66,1,nl,
67,0,nl,
68,0,nl,
69,0,nl,
70,0,nl,
71,0,nl,
72,0,nl,
73,0,nl,
74,1,nl,
75,0,nl,
76,1,nl,
77,0,nl,
78,1,nl,
79,1,nl,
80,0,nl,
81,0,nl,
82,0,nl,
83,0,nl,
84,0,nl,
85,1,nl,
86,1,nl,
87,1,nl,
88,0,nl,
89,1,nl,
90,1,nl,
91,0,nl,
92,0,nl,
93,1,nl,
94,0,nl,
95,0,nl,
96,0,nl,
97,1,nl,
98,0,nl,
99,0,nl,
100,0,nl,
101,1,nl,
102,1,nl,
103,0,nl,
104,0,nl,
105,0,nl,
106,1,nl,
107,0,nl,
108,1,nl,
109,0,nl,
110,0,nl,
111,0,nl,
112,0,nl,
113,1,nl,
114,0,nl,
115,0,nl,
116,0,nl,
117,0,nl,
118,0,nl,
119,0,nl,
120,0,nl,
121,0,nl,
122,0,nl,
123,0,nl,
124,1,nl,
125,0,nl,
126,1,nl,
127,0,nl,
128,0,nl,
129,0,nl,
130,0,nl,
131,0,nl,
132,1,nl,
133,1,nl,
134,1,nl,
135,0,nl,
136,0,nl,
137,0,nl,
138,1,nl,
139,1,nl,
140,1,nl,
141,0,nl,
142,0,nl,
143,1,nl,
144,1,nl,
145,0,nl,
146,1,nl,
147,1,nl,
148,1,nl,
149,1,nl,
150,0,nl,
151,0,nl,
152,0,nl,
153,1,nl,
154,1,nl,
155,0,nl,
156,0,nl,
157,0,nl,
158,0,nl,
159,0,nl,
160,0,nl,
161,1,nl,
162,0,nl,
163,0,nl,
164,0,nl,
165,1,nl,
166,1,nl,
167,0,nl,
168,0,nl,
169,1,nl,
170,0,nl,
171,1,nl,
172,1,nl,
173,1,nl,
174,1,nl,
175,0,nl,
176,0,nl,
177,0,nl,
178,0,nl,
179,1,nl,
180,1,nl,
181,1,nl,
182,0,nl,
183,0,nl,
184,0,nl,
185,0,nl,
186,1,nl,
187,0,nl,
188,0,nl,
189,1,nl,
190,0,nl,
191,0,nl,
192,0,nl,
193,0,nl,
194,0,nl,
195,1,nl,
196,1,nl,
197,1,nl,
198,1,nl,
199,0,nl,
200,1,nl,
201,1,nl,
202,1,nl,
203,0,nl,
204,1,nl,
205,0,nl,
206,0,nl,
207,1,nl,
208,0,nl,
209,0,nl,
210,1,nl,
211,0,nl,
212,1,nl,
213,0,nl,
214,0,nl,
215,1,nl,
216,0,nl,
217,1,nl,
218,0,nl,
219,1,nl,
220,0,nl,
221,0,nl,
222,1,nl,
223,1,nl,
224,0,nl,
225,1,nl,
226,0,nl,
227,0,nl,
228,0,nl,
229,1,nl,
230,0,nl,
231,0,nl,
232,0,nl,
233,0,nl,
234,0,nl,
235,0,nl,
236,1,nl,
237,0,nl,
238,0,nl,
239,1,nl,
240,0,nl,
241,1,nl,
242,1,nl,
243,0,nl,
244,1,nl,
245,0,nl,
