id,prediction,language,error
0,0,vi,
1,0,vi,
2,0,vi,
3,1,vi,
4,0,vi,
5,0,vi,
6,1,vi,
7,0,vi,
8,1,vi,
9,0,vi,
10,1,vi,
11,0,vi,
12,0,vi,
13,0,vi,
14,0,vi,
15,0,vi,
16,0,vi,
17,1,vi,
18,0,vi,
19,0,vi,
20,1,vi,
21,1,vi,
22,0,vi,
23,0,vi,
24,1,vi,
25,0,vi,
26,1,vi,
27,0,vi,
28,0,vi,
29,0,vi,
30,0,vi,
31,0,vi,
32,0,vi,
33,1,vi,
34,1,vi,
35,1,vi,
36,0,vi,
37,1,vi,
38,0,vi,
39,0,vi,
40,1,vi,
41,1,vi,
42,0,vi,
43,0,vi,
44,0,vi,
45,0,vi,
46,0,vi,
47,0,vi,
48,0,vi,
49,0,vi,
50,0,vi,
51,0,vi,
52,1,vi,
53,1,vi,
54,1,vi,
55,1,vi,
56,0,vi,
57,1,vi,
58,0,vi,
59,1,vi,
60,0,vi,
61,0,vi,
62,0,vi,
63,0,vi,
64,0,vi,
65,0,vi,
66,1,vi,
67,1,vi,
68,1,vi,
69,1,vi,
70,0,vi,
71,0,vi,
72,0,vi,
73,0,vi,
74,0,vi,
75,0,vi,
76,0,vi,
77,1,vi,
78,0,vi,
79,0,vi,
80,0,vi,
81,0,vi,
82,0,vi,
83,1,vi,
84,0,vi,
85,0,vi,
86,0,vi,
87,0,vi,
88,1,vi,
89,0,vi,
90,1,vi,
91,1,vi,
92,0,vi,
93,1,vi,
94,0,vi,
95,0,vi,
96,1,vi,
97,0,vi,
98,1,vi,
99,0,vi,
100,1,vi,
101,1,vi,
102,0,vi,
103,0,vi,
104,0,vi,
105,0,vi,
106,0,vi,
107,0,vi,
108,0,vi,
109,1,vi,
110,1,vi,
111,0,vi,
112,1,vi,
113,1,vi,
114,1,vi,
115,0,vi,
116,1,vi,
117,0,vi,
118,1,vi,
119,1,vi,
120,1,vi,
121,0,vi,
122,0,vi,
123,0,vi,
124,0,vi,
125,0,vi,
126,1,vi,
127,0,vi,
128,1,vi,
129,0,vi,
130,0,vi,
131,1,vi,
132,1,vi,
133,0,vi,
134,0,vi,
135,0,vi,
136,1,vi,
137,1,vi,
138,1,vi,
139,0,vi,
140,0,vi,
141,1,vi,
142,0,vi,
143,1,vi,
144,1,vi,
145,0,vi,
146,1,vi,
147,0,vi,
148,1,vi,
149,1,vi,
150,1,vi,
151,1,vi,
152,0,vi,
153,0,vi,
154,1,vi,
155,0,vi,
156,0,vi,
157,0,vi,
158,0,vi,
159,0,vi,
160,0,vi,
161,0,vi,
162,0,vi,
163,0,vi,
164,0,vi,
165,0,vi,
166,0,vi,
167,1,vi,
168,1,vi,
169,1,vi,
170,1,vi,
171,0,vi,
172,1,vi,
173,0,vi,
174,1,vi,
175,0,vi,
176,0,vi,
177,0,vi,
178,0,vi,
179,1,vi,
180,0,vi,
181,0,vi,
182,0,vi,
183,0,vi,
184,0,vi,
185,1,vi,
186,1,vi,
187,1,vi,
188,0,vi,
189,1,vi,
190,0,vi,
191,1,vi,
192,0,vi,
193,0,vi,
194,0,vi,
195,0,vi,
196,1,vi,
197,0,vi,
198,0,vi,
199,0,vi,
200,0,vi,
201,1,vi,
202,0,vi,
203,0,vi,
204,1,vi,
205,0,vi,
206,1,vi,
207,0,vi,
208,0,vi,
209,0,vi,
210,1,vi,
211,1,vi,
212,0,vi,
213,1,vi,
214,1,vi,
215,0,vi,
216,0,vi,
217,0,vi,
218,0,vi,
219,0,vi,
220,1,vi,
221,0,vi,
222,0,vi,
223,1,vi,
224,0,vi,
225,1,vi,
226,0,vi,
227,0,vi,
228,0,vi,
229,1,vi,
230,1,vi,
231,0,vi,
232,0,vi,
233,1,vi,
234,1,vi,
235,1,vi,
236,1,vi,
237,0,vi,
238,0,vi,
239,1,vi,
240,0,vi,
241,0,vi,
242,0,vi,
243,0,vi,
244,1,vi,
245,0,vi,
246,1,vi,
247,0,vi,
248,0,vi,
249,1,vi,
250,0,vi,
251,0,vi,
252,1,vi,
253,0,vi,
254,1,vi,
255,0,vi,
256,1,vi,
257,1,vi,
258,0,vi,
259,0,vi,
260,0,vi,
261,1,vi,
262,1,vi,
263,0,vi,
264,1,vi,
265,1,vi,
266,1,vi,
267,0,vi,
268,0,vi,
269,1,vi,
270,1,vi,
271,1,vi,
272,1,vi,
273,1,vi,
274,1,vi,
275,1,vi,
276,1,vi,
277,0,vi,
278,0,vi,
279,0,vi,
280,0,vi,
281,1,vi,
282,1,vi,
283,0,vi,
284,0,vi,
285,1,vi,
286,1,vi,
287,1,vi,
288,0,vi,
289,0,vi,
290,1,vi,
291,0,vi,
292,0,vi,
293,1,vi,
294,1,vi,
295,0,vi,
296,0,vi,
297,0,vi,
298,0,vi,
299,0,vi,
300,0,vi,
301,0,vi,
302,0,vi,
303,0,vi,
304,0,vi,
305,1,vi,
306,0,vi,
307,1,vi,
308,0,vi,
309,0,vi,
310,1,vi,
311,1,vi,
312,1,vi,
313,0,vi,
314,0,vi,
315,0,vi,
316,1,vi,
317,0,vi,
318,0,vi,
319,1,vi,
320,0,vi,
321,0,vi,
322,1,vi,
323,1,vi,
324,1,vi,
325,0,vi,
326,0,vi,
327,1,vi,
328,1,vi,
329,1,vi,
330,0,vi,
331,1,vi,
332,0,vi,
333,0,vi,
334,0,vi,
335,1,vi,
336,0,vi,
337,1,vi,
338,1,vi,
339,0,vi,
340,0,vi,
341,1,vi,
342,1,vi,
343,1,vi,
344,1,vi,
345,0,vi,
346,1,vi,
347,0,vi,
348,1,vi,
349,0,vi,
350,0,vi,
351,1,vi,
352,0,vi,
353,0,vi,
354,0,vi,
355,1,vi,
356,0,vi,
357,1,vi,
358,1,vi,
359,0,vi,
360,0,vi,
361,0,vi,
362,0,vi,
363,1,vi,
364,0,vi,
365,1,vi,
366,1,vi,
367,0,vi,
368,1,vi,
369,0,vi,
370,0,vi,
371,0,vi,
372,0,vi,
373,1,vi,
374,0,vi,
375,0,vi,
376,0,vi,
377,1,vi,
378,0,vi,
379,0,vi,
380,1,vi,
381,1,vi,
382,1,vi,
383,0,vi,
384,0,vi,
385,0,vi,
386,0,vi,
387,1,vi,
388,1,vi,
389,0,vi,
390,0,vi,
391,1,vi,
392,1,vi,
393,1,vi,
394,1,vi,
395,0,vi,
396,1,vi,
397,1,vi,
398,1,vi,
399,0,vi,
400,0,vi,
401,0,vi,
402,1,vi,
403,1,vi,
404,1,vi,
405,0,vi,
406,0,vi,
407,1,vi,
408,1,vi,
409,0,vi,
410,0,vi,
411,1,vi,
412,0,vi,
413,1,vi,
414,0,vi,
415,0,vi,
416,1,vi,
417,1,vi,
418,0,vi,
419,1,vi,
420,0,vi,
