id,prediction,language,error
0,0,de,
1,1,de,
2,1,de,
3,1,de,
4,1,de,
5,1,de,
6,0,de,
7,1,de,
8,1,de,
9,0,de,
10,0,de,
11,0,de,
12,0,de,
13,0,de,
14,1,de,
15,1,de,
16,1,de,
17,0,de,
18,0,de,
19,0,de,
20,0,de,
21,0,de,
22,0,de,
23,1,de,
24,1,de,
25,1,de,
26,1,de,
27,1,de,
28,0,de,
29,1,de,
30,0,de,
31,1,de,
32,0,de,
33,1,de,
34,0,de,
35,0,de,
36,1,de,
37,1,de,
38,1,de,
39,0,de,
40,1,de,
41,0,de,
42,1,de,
43,0,de,
44,0,de,
45,0,de,
46,0,de,
47,1,de,
48,1,de,
49,1,de,
50,0,de,
51,0,de,
52,0,de,
53,0,de,
54,0,de,
55,1,de,
56,0,de,
57,0,de,
58,1,de,
59,0,de,
60,1,de,
61,1,de,
62,1,de,
63,1,de,
64,1,de,
65,0,de,
66,0,de,
67,0,de,
68,0,de,
69,1,de,
70,0,de,
71,0,de,
72,0,de,
73,0,de,
74,1,de,
75,1,de,
76,1,de,
77,1,de,
78,1,de,
79,0,de,
80,0,de,
81,1,de,
82,1,de,
83,0,de,
84,1,de,
85,1,de,
86,1,de,
87,0,de,
88,1,de,
89,0,de,
90,0,de,
91,0,de,
92,1,de,
93,1,de,
94,0,de,
95,0,de,
96,0,de,
97,0,de,
98,1,de,
99,0,de,
100,0,de,
101,1,de,
102,0,de,
103,0,de,
104,0,de,
105,1,de,
106,1,de,
107,0,de,
108,0,de,
109,1,de,
110,0,de,
111,1,de,
112,0,de,
113,1,de,
114,0,de,
115,0,de,
116,1,de,
117,1,de,
118,1,de,
119,0,de,
120,0,de,
121,0,de,
122,0,de,
123,0,de,
124,1,de,
125,1,de,
126,0,de,
127,0,de,
128,0,de,
129,0,de,
130,1,de,
131,1,de,
132,1,de,
133,0,de,
134,0,de,
135,1,de,
136,1,de,
137,0,de,
138,0,de,
139,0,de,
140,1,de,
141,0,de,
142,0,de,
143,1,de,
144,1,de,
145,1,de,
146,1,de,
147,1,de,
148,1,de,
149,0,de,
150,0,de,
151,0,de,
152,1,de,
153,1,de,
154,1,de,
155,1,de,
156,0,de,
157,0,de,
158,0,de,
159,0,de,
160,0,de,
161,1,de,
162,0,de,
163,0,de,
164,1,de,
165,1,de,
166,1,de,
167,1,de,
168,1,de,
169,0,de,
170,0,de,
171,0,de,
172,1,de,
173,1,de,
174,0,de,
175,1,de,
176,0,de,
177,1,de,
178,1,de,
179,1,de,
180,0,de,
181,1,de,
182,1,de,
183,0,de,
184,1,de,
185,1,de,
186,0,de,
187,0,de,
188,1,de,
189,1,de,
190,0,de,
191,0,de,
192,1,de,
193,1,de,
194,0,de,
195,0,de,
196,1,de,
197,0,de,
198,0,de,
199,0,de,
200,0,de,
