id,prediction,language,error
0,1,zh,
1,0,zh,
2,1,zh,
3,1,zh,
4,1,zh,
5,0,zh,
6,1,zh,
7,0,zh,
8,1,zh,
9,0,zh,
10,0,zh,
11,1,zh,
12,0,zh,
13,1,zh,
14,0,zh,
15,0,zh,
16,1,zh,
17,1,zh,
18,0,zh,
19,0,zh,
20,1,zh,
21,1,zh,
22,1,zh,
23,0,zh,
24,1,zh,
25,0,zh,
26,1,zh,
27,1,zh,
28,1,zh,
29,1,zh,
30,0,zh,
31,1,zh,
32,1,zh,
33,1,zh,
34,0,zh,
35,0,zh,
36,0,zh,
37,0,zh,
38,0,zh,
39,1,zh,
40,0,zh,
41,0,zh,
42,0,zh,
43,1,zh,
44,0,zh,
45,1,zh,
46,1,zh,
47,1,zh,
48,0,zh,
49,0,zh,
50,0,zh,
51,1,zh,
52,0,zh,
53,0,zh,
54,0,zh,
55,0,zh,
56,0,zh,
57,0,zh,
58,1,zh,
59,0,zh,
60,1,zh,
61,1,zh,
62,0,zh,
63,0,zh,
64,0,zh,
65,0,zh,
66,0,zh,
67,1,zh,
68,1,zh,
69,1,zh,
70,1,zh,
71,1,zh,
72,1,zh,
73,1,zh,
74,1,zh,
75,1,zh,
76,1,zh,
77,0,zh,
78,0,zh,
79,1,zh,
80,0,zh,
81,1,zh,
82,1,zh,
83,0,zh,
84,1,zh,
85,0,zh,
86,0,zh,
87,1,zh,
88,0,zh,
89,1,zh,
90,0,zh,
91,1,zh,
92,1,zh,
93,1,zh,
94,0,zh,
95,1,zh,
96,1,zh,
97,0,zh,
98,0,zh,
99,1,zh,
100,0,zh,
101,0,zh,
102,0,zh,
103,0,zh,
104,0,zh,
105,1,zh,
106,1,zh,
107,1,zh,
108,0,zh,
109,0,zh,
110,1,zh,
111,0,zh,
112,1,zh,
113,0,zh,
114,1,zh,
115,1,zh,
116,1,zh,
117,1,zh,
118,1,zh,
119,1,zh,
120,1,zh,
121,0,zh,
122,0,zh,
123,1,zh,
124,1,zh,
125,0,zh,
126,0,zh,
127,1,zh,
128,0,zh,
129,1,zh,
130,0,zh,
131,0,zh,
132,1,zh,
133,1,zh,
134,0,zh,
135,0,zh,
136,0,zh,
137,0,zh,
138,0,zh,
139,1,zh,
140,0,zh,
141,1,zh,
142,0,zh,
143,0,zh,
144,1,zh,
145,1,zh,
146,0,zh,
147,0,zh,
148,0,zh,
149,0,zh,
150,1,zh,
151,1,zh,
152,0,zh,
153,0,zh,
154,0,zh,
155,1,zh,
156,1,zh,
157,0,zh,
158,0,zh,
159,1,zh,
160,1,zh,
161,0,zh,
162,1,zh,
163,1,zh,
164,1,zh,
165,0,zh,
166,0,zh,
167,1,zh,
168,0,zh,
169,1,zh,
170,1,zh,
171,1,zh,
172,0,zh,
173,0,zh,
174,1,zh,
175,1,zh,
176,1,zh,
177,1,zh,
178,0,zh,
179,0,zh,
180,1,zh,
181,0,zh,
182,1,zh,
183,1,zh,
184,1,zh,
185,1,zh,
186,1,zh,
187,1,zh,
188,0,zh,
189,1,zh,
190,1,zh,
191,0,zh,
192,1,zh,
193,1,zh,
194,1,zh,
195,1,zh,
196,0,zh,
197,1,zh,
198,1,zh,
199,1,zh,
200,0,zh,
201,0,zh,
202,0,zh,
203,1,zh,
204,1,zh,
205,1,zh,
206,1,zh,
207,0,zh,
208,1,zh,
209,1,zh,
210,0,zh,
211,1,zh,
212,0,zh,
213,1,zh,
214,0,zh,
215,0,zh,
216,1,zh,
217,1,zh,
218,0,zh,
219,1,zh,
220,1,zh,
221,1,zh,
222,1,zh,
223,0,zh,
224,0,zh,
225,1,zh,
226,1,zh,
227,1,zh,
