id,prediction,language,error
0,0,tr,
1,0,tr,
2,0,tr,
3,1,tr,
4,0,tr,
5,0,tr,
6,0,tr,
7,0,tr,
8,0,tr,
9,0,tr,
10,0,tr,
11,0,tr,
12,1,tr,
13,0,tr,
14,0,tr,
15,0,tr,
16,0,tr,
17,0,tr,
18,0,tr,
19,0,tr,
20,0,tr,
21,1,tr,
22,1,tr,
23,0,tr,
24,1,tr,
25,0,tr,
26,0,tr,
27,1,tr,
28,0,tr,
29,0,tr,
30,0,tr,
31,1,tr,
32,0,tr,
33,1,tr,
34,0,tr,
35,1,tr,
36,0,tr,
37,0,tr,
38,1,tr,
39,1,tr,
40,0,tr,
41,0,tr,
42,0,tr,
43,0,tr,
44,1,tr,
45,0,tr,
46,0,tr,
47,0,tr,
48,0,tr,
49,1,tr,
50,1,tr,
51,1,tr,
52,1,tr,
53,0,tr,
54,0,tr,
55,0,tr,
56,0,tr,
57,0,tr,
58,0,tr,
59,1,tr,
60,0,tr,
61,1,tr,
62,1,tr,
63,0,tr,
64,1,tr,
65,1,tr,
66,0,tr,
67,0,tr,
68,0,tr,
69,0,tr,
70,1,tr,
71,0,tr,
72,1,tr,
73,0,tr,
74,1,tr,
75,1,tr,
76,1,tr,
77,1,tr,
78,0,tr,
79,0,tr,
80,0,tr,
81,0,tr,
82,0,tr,
83,0,tr,
84,0,tr,
85,0,tr,
86,1,tr,
87,0,tr,
88,0,tr,
89,1,tr,
90,1,tr,
91,0,tr,
92,1,tr,
93,0,tr,
94,0,tr,
95,0,tr,
96,0,tr,
97,0,tr,
98,0,tr,
99,0,tr,
100,1,tr,
101,0,tr,
102,1,tr,
103,0,tr,
104,1,tr,
105,1,tr,
106,0,tr,
107,1,tr,
108,0,tr,
109,0,tr,
110,0,tr,
111,0,tr,
112,0,tr,
113,1,tr,
114,0,tr,
115,0,tr,
116,0,tr,
117,1,tr,
118,0,tr,
119,0,tr,
120,0,tr,
121,0,tr,
122,0,tr,
123,0,tr,
124,0,tr,
125,1,tr,
126,0,tr,
127,0,tr,
128,0,tr,
129,0,tr,
130,0,tr,
131,1,tr,
132,1,tr,
133,1,tr,
134,0,tr,
135,0,tr,
136,0,tr,
137,0,tr,
138,1,tr,
139,0,tr,
140,0,tr,
141,0,tr,
142,1,tr,
143,0,tr,
144,0,tr,
145,0,tr,
146,0,tr,
147,0,tr,
148,0,tr,
149,0,tr,
150,1,tr,
151,1,tr,
152,1,tr,
153,0,tr,
154,0,tr,
155,1,tr,
156,0,tr,
157,0,tr,
158,0,tr,
159,0,tr,
160,1,tr,
161,1,tr,
162,0,tr,
163,0,tr,
164,0,tr,
165,0,tr,
166,0,tr,
