id,prediction,language,error
0,1,et,
1,0,et,
2,1,et,
3,0,et,
4,0,et,
5,0,et,
6,0,et,
7,0,et,
8,0,et,
9,0,et,
10,0,et,
11,1,et,
12,0,et,
13,0,et,
14,1,et,
15,0,et,
16,0,et,
17,0,et,
18,1,et,
19,1,et,
20,1,et,
21,0,et,
22,0,et,
23,0,et,
24,0,et,
25,0,et,
26,0,et,
27,0,et,
28,0,et,
29,0,et,
30,0,et,
31,1,et,
32,0,et,
33,0,et,
34,0,et,
35,0,et,
36,0,et,
37,0,et,
38,0,et,
39,0,et,
40,1,et,
41,0,et,
42,0,et,
43,0,et,
44,0,et,
45,1,et,
46,0,et,
47,1,et,
48,0,et,
49,0,et,
50,0,et,
51,0,et,
52,1,et,
53,0,et,
54,0,et,
55,1,et,
56,0,et,
57,0,et,
58,0,et,
59,0,et,
60,0,et,
61,0,et,
62,0,et,
63,0,et,
64,0,et,
65,0,et,
66,1,et,
67,0,et,
68,0,et,
69,0,et,
70,0,et,
71,1,et,
72,0,et,
73,0,et,
74,1,et,
75,0,et,
76,0,et,
77,0,et,
78,0,et,
79,0,et,
80,0,et,
81,0,et,
82,0,et,
83,0,et,
84,1,et,
85,0,et,
86,0,et,
87,1,et,
88,0,et,
89,1,et,
90,0,et,
91,1,et,
92,1,et,
93,0,et,
94,1,et,
95,1,et,
96,1,et,
97,1,et,
98,0,et,
99,0,et,
100,0,et,
101,1,et,
102,0,et,
103,0,et,
104,0,et,
105,1,et,
106,0,et,
107,1,et,
108,0,et,
109,0,et,
110,0,et,
111,1,et,
112,1,et,
113,0,et,
114,0,et,
115,0,et,
116,0,et,
117,1,et,
118,0,et,
119,0,et,
120,0,et,
121,0,et,
122,0,et,
123,0,et,
124,1,et,
125,0,et,
126,1,et,
127,0,et,
128,0,et,
129,0,et,
130,0,et,
131,0,et,
132,0,et,
133,0,et,
134,0,et,
135,0,et,
136,0,et,
137,1,et,
138,0,et,
139,0,et,
140,0,et,
141,0,et,
142,0,et,
143,0,et,
144,0,et,
145,0,et,
146,1,et,
147,0,et,
148,0,et,
149,0,et,
150,0,et,
151,0,et,
152,0,et,
153,1,et,
154,0,et,
155,0,et,
156,0,et,
157,1,et,
158,0,et,
159,0,et,
160,0,et,
161,0,et,
162,0,et,
163,0,et,
164,1,et,
165,1,et,
166,0,et,
167,0,et,
168,0,et,
169,0,et,
170,0,et,
171,1,et,
172,0,et,
173,0,et,
174,1,et,
175,1,et,
176,0,et,
177,0,et,
178,1,et,
179,0,et,
180,0,et,
181,0,et,
182,0,et,
183,1,et,
184,0,et,
185,0,et,
186,0,et,
187,0,et,
188,0,et,
189,0,et,
190,0,et,
191,0,et,
192,1,et,
193,0,et,
194,0,et,
195,1,et,
196,0,et,
197,0,et,
198,0,et,
199,0,et,
200,0,et,
201,0,et,
202,0,et,
203,0,et,
204,0,et,
205,0,et,
206,1,et,
207,0,et,
208,0,et,
209,0,et,
210,0,et,
211,0,et,
212,0,et,
213,0,et,
214,0,et,
215,0,et,
216,0,et,
217,1,et,
218,0,et,
219,0,et,
220,0,et,
221,0,et,
222,0,et,
223,0,et,
224,0,et,
225,0,et,
226,0,et,
227,0,et,
228,0,et,
229,0,et,
230,0,et,
231,0,et,
232,0,et,
233,0,et,
234,0,et,
235,0,et,
236,1,et,
237,0,et,
238,0,et,
239,0,et,
240,0,et,
241,1,et,
242,0,et,
243,1,et,
