id,prediction,language,error
0,1,es,
1,0,es,
2,0,es,
3,1,es,
4,1,es,
5,1,es,
6,1,es,
7,0,es,
8,1,es,
9,1,es,
10,1,es,
11,0,es,
12,1,es,
13,0,es,
14,0,es,
15,0,es,
16,1,es,
17,1,es,
18,1,es,
19,1,es,
20,0,es,
21,1,es,
22,0,es,
23,0,es,
24,0,es,
25,1,es,
26,0,es,
27,1,es,
28,1,es,
29,1,es,
30,0,es,
31,1,es,
32,1,es,
33,0,es,
34,1,es,
35,0,es,
36,1,es,
37,1,es,
38,1,es,
39,1,es,
40,1,es,
41,0,es,
42,0,es,
43,0,es,
44,1,es,
45,1,es,
46,0,es,
47,0,es,
48,1,es,
49,1,es,
50,0,es,
51,0,es,
52,1,es,
53,0,es,
54,1,es,
55,1,es,
56,1,es,
57,0,es,
58,0,es,
59,1,es,
60,0,es,
61,0,es,
62,1,es,
63,1,es,
64,1,es,
65,0,es,
66,1,es,
67,0,es,
68,1,es,
69,1,es,
70,1,es,
71,1,es,
72,1,es,
73,0,es,
74,0,es,
75,0,es,
76,0,es,
77,0,es,
78,0,es,
79,1,es,
80,1,es,
81,0,es,
82,1,es,
83,0,es,
84,0,es,
85,1,es,
86,0,es,
87,1,es,
88,1,es,
89,1,es,
90,0,es,
91,0,es,
92,0,es,
93,0,es,
94,1,es,
95,1,es,
96,0,es,
97,1,es,
98,0,es,
99,1,es,
100,0,es,
101,0,es,
102,0,es,
103,0,es,
104,1,es,
105,0,es,
106,1,es,
107,0,es,
108,0,es,
109,0,es,
110,1,es,
111,0,es,
112,1,es,
113,1,es,
114,1,es,
115,1,es,
116,1,es,
117,0,es,
118,1,es,
119,1,es,
120,1,es,
121,0,es,
122,0,es,
123,1,es,
124,0,es,
125,1,es,
126,0,es,
127,0,es,
128,1,es,
129,1,es,
130,1,es,
131,1,es,
132,1,es,
133,1,es,
134,1,es,
135,0,es,
136,0,es,
137,0,es,
138,1,es,
139,0,es,
140,1,es,
141,0,es,
142,0,es,
143,1,es,
144,0,es,
145,0,es,
146,0,es,
147,0,es,
148,1,es,
149,1,es,
150,0,es,
151,0,es,
152,0,es,
153,0,es,
154,0,es,
155,0,es,
156,1,es,
157,1,es,
158,0,es,
159,1,es,
160,1,es,
161,1,es,
162,1,es,
163,0,es,
164,1,es,
165,0,es,
166,0,es,
167,1,es,
168,1,es,
169,1,es,
170,1,es,
171,1,es,
172,0,es,
173,1,es,
174,1,es,
175,1,es,
176,1,es,
177,1,es,
178,1,es,
179,1,es,
180,0,es,
181,1,es,
182,1,es,
183,1,es,
184,0,es,
185,0,es,
186,1,es,
187,0,es,
188,1,es,
189,0,es,
190,0,es,
191,0,es,
192,0,es,
193,1,es,
194,0,es,
195,1,es,
196,1,es,
197,1,es,
198,1,es,
199,0,es,
200,1,es,
201,1,es,
202,1,es,
203,1,es,
204,1,es,
205,0,es,
206,0,es,
207,1,es,
208,0,es,
209,0,es,
210,1,es,
211,1,es,
212,1,es,
213,1,es,
214,1,es,
215,1,es,
216,0,es,
217,0,es,
218,0,es,
219,1,es,
220,0,es,
221,1,es,
222,0,es,
223,0,es,
224,1,es,
225,0,es,
226,1,es,
227,1,es,
228,0,es,
229,0,es,
230,1,es,
231,1,es,
232,1,es,
233,1,es,
234,1,es,
235,1,es,
236,1,es,
237,1,es,
238,1,es,
239,1,es,
240,1,es,
241,1,es,
242,1,es,
243,1,es,
244,1,es,
245,0,es,
246,0,es,
247,0,es,
248,0,es,
249,1,es,
250,1,es,
251,1,es,
252,1,es,
253,1,es,
254,0,es,
255,0,es,
256,1,es,
257,1,es,
258,1,es,
259,0,es,
260,0,es,
261,1,es,
262,1,es,
263,0,es,
264,1,es,
265,1,es,
266,1,es,
267,1,es,
268,1,es,
269,1,es,
270,0,es,
271,1,es,
272,1,es,
273,1,es,
274,1,es,
275,0,es,
276,1,es,
277,1,es,
278,0,es,
279,1,es,
280,1,es,
281,1,es,
282,0,es,
283,1,es,
284,0,es,
285,0,es,
286,1,es,
287,1,es,
288,0,es,
289,1,es,
290,1,es,
291,1,es,
292,1,es,
293,0,es,
294,0,es,
295,0,es,
296,1,es,
297,1,es,
298,0,es,
299,0,es,
300,0,es,
301,0,es,
302,1,es,
303,1,es,
304,1,es,
305,0,es,
306,1,es,
307,0,es,
308,1,es,
309,1,es,
310,1,es,
311,0,es,
312,1,es,
313,0,es,
314,0,es,
315,0,es,
316,0,es,
317,1,es,
318,0,es,
319,0,es,
320,0,es,
321,0,es,
322,1,es,
323,1,es,
324,0,es,
325,1,es,
326,1,es,
327,0,es,
328,0,es,
329,1,es,
330,0,es,
331,1,es,
332,1,es,
333,1,es,
334,0,es,
335,1,es,
336,0,es,
337,0,es,
338,0,es,
339,0,es,
340,0,es,
341,1,es,
342,0,es,
343,1,es,
344,0,es,
345,1,es,
346,1,es,
347,0,es,
348,1,es,
349,0,es,
350,0,es,
351,0,es,
352,1,es,
353,1,es,
354,0,es,
355,0,es,
356,0,es,
357,0,es,
358,0,es,
359,0,es,
360,0,es,
361,1,es,
362,1,es,
363,1,es,
364,1,es,
365,0,es,
366,0,es,
367,1,es,
368,1,es,
369,0,es,
370,1,es,
371,0,es,
372,0,es,
373,0,es,
374,1,es,
375,0,es,
376,1,es,
377,1,es,
378,0,es,
379,1,es,
380,0,es,
381,0,es,
382,1,es,
383,0,es,
384,0,es,
385,1,es,
386,1,es,
387,1,es,
388,1,es,
389,0,es,
390,0,es,
391,0,es,
392,1,es,
393,1,es,
394,0,es,
395,0,es,
396,1,es,
397,1,es,
398,1,es,
399,1,es,
400,1,es,
401,1,es,
402,1,es,
403,1,es,
404,1,es,
405,0,es,
406,1,es,
407,1,es,
408,0,es,
409,1,es,
410,0,es,
411,1,es,
412,1,es,
413,1,es,
414,1,es,
415,1,es,
416,1,es,
417,0,es,
418,1,es,
419,1,es,
420,0,es,
421,1,es,
422,1,es,
423,1,es,
424,1,es,
425,0,es,
426,1,es,
427,1,es,
428,1,es,
429,1,es,
430,1,es,
431,0,es,
432,1,es,
433,1,es,
434,1,es,
435,0,es,
436,1,es,
437,1,es,
438,1,es,
439,1,es,
440,0,es,
441,0,es,
442,1,es,
443,0,es,
444,1,es,
445,0,es,
446,0,es,
447,1,es,
448,0,es,
449,0,es,
450,1,es,
451,1,es,
452,1,es,
453,0,es,
454,1,es,
455,0,es,
456,0,es,
457,1,es,
458,0,es,
459,1,es,
460,0,es,
461,1,es,
462,1,es,
463,1,es,
464,1,es,
465,0,es,
466,1,es,
467,1,es,
468,0,es,
469,1,es,
470,0,es,
471,0,es,
472,1,es,
473,0,es,
474,1,es,
475,0,es,
476,1,es,
477,0,es,
478,1,es,
479,0,es,
480,0,es,
481,1,es,
482,1,es,
483,1,es,
484,1,es,
485,0,es,
486,1,es,
487,1,es,
488,1,es,
489,1,es,
490,1,es,
491,1,es,
492,0,es,
493,1,es,
494,1,es,
495,0,es,
496,0,es,
497,1,es,
498,1,es,
499,1,es,
500,1,es,
501,1,es,
502,1,es,
503,1,es,
504,1,es,
505,0,es,
506,1,es,
507,0,es,
508,1,es,
509,1,es,
510,0,es,
511,1,es,
512,1,es,
513,1,es,
514,1,es,
515,1,es,
516,0,es,
517,1,es,
518,1,es,
519,1,es,
520,1,es,
521,0,es,
522,1,es,
523,0,es,
524,1,es,
525,1,es,
526,1,es,
527,0,es,
528,1,es,
529,1,es,
530,0,es,
531,1,es,
532,1,es,
533,1,es,
534,1,es,
535,1,es,
536,1,es,
537,1,es,
538,0,es,
539,1,es,
540,1,es,
541,1,es,
542,0,es,
543,0,es,
544,1,es,
545,0,es,
546,0,es,
547,1,es,
548,1,es,
549,0,es,
550,0,es,
551,0,es,
552,0,es,
553,0,es,
554,1,es,
555,1,es,
556,1,es,
557,1,es,
558,1,es,
559,1,es,
560,1,es,
561,1,es,
562,1,es,
563,1,es,
564,1,es,
565,1,es,
566,0,es,
567,1,es,
568,1,es,
569,1,es,
570,1,es,
571,1,es,
572,0,es,
573,1,es,
574,0,es,
575,1,es,
576,0,es,
577,1,es,
578,0,es,
579,0,es,
580,1,es,
581,1,es,
582,1,es,
583,1,es,
584,1,es,
585,0,es,
586,1,es,
587,1,es,
588,1,es,
589,0,es,
590,0,es,
591,0,es,
592,0,es,
593,1,es,
594,0,es,
595,1,es,
596,1,es,
597,0,es,
598,0,es,
599,1,es,
600,1,es,
601,0,es,
602,1,es,
603,1,es,
604,0,es,
605,1,es,
606,1,es,
607,0,es,
608,1,es,
609,1,es,
610,1,es,
611,0,es,
612,0,es,
613,0,es,
614,1,es,
615,0,es,
616,0,es,
617,0,es,
618,0,es,
619,1,es,
620,0,es,
621,1,es,
622,1,es,
623,1,es,
624,0,es,
625,0,es,
626,1,es,
627,1,es,
628,0,es,
629,1,es,
630,0,es,
631,1,es,
632,1,es,
633,0,es,
634,1,es,
635,1,es,
636,1,es,
637,0,es,
638,0,es,
639,1,es,
640,1,es,
641,0,es,
642,1,es,
643,1,es,
644,1,es,
645,1,es,
646,1,es,
647,0,es,
648,1,es,
649,1,es,
650,1,es,
651,1,es,
652,1,es,
653,0,es,
654,1,es,
655,1,es,
656,0,es,
657,1,es,
658,0,es,
659,0,es,
660,1,es,
661,1,es,
662,1,es,
663,1,es,
664,0,es,
665,0,es,
666,0,es,
667,0,es,
668,0,es,
669,0,es,
670,0,es,
671,0,es,
672,1,es,
673,1,es,
674,0,es,
675,1,es,
676,1,es,
677,1,es,
678,1,es,
679,0,es,
680,0,es,
681,0,es,
682,0,es,
683,0,es,
684,0,es,
685,1,es,
686,0,es,
687,1,es,
688,1,es,
689,0,es,
690,0,es,
691,0,es,
692,0,es,
693,1,es,
694,1,es,
695,1,es,
696,0,es,
697,0,es,
698,1,es,
699,1,es,
700,1,es,
701,1,es,
702,1,es,
703,0,es,
704,0,es,
705,0,es,
706,1,es,
707,1,es,
708,1,es,
709,0,es,
710,1,es,
711,0,es,
712,1,es,
713,1,es,
714,1,es,
715,0,es,
716,1,es,
717,1,es,
718,0,es,
719,0,es,
720,0,es,
721,0,es,
722,1,es,
723,0,es,
724,1,es,
725,1,es,
726,1,es,
727,1,es,
728,0,es,
729,0,es,
730,0,es,
731,0,es,
732,0,es,
733,0,es,
734,0,es,
735,1,es,
736,0,es,
737,0,es,
738,0,es,
739,0,es,
740,0,es,
741,0,es,
742,0,es,
743,1,es,
744,0,es,
745,1,es,
746,0,es,
747,0,es,
748,0,es,
749,1,es,
750,0,es,
751,1,es,
752,0,es,
753,0,es,
754,0,es,
755,0,es,
756,1,es,
757,0,es,
758,1,es,
759,1,es,
760,0,es,
761,0,es,
762,1,es,
763,1,es,
764,1,es,
765,1,es,
766,0,es,
767,1,es,
768,1,es,
769,0,es,
770,1,es,
771,0,es,
772,1,es,
773,1,es,
774,0,es,
775,1,es,
776,0,es,
777,1,es,
778,1,es,
779,1,es,
780,0,es,
781,0,es,
782,1,es,
783,0,es,
784,0,es,
785,1,es,
786,0,es,
787,1,es,
788,0,es,
789,1,es,
790,1,es,
791,0,es,
792,0,es,
793,0,es,
794,0,es,
795,1,es,
796,0,es,
797,1,es,
798,0,es,
799,0,es,
800,1,es,
801,0,es,
802,1,es,
803,0,es,
804,1,es,
805,1,es,
806,0,es,
807,1,es,
808,1,es,
809,1,es,
810,1,es,
811,1,es,
812,1,es,
813,0,es,
814,1,es,
815,0,es,
816,1,es,
817,1,es,
818,0,es,
819,1,es,
820,0,es,
821,0,es,
822,1,es,
823,1,es,
824,0,es,
825,0,es,
826,0,es,
827,1,es,
828,1,es,
829,0,es,
830,0,es,
831,0,es,
832,0,es,
833,0,es,
834,1,es,
835,1,es,
836,0,es,
837,0,es,
838,0,es,
839,0,es,
840,1,es,
841,0,es,
842,0,es,
843,1,es,
844,0,es,
845,1,es,
846,1,es,
847,0,es,
848,0,es,
849,1,es,
850,0,es,
851,1,es,
852,0,es,
853,1,es,
854,0,es,
855,1,es,
856,0,es,
857,0,es,
858,0,es,
859,0,es,
860,0,es,
861,0,es,
862,0,es,
863,0,es,
864,1,es,
865,1,es,
866,0,es,
867,0,es,
868,0,es,
869,1,es,
870,1,es,
871,0,es,
872,0,es,
873,1,es,
874,0,es,
875,1,es,
876,0,es,
877,0,es,
878,1,es,
879,1,es,
880,0,es,
881,0,es,
882,0,es,
883,1,es,
884,0,es,
885,0,es,
886,0,es,
887,1,es,
888,0,es,
889,1,es,
890,0,es,
891,0,es,
892,0,es,
893,1,es,
894,1,es,
895,0,es,
896,0,es,
