id,prediction,language,error
0,1,zh,
1,0,zh,
2,1,zh,
3,1,zh,
4,0,zh,
5,1,zh,
6,1,zh,
7,1,zh,
8,1,zh,
9,0,zh,
10,0,zh,
11,1,zh,
12,0,zh,
13,0,zh,
14,0,zh,
15,0,zh,
16,0,zh,
17,0,zh,
18,1,zh,
19,1,zh,
20,1,zh,
21,0,zh,
22,0,zh,
23,0,zh,
24,1,zh,
25,0,zh,
26,0,zh,
27,1,zh,
28,1,zh,
29,0,zh,
30,0,zh,
31,1,zh,
32,1,zh,
33,0,zh,
34,0,zh,
35,1,zh,
36,1,zh,
37,1,zh,
38,0,zh,
39,0,zh,
40,0,zh,
41,0,zh,
42,0,zh,
43,1,zh,
44,1,zh,
45,1,zh,
46,1,zh,
47,1,zh,
48,1,zh,
49,0,zh,
50,1,zh,
51,0,zh,
52,0,zh,
53,0,zh,
54,0,zh,
55,1,zh,
56,0,zh,
57,0,zh,
58,0,zh,
59,0,zh,
60,0,zh,
61,1,zh,
62,0,zh,
63,0,zh,
64,1,zh,
65,0,zh,
66,1,zh,
67,1,zh,
68,1,zh,
69,0,zh,
70,1,zh,
71,0,zh,
72,0,zh,
73,1,zh,
74,1,zh,
75,1,zh,
76,0,zh,
77,0,zh,
78,1,zh,
79,1,zh,
80,0,zh,
81,0,zh,
82,1,zh,
83,0,zh,
84,1,zh,
85,0,zh,
86,0,zh,
87,0,zh,
88,0,zh,
89,0,zh,
90,1,zh,
91,0,zh,
92,0,zh,
93,0,zh,
94,0,zh,
95,1,zh,
96,1,zh,
97,0,zh,
98,0,zh,
99,1,zh,
100,0,zh,
101,0,zh,
102,0,zh,
103,1,zh,
104,1,zh,
105,1,zh,
106,1,zh,
107,1,zh,
108,0,zh,
109,0,zh,
110,1,zh,
111,1,zh,
112,1,zh,
113,0,zh,
114,0,zh,
115,0,zh,
116,1,zh,
117,0,zh,
118,1,zh,
119,0,zh,
120,1,zh,
121,1,zh,
122,1,zh,
123,0,zh,
124,1,zh,
125,0,zh,
126,1,zh,
127,1,zh,
128,0,zh,
129,1,zh,
130,1,zh,
131,0,zh,
132,1,zh,
133,0,zh,
134,1,zh,
135,0,zh,
136,1,zh,
137,1,zh,
138,0,zh,
139,0,zh,
140,1,zh,
141,1,zh,
142,1,zh,
143,0,zh,
144,0,zh,
145,0,zh,
146,0,zh,
147,0,zh,
148,0,zh,
149,1,zh,
150,0,zh,
151,1,zh,
152,0,zh,
153,1,zh,
154,0,zh,
155,0,zh,
156,0,zh,
157,0,zh,
158,0,zh,
159,1,zh,
160,0,zh,
161,0,zh,
162,0,zh,
163,0,zh,
164,1,zh,
165,1,zh,
166,1,zh,
167,0,zh,
168,1,zh,
169,1,zh,
170,1,zh,
171,1,zh,
172,0,zh,
173,1,zh,
174,1,zh,
175,1,zh,
176,1,zh,
177,0,zh,
178,0,zh,
179,0,zh,
180,0,zh,
181,0,zh,
182,0,zh,
183,0,zh,
184,0,zh,
185,1,zh,
186,1,zh,
187,0,zh,
188,1,zh,
189,0,zh,
190,1,zh,
191,0,zh,
192,0,zh,
193,0,zh,
194,1,zh,
195,1,zh,
196,1,zh,
197,0,zh,
198,0,zh,
199,1,zh,
200,0,zh,
201,1,zh,
202,1,zh,
203,1,zh,
204,0,zh,
205,0,zh,
206,0,zh,
207,0,zh,
208,1,zh,
209,1,zh,
210,0,zh,
211,1,zh,
212,0,zh,
213,1,zh,
214,1,zh,
215,1,zh,
216,0,zh,
217,1,zh,
218,1,zh,
219,1,zh,
220,1,zh,
221,1,zh,
222,0,zh,
223,0,zh,
224,0,zh,
225,0,zh,
226,0,zh,
227,1,zh,
