id,prediction,language,error
0,0,bg,
1,1,bg,
2,0,bg,
3,1,bg,
4,1,bg,
5,1,bg,
6,0,bg,
7,1,bg,
8,1,bg,
9,0,bg,
10,0,bg,
11,0,bg,
12,1,bg,
13,1,bg,
14,0,bg,
15,1,bg,
16,0,bg,
17,0,bg,
18,1,bg,
19,0,bg,
20,0,bg,
21,1,bg,
22,1,bg,
23,0,bg,
24,0,bg,
25,0,bg,
26,0,bg,
27,0,bg,
28,1,bg,
29,0,bg,
30,0,bg,
31,1,bg,
32,1,bg,
33,0,bg,
34,0,bg,
35,0,bg,
36,1,bg,
37,0,bg,
38,0,bg,
39,0,bg,
40,0,bg,
41,0,bg,
42,1,bg,
43,0,bg,
44,0,bg,
45,0,bg,
46,0,bg,
47,1,bg,
48,0,bg,
49,0,bg,
50,0,bg,
51,1,bg,
52,0,bg,
53,1,bg,
54,0,bg,
55,1,bg,
56,0,bg,
57,1,bg,
58,1,bg,
59,0,bg,
60,1,bg,
61,0,bg,
62,0,bg,
63,1,bg,
64,0,bg,
65,0,bg,
66,1,bg,
67,0,bg,
68,1,bg,
69,0,bg,
70,1,bg,
71,1,bg,
72,0,bg,
73,1,bg,
74,0,bg,
75,1,bg,
76,0,bg,
77,1,bg,
78,0,bg,
79,0,bg,
80,0,bg,
81,1,bg,
82,1,bg,
83,0,bg,
84,0,bg,
85,0,bg,
86,0,bg,
87,0,bg,
88,1,bg,
89,1,bg,
90,1,bg,
91,1,bg,
92,0,bg,
93,1,bg,
94,1,bg,
95,0,bg,
96,0,bg,
97,0,bg,
98,0,bg,
99,0,bg,
100,0,bg,
101,0,bg,
102,1,bg,
103,0,bg,
104,0,bg,
105,1,bg,
106,0,bg,
107,1,bg,
108,1,bg,
109,0,bg,
110,1,bg,
111,0,bg,
112,0,bg,
113,0,bg,
114,0,bg,
115,0,bg,
116,1,bg,
117,0,bg,
118,0,bg,
119,0,bg,
120,1,bg,
121,1,bg,
122,1,bg,
123,0,bg,
124,0,bg,
125,1,bg,
126,1,bg,
127,1,bg,
128,0,bg,
129,0,bg,
130,0,bg,
131,0,bg,
132,0,bg,
133,0,bg,
134,1,bg,
135,1,bg,
136,0,bg,
137,0,bg,
138,0,bg,
139,1,bg,
140,0,bg,
141,0,bg,
142,0,bg,
143,0,bg,
144,0,bg,
145,1,bg,
146,0,bg,
147,0,bg,
148,0,bg,
149,0,bg,
150,1,bg,
151,1,bg,
152,0,bg,
153,0,bg,
154,0,bg,
155,1,bg,
156,1,bg,
157,1,bg,
158,1,bg,
159,1,bg,
160,0,bg,
161,1,bg,
162,1,bg,
163,1,bg,
164,1,bg,
165,1,bg,
166,0,bg,
167,0,bg,
168,0,bg,
169,1,bg,
170,1,bg,
171,1,bg,
172,0,bg,
173,0,bg,
174,0,bg,
