id,prediction,language,error
0,0,ur,
1,0,ur,
2,1,ur,
3,0,ur,
4,0,ur,
5,0,ur,
6,1,ur,
7,0,ur,
8,0,ur,
9,0,ur,
10,0,ur,
11,0,ur,
12,0,ur,
13,0,ur,
14,0,ur,
15,0,ur,
16,0,ur,
17,0,ur,
18,0,ur,
19,0,ur,
20,1,ur,
21,0,ur,
22,1,ur,
23,0,ur,
24,1,ur,
25,0,ur,
26,0,ur,
27,1,ur,
28,0,ur,
29,1,ur,
30,0,ur,
31,0,ur,
32,1,ur,
33,0,ur,
34,1,ur,
35,0,ur,
36,0,ur,
37,0,ur,
38,0,ur,
39,1,ur,
40,0,ur,
41,1,ur,
42,0,ur,
43,0,ur,
44,1,ur,
45,0,ur,
46,0,ur,
47,0,ur,
48,0,ur,
49,0,ur,
50,1,ur,
51,0,ur,
52,0,ur,
53,1,ur,
54,0,ur,
55,1,ur,
56,0,ur,
57,0,ur,
58,0,ur,
59,1,ur,
60,0,ur,
61,0,ur,
62,0,ur,
63,0,ur,
64,1,ur,
65,0,ur,
66,1,ur,
67,0,ur,
68,1,ur,
69,0,ur,
70,0,ur,
71,0,ur,
72,0,ur,
73,0,ur,
74,0,ur,
75,0,ur,
76,0,ur,
77,0,ur,
78,0,ur,
79,0,ur,
80,0,ur,
81,1,ur,
82,0,ur,
83,0,ur,
84,0,ur,
85,0,ur,
86,0,ur,
87,0,ur,
88,1,ur,
89,0,ur,
90,1,ur,
91,0,ur,
92,0,ur,
93,0,ur,
94,0,ur,
95,1,ur,
96,0,ur,
97,1,ur,
98,0,ur,
99,1,ur,
100,0,ur,
101,0,ur,
102,1,ur,
103,1,ur,
104,0,ur,
105,0,ur,
106,0,ur,
107,0,ur,
108,0,ur,
109,1,ur,
110,0,ur,
111,0,ur,
112,0,ur,
113,0,ur,
114,0,ur,
115,0,ur,
116,0,ur,
117,1,ur,
118,0,ur,
119,0,ur,
120,1,ur,
121,0,ur,
122,1,ur,
123,0,ur,
124,1,ur,
125,0,ur,
126,1,ur,
127,0,ur,
128,0,ur,
129,0,ur,
130,0,ur,
131,0,ur,
132,0,ur,
133,0,ur,
134,1,ur,
135,0,ur,
136,0,ur,
137,1,ur,
138,1,ur,
139,1,ur,
140,0,ur,
141,0,ur,
142,0,ur,
143,0,ur,
144,0,ur,
145,0,ur,
146,0,ur,
147,0,ur,
148,0,ur,
149,0,ur,
150,1,ur,
151,0,ur,
152,0,ur,
153,0,ur,
154,0,ur,
155,0,ur,
156,0,ur,
157,0,ur,
158,0,ur,
159,1,ur,
160,1,ur,
161,0,ur,
162,0,ur,
163,0,ur,
164,0,ur,
165,0,ur,
166,0,ur,
167,0,ur,
168,0,ur,
169,0,ur,
170,1,ur,
171,1,ur,
172,0,ur,
173,0,ur,
174,0,ur,
175,0,ur,
176,0,ur,
177,0,ur,
178,0,ur,
179,0,ur,
180,0,ur,
181,0,ur,
182,1,ur,
183,0,ur,
184,1,ur,
185,1,ur,
186,0,ur,
187,0,ur,
188,0,ur,
189,0,ur,
190,0,ur,
191,0,ur,
192,0,ur,
193,0,ur,
194,1,ur,
195,0,ur,
196,0,ur,
197,0,ur,
198,1,ur,
199,1,ur,
200,0,ur,
201,0,ur,
202,0,ur,
203,1,ur,
204,0,ur,
205,1,ur,
206,0,ur,
207,0,ur,
208,0,ur,
209,0,ur,
210,1,ur,
211,1,ur,
212,0,ur,
213,0,ur,
214,1,ur,
215,0,ur,
216,1,ur,
217,0,ur,
218,0,ur,
219,0,ur,
220,0,ur,
221,0,ur,
222,0,ur,
223,0,ur,
224,1,ur,
225,0,ur,
226,0,ur,
227,1,ur,
228,0,ur,
229,0,ur,
230,0,ur,
231,0,ur,
232,0,ur,
233,0,ur,
234,0,ur,
235,1,ur,
236,0,ur,
237,1,ur,
238,0,ur,
239,0,ur,
240,1,ur,
241,1,ur,
242,0,ur,
243,0,ur,
244,0,ur,
245,0,ur,
246,0,ur,
247,0,ur,
248,0,ur,
249,0,ur,
250,0,ur,
251,0,ur,
252,0,ur,
253,1,ur,
254,1,ur,
255,1,ur,
256,0,ur,
257,0,ur,
258,0,ur,
259,0,ur,
260,0,ur,
261,0,ur,
262,0,ur,
263,0,ur,
264,1,ur,
265,1,ur,
266,1,ur,
267,0,ur,
268,0,ur,
269,0,ur,
270,0,ur,
271,0,ur,
272,0,ur,
273,1,ur,
274,0,ur,
275,0,ur,
276,0,ur,
277,0,ur,
278,0,ur,
279,0,ur,
280,0,ur,
281,0,ur,
282,0,ur,
283,0,ur,
284,0,ur,
285,0,ur,
286,0,ur,
287,0,ur,
288,1,ur,
289,0,ur,
290,0,ur,
291,0,ur,
292,0,ur,
293,0,ur,
294,0,ur,
295,0,ur,
296,0,ur,
297,0,ur,
298,1,ur,
299,0,ur,
300,0,ur,
301,0,ur,
302,0,ur,
303,0,ur,
304,1,ur,
305,0,ur,
306,0,ur,
307,0,ur,
308,0,ur,
309,0,ur,
310,0,ur,
311,0,ur,
312,0,ur,
313,0,ur,
314,1,ur,
315,0,ur,
316,0,ur,
317,1,ur,
318,0,ur,
319,0,ur,
320,0,ur,
321,0,ur,
322,1,ur,
