id,prediction,language,error
0,1,fr,
1,0,fr,
2,0,fr,
3,1,fr,
4,0,fr,
5,0,fr,
6,1,fr,
7,0,fr,
8,1,fr,
9,1,fr,
10,0,fr,
11,1,fr,
12,1,fr,
13,1,fr,
14,1,fr,
15,0,fr,
16,1,fr,
17,1,fr,
18,1,fr,
19,1,fr,
20,1,fr,
21,1,fr,
22,1,fr,
23,1,fr,
24,0,fr,
25,1,fr,
26,1,fr,
27,1,fr,
28,1,fr,
29,1,fr,
30,1,fr,
31,0,fr,
32,0,fr,
33,1,fr,
34,1,fr,
35,0,fr,
36,1,fr,
37,0,fr,
38,1,fr,
39,1,fr,
40,1,fr,
41,1,fr,
42,1,fr,
43,0,fr,
44,0,fr,
45,1,fr,
46,1,fr,
47,1,fr,
48,0,fr,
49,0,fr,
50,0,fr,
51,0,fr,
52,0,fr,
53,1,fr,
54,1,fr,
55,0,fr,
56,1,fr,
57,1,fr,
58,1,fr,
59,1,fr,
60,0,fr,
61,1,fr,
62,1,fr,
63,0,fr,
64,1,fr,
65,1,fr,
66,1,fr,
67,1,fr,
68,1,fr,
69,1,fr,
70,1,fr,
71,1,fr,
72,1,fr,
73,0,fr,
74,0,fr,
75,1,fr,
76,1,fr,
77,1,fr,
78,0,fr,
79,0,fr,
80,1,fr,
81,1,fr,
82,1,fr,
83,1,fr,
84,1,fr,
85,0,fr,
86,1,fr,
87,0,fr,
88,0,fr,
89,0,fr,
90,0,fr,
91,1,fr,
92,1,fr,
93,1,fr,
94,1,fr,
95,0,fr,
96,0,fr,
97,1,fr,
98,0,fr,
99,1,fr,
100,0,fr,
101,0,fr,
102,1,fr,
103,1,fr,
104,1,fr,
105,0,fr,
106,0,fr,
107,1,fr,
108,1,fr,
109,1,fr,
110,0,fr,
111,1,fr,
112,1,fr,
113,1,fr,
114,1,fr,
115,1,fr,
116,0,fr,
117,1,fr,
118,0,fr,
119,1,fr,
120,1,fr,
121,1,fr,
122,1,fr,
123,0,fr,
124,0,fr,
125,1,fr,
126,1,fr,
127,1,fr,
128,0,fr,
129,0,fr,
130,1,fr,
131,1,fr,
132,0,fr,
133,0,fr,
134,0,fr,
135,1,fr,
136,1,fr,
137,1,fr,
138,1,fr,
139,1,fr,
140,1,fr,
141,1,fr,
142,0,fr,
143,0,fr,
144,1,fr,
145,1,fr,
146,1,fr,
147,1,fr,
148,1,fr,
149,0,fr,
150,0,fr,
151,1,fr,
152,1,fr,
153,0,fr,
154,0,fr,
155,1,fr,
156,1,fr,
157,0,fr,
158,1,fr,
159,1,fr,
160,1,fr,
161,0,fr,
162,0,fr,
163,0,fr,
164,0,fr,
165,1,fr,
166,1,fr,
167,1,fr,
168,0,fr,
169,0,fr,
170,0,fr,
171,0,fr,
172,0,fr,
173,1,fr,
174,0,fr,
175,1,fr,
176,1,fr,
177,0,fr,
178,0,fr,
179,1,fr,
180,0,fr,
181,0,fr,
182,0,fr,
183,1,fr,
