id,prediction,language,error
0,0,el,
1,0,el,
2,0,el,
3,0,el,
4,0,el,
5,0,el,
6,0,el,
7,1,el,
8,0,el,
9,0,el,
10,0,el,
11,0,el,
12,0,el,
13,0,el,
14,0,el,
15,0,el,
16,0,el,
17,0,el,
18,0,el,
19,0,el,
20,0,el,
21,0,el,
22,0,el,
23,0,el,
24,0,el,
25,0,el,
26,0,el,
27,0,el,
28,0,el,
29,0,el,
30,1,el,
31,0,el,
32,1,el,
33,0,el,
34,0,el,
35,0,el,
36,0,el,
37,0,el,
38,0,el,
39,0,el,
40,1,el,
41,1,el,
42,1,el,
43,0,el,
44,1,el,
45,0,el,
46,1,el,
47,0,el,
48,0,el,
49,1,el,
50,1,el,
51,0,el,
52,0,el,
53,0,el,
54,0,el,
55,0,el,
56,1,el,
57,0,el,
58,1,el,
59,0,el,
60,0,el,
61,0,el,
62,0,el,
63,0,el,
64,0,el,
65,0,el,
66,0,el,
67,0,el,
68,0,el,
69,0,el,
70,0,el,
71,0,el,
72,1,el,
73,0,el,
74,0,el,
75,0,el,
76,0,el,
77,0,el,
78,1,el,
79,0,el,
80,0,el,
81,1,el,
82,0,el,
83,0,el,
84,0,el,
85,1,el,
86,1,el,
87,0,el,
88,0,el,
89,0,el,
90,1,el,
91,1,el,
92,0,el,
93,0,el,
94,0,el,
95,0,el,
96,0,el,
97,0,el,
98,0,el,
99,0,el,
100,1,el,
101,0,el,
102,0,el,
103,0,el,
104,0,el,
105,0,el,
106,0,el,
107,0,el,
108,0,el,
109,1,el,
110,0,el,
111,0,el,
112,0,el,
113,0,el,
114,0,el,
115,0,el,
116,0,el,
117,0,el,
118,0,el,
119,0,el,
120,0,el,
121,0,el,
122,0,el,
123,1,el,
124,0,el,
125,0,el,
126,1,el,
127,0,el,
128,0,el,
129,0,el,
130,0,el,
131,0,el,
132,0,el,
133,0,el,
134,0,el,
135,0,el,
136,1,el,
137,0,el,
138,0,el,
139,0,el,
140,0,el,
141,0,el,
142,0,el,
143,0,el,
144,0,el,
145,0,el,
146,0,el,
147,0,el,
148,0,el,
149,0,el,
150,0,el,
151,0,el,
152,0,el,
153,0,el,
154,0,el,
155,0,el,
156,1,el,
157,0,el,
158,1,el,
159,1,el,
160,0,el,
161,0,el,
162,1,el,
163,1,el,
164,1,el,
165,0,el,
166,0,el,
167,0,el,
168,1,el,
169,0,el,
170,0,el,
171,0,el,
172,0,el,
173,1,el,
174,0,el,
175,0,el,
176,0,el,
177,0,el,
178,0,el,
179,1,el,
180,0,el,
181,1,el,
182,0,el,
183,0,el,
184,0,el,
185,0,el,
186,0,el,
187,0,el,
188,0,el,
189,0,el,
190,0,el,
191,0,el,
192,0,el,
193,1,el,
194,1,el,
195,0,el,
196,0,el,
197,0,el,
198,0,el,
199,0,el,
200,0,el,
201,0,el,
202,0,el,
203,0,el,
204,1,el,
205,1,el,
206,0,el,
207,0,el,
208,0,el,
209,0,el,
210,1,el,
211,0,el,
212,0,el,
213,0,el,
214,1,el,
215,0,el,
216,0,el,
217,0,el,
218,0,el,
219,1,el,
220,0,el,
221,1,el,
222,0,el,
223,0,el,
224,0,el,
225,0,el,
226,0,el,
227,0,el,
228,0,el,
229,0,el,
230,0,el,
231,0,el,
232,0,el,
233,0,el,
234,0,el,
235,0,el,
236,0,el,
237,0,el,
238,1,el,
239,0,el,
240,0,el,
241,0,el,
242,1,el,
243,0,el,
244,0,el,
245,0,el,
246,1,el,
247,0,el,
248,0,el,
249,0,el,
250,0,el,
251,1,el,
252,0,el,
253,0,el,
254,1,el,
255,0,el,
256,1,el,
257,1,el,
258,1,el,
259,0,el,
260,0,el,
261,0,el,
262,0,el,
263,0,el,
264,0,el,
265,0,el,
266,0,el,
267,1,el,
268,1,el,
269,1,el,
270,0,el,
271,1,el,
272,1,el,
273,1,el,
274,1,el,
275,0,el,
276,1,el,
277,1,el,
278,0,el,
279,1,el,
280,0,el,
281,0,el,
282,0,el,
283,0,el,
284,0,el,
285,0,el,
286,0,el,
287,0,el,
288,0,el,
289,0,el,
290,0,el,
291,1,el,
292,0,el,
293,0,el,
294,0,el,
295,1,el,
296,1,el,
297,1,el,
298,0,el,
299,0,el,
300,0,el,
301,0,el,
302,0,el,
303,0,el,
304,1,el,
305,0,el,
306,0,el,
307,0,el,
308,1,el,
309,0,el,
310,0,el,
311,0,el,
312,0,el,
313,0,el,
314,1,el,
315,0,el,
316,0,el,
317,0,el,
318,0,el,
319,0,el,
320,0,el,
321,0,el,
322,0,el,
323,0,el,
324,0,el,
325,1,el,
326,0,el,
327,1,el,
328,1,el,
329,0,el,
330,0,el,
331,1,el,
332,1,el,
333,0,el,
334,0,el,
335,0,el,
336,1,el,
337,0,el,
338,1,el,
339,0,el,
340,0,el,
341,0,el,
342,0,el,
343,0,el,
344,0,el,
345,0,el,
346,0,el,
347,0,el,
348,0,el,
349,0,el,
350,0,el,
351,1,el,
352,0,el,
353,0,el,
354,0,el,
355,1,el,
356,0,el,
357,0,el,
358,0,el,
359,0,el,
360,0,el,
361,1,el,
362,0,el,
363,0,el,
364,0,el,
365,0,el,
366,1,el,
367,1,el,
368,0,el,
369,0,el,
370,1,el,
371,0,el,
372,0,el,
373,0,el,
374,0,el,
375,0,el,
376,0,el,
377,0,el,
378,0,el,
379,0,el,
380,1,el,
381,0,el,
382,1,el,
383,0,el,
384,0,el,
385,1,el,
386,0,el,
387,1,el,
388,0,el,
389,0,el,
390,0,el,
391,0,el,
392,1,el,
393,0,el,
394,0,el,
395,1,el,
396,0,el,
397,0,el,
398,0,el,
399,0,el,
400,0,el,
401,0,el,
402,0,el,
403,1,el,
404,0,el,
405,1,el,
406,0,el,
407,0,el,
408,0,el,
409,1,el,
