id,prediction,language,error
0,0,fi,
1,1,fi,
2,1,fi,
3,0,fi,
4,0,fi,
5,0,fi,
6,0,fi,
7,1,fi,
8,1,fi,
9,1,fi,
10,0,fi,
11,1,fi,
12,0,fi,
13,0,fi,
14,0,fi,
15,0,fi,
16,0,fi,
17,0,fi,
18,0,fi,
19,1,fi,
20,0,fi,
21,0,fi,
22,0,fi,
23,1,fi,
24,0,fi,
25,0,fi,
26,0,fi,
27,0,fi,
28,0,fi,
29,0,fi,
30,0,fi,
31,0,fi,
32,0,fi,
33,0,fi,
34,1,fi,
35,0,fi,
36,0,fi,
37,0,fi,
38,0,fi,
39,1,fi,
40,0,fi,
41,0,fi,
42,1,fi,
43,0,fi,
44,1,fi,
45,0,fi,
46,0,fi,
47,0,fi,
48,0,fi,
49,1,fi,
50,1,fi,
51,0,fi,
52,1,fi,
53,1,fi,
54,1,fi,
55,0,fi,
56,0,fi,
57,0,fi,
58,0,fi,
59,0,fi,
60,1,fi,
61,1,fi,
62,0,fi,
63,1,fi,
64,0,fi,
65,0,fi,
66,0,fi,
67,0,fi,
68,0,fi,
69,0,fi,
70,0,fi,
71,0,fi,
72,0,fi,
73,1,fi,
74,0,fi,
75,1,fi,
76,0,fi,
77,1,fi,
78,1,fi,
79,1,fi,
80,0,fi,
81,0,fi,
82,0,fi,
83,0,fi,
84,0,fi,
85,0,fi,
86,0,fi,
87,0,fi,
88,1,fi,
89,0,fi,
90,0,fi,
91,0,fi,
92,1,fi,
93,0,fi,
94,0,fi,
95,0,fi,
96,1,fi,
97,0,fi,
98,0,fi,
99,0,fi,
100,0,fi,
101,0,fi,
102,0,fi,
103,0,fi,
104,1,fi,
105,0,fi,
106,1,fi,
107,0,fi,
108,0,fi,
109,0,fi,
110,0,fi,
111,1,fi,
112,0,fi,
113,0,fi,
114,0,fi,
115,0,fi,
116,0,fi,
117,0,fi,
118,0,fi,
119,0,fi,
120,0,fi,
121,1,fi,
122,0,fi,
123,1,fi,
124,0,fi,
125,0,fi,
126,0,fi,
127,0,fi,
128,0,fi,
129,0,fi,
130,0,fi,
131,0,fi,
132,0,fi,
133,0,fi,
134,0,fi,
135,0,fi,
136,0,fi,
137,1,fi,
138,1,fi,
139,0,fi,
140,0,fi,
141,1,fi,
142,0,fi,
143,0,fi,
144,0,fi,
145,0,fi,
146,0,fi,
147,0,fi,
148,0,fi,
149,0,fi,
150,0,fi,
151,1,fi,
152,1,fi,
153,0,fi,
154,0,fi,
155,0,fi,
156,0,fi,
157,1,fi,
158,0,fi,
159,0,fi,
160,1,fi,
161,0,fi,
162,0,fi,
163,0,fi,
164,0,fi,
165,0,fi,
166,0,fi,
167,0,fi,
168,0,fi,
169,0,fi,
170,0,fi,
171,0,fi,
172,0,fi,
173,0,fi,
174,0,fi,
175,0,fi,
176,0,fi,
177,0,fi,
178,0,fi,
179,1,fi,
180,0,fi,
181,0,fi,
182,0,fi,
183,0,fi,
184,0,fi,
185,0,fi,
186,0,fi,
187,1,fi,
188,1,fi,
189,1,fi,
190,0,fi,
191,0,fi,
192,0,fi,
193,0,fi,
194,0,fi,
195,1,fi,
196,1,fi,
197,0,fi,
198,0,fi,
199,0,fi,
200,0,fi,
201,0,fi,
202,0,fi,
203,1,fi,
204,0,fi,
205,1,fi,
206,0,fi,
207,0,fi,
208,0,fi,
209,0,fi,
210,0,fi,
211,0,fi,
212,1,fi,
213,1,fi,
214,1,fi,
215,0,fi,
216,0,fi,
217,0,fi,
218,0,fi,
219,0,fi,
220,0,fi,
221,0,fi,
222,1,fi,
223,1,fi,
224,0,fi,
225,0,fi,
226,0,fi,
227,0,fi,
228,1,fi,
229,0,fi,
230,0,fi,
231,0,fi,
232,1,fi,
233,0,fi,
234,0,fi,
235,0,fi,
236,1,fi,
237,0,fi,
238,0,fi,
239,1,fi,
240,0,fi,
241,0,fi,
242,0,fi,
243,0,fi,
244,1,fi,
245,0,fi,
246,0,fi,
247,0,fi,
248,0,fi,
249,0,fi,
250,0,fi,
251,0,fi,
252,1,fi,
253,0,fi,
254,0,fi,
255,1,fi,
256,0,fi,
257,0,fi,
258,0,fi,
259,0,fi,
260,0,fi,
261,1,fi,
262,1,fi,
263,0,fi,
264,1,fi,
265,0,fi,
266,0,fi,
267,0,fi,
268,0,fi,
269,1,fi,
270,1,fi,
271,0,fi,
272,0,fi,
273,1,fi,
274,1,fi,
275,0,fi,
276,0,fi,
277,1,fi,
278,0,fi,
279,0,fi,
280,0,fi,
281,0,fi,
282,0,fi,
283,0,fi,
284,0,fi,
285,0,fi,
286,0,fi,
287,0,fi,
288,0,fi,
289,1,fi,
290,0,fi,
291,1,fi,
292,0,fi,
293,1,fi,
294,0,fi,
295,0,fi,
296,0,fi,
297,1,fi,
298,1,fi,
299,1,fi,
300,1,fi,
301,0,fi,
302,1,fi,
303,1,fi,
304,0,fi,
305,0,fi,
306,0,fi,
307,0,fi,
308,0,fi,
309,0,fi,
310,0,fi,
311,0,fi,
312,0,fi,
313,0,fi,
314,0,fi,
315,0,fi,
316,0,fi,
317,1,fi,
318,1,fi,
319,0,fi,
320,0,fi,
321,0,fi,
322,0,fi,
323,0,fi,
324,0,fi,
325,0,fi,
326,1,fi,
327,0,fi,
328,0,fi,
329,0,fi,
330,0,fi,
331,0,fi,
332,0,fi,
333,0,fi,
334,0,fi,
335,0,fi,
336,1,fi,
337,0,fi,
338,0,fi,
339,1,fi,
340,0,fi,
341,0,fi,
342,0,fi,
343,0,fi,
344,0,fi,
345,0,fi,
346,0,fi,
347,1,fi,
348,0,fi,
349,0,fi,
350,0,fi,
351,0,fi,
352,0,fi,
353,0,fi,
354,0,fi,
355,0,fi,
356,1,fi,
357,0,fi,
358,0,fi,
359,0,fi,
360,0,fi,
361,0,fi,
362,0,fi,
363,0,fi,
364,0,fi,
365,0,fi,
366,1,fi,
367,0,fi,
368,1,fi,
369,1,fi,
370,0,fi,
371,0,fi,
372,0,fi,
373,1,fi,
374,1,fi,
375,1,fi,
376,0,fi,
377,0,fi,
378,0,fi,
379,0,fi,
380,0,fi,
381,0,fi,
382,0,fi,
383,0,fi,
384,1,fi,
385,0,fi,
386,1,fi,
387,1,fi,
388,0,fi,
389,0,fi,
390,0,fi,
391,0,fi,
392,1,fi,
393,0,fi,
394,0,fi,
395,0,fi,
396,0,fi,
397,0,fi,
398,0,fi,
399,1,fi,
400,0,fi,
401,0,fi,
402,0,fi,
403,1,fi,
404,1,fi,
405,0,fi,
406,0,fi,
407,1,fi,
408,0,fi,
409,0,fi,
410,0,fi,
411,1,fi,
412,0,fi,
413,1,fi,
414,0,fi,
415,0,fi,
416,0,fi,
417,0,fi,
418,0,fi,
419,1,fi,
420,1,fi,
421,0,fi,
422,0,fi,
423,0,fi,
424,1,fi,
425,0,fi,
426,0,fi,
427,1,fi,
428,0,fi,
429,0,fi,
430,1,fi,
431,0,fi,
432,0,fi,
433,0,fi,
434,0,fi,
435,0,fi,
436,0,fi,
437,0,fi,
438,0,fi,
439,0,fi,
440,0,fi,
441,0,fi,
442,0,fi,
443,0,fi,
444,0,fi,
445,0,fi,
446,0,fi,
447,0,fi,
448,0,fi,
449,1,fi,
450,0,fi,
451,0,fi,
452,1,fi,
453,0,fi,
454,0,fi,
455,0,fi,
456,1,fi,
457,0,fi,
458,1,fi,
459,1,fi,
460,1,fi,
461,1,fi,
462,0,fi,
463,0,fi,
464,1,fi,
465,0,fi,
466,1,fi,
467,1,fi,
468,1,fi,
469,0,fi,
470,0,fi,
471,0,fi,
472,0,fi,
473,0,fi,
474,1,fi,
475,0,fi,
476,0,fi,
477,0,fi,
478,0,fi,
479,0,fi,
480,0,fi,
481,0,fi,
482,1,fi,
483,0,fi,
484,0,fi,
485,1,fi,
486,0,fi,
487,0,fi,
488,1,fi,
489,0,fi,
490,0,fi,
491,1,fi,
492,1,fi,
493,0,fi,
494,0,fi,
495,1,fi,
496,0,fi,
497,0,fi,
498,1,fi,
499,0,fi,
500,0,fi,
501,0,fi,
502,0,fi,
503,0,fi,
504,1,fi,
505,0,fi,
506,1,fi,
507,0,fi,
508,0,fi,
509,1,fi,
510,1,fi,
511,0,fi,
512,0,fi,
513,0,fi,
514,1,fi,
515,0,fi,
516,0,fi,
517,0,fi,
518,1,fi,
519,0,fi,
520,1,fi,
521,1,fi,
522,0,fi,
523,1,fi,
524,0,fi,
525,0,fi,
526,0,fi,
527,0,fi,
528,0,fi,
529,0,fi,
530,0,fi,
531,1,fi,
532,1,fi,
533,0,fi,
534,0,fi,
