id,prediction,language,error
0,0,it,
1,0,it,
2,0,it,
3,1,it,
4,0,it,
5,0,it,
6,0,it,
7,0,it,
8,0,it,
9,0,it,
10,0,it,
11,0,it,
12,1,it,
13,1,it,
14,1,it,
15,0,it,
16,0,it,
17,0,it,
18,0,it,
19,0,it,
20,0,it,
21,0,it,
22,0,it,
23,1,it,
24,1,it,
25,1,it,
26,0,it,
27,0,it,
28,1,it,
29,0,it,
30,1,it,
31,1,it,
32,0,it,
33,0,it,
34,0,it,
35,0,it,
36,0,it,
37,1,it,
38,0,it,
39,0,it,
40,1,it,
41,0,it,
42,0,it,
43,0,it,
44,1,it,
45,0,it,
46,0,it,
47,1,it,
48,0,it,
49,1,it,
50,0,it,
51,1,it,
52,1,it,
53,1,it,
54,1,it,
55,1,it,
56,0,it,
57,1,it,
58,0,it,
59,0,it,
60,1,it,
61,0,it,
62,1,it,
63,0,it,
64,1,it,
65,1,it,
66,0,it,
67,1,it,
68,0,it,
69,1,it,
70,1,it,
71,0,it,
72,1,it,
73,0,it,
74,0,it,
75,1,it,
76,1,it,
77,1,it,
78,0,it,
79,0,it,
80,1,it,
81,0,it,
82,1,it,
83,1,it,
84,1,it,
85,0,it,
86,0,it,
87,0,it,
88,0,it,
89,0,it,
90,0,it,
91,0,it,
92,0,it,
93,1,it,
94,1,it,
95,0,it,
96,0,it,
97,1,it,
98,0,it,
99,1,it,
100,0,it,
101,1,it,
102,1,it,
103,0,it,
104,0,it,
105,0,it,
106,1,it,
107,0,it,
108,0,it,
109,1,it,
110,1,it,
111,1,it,
112,1,it,
113,0,it,
114,0,it,
115,0,it,
116,0,it,
117,0,it,
118,1,it,
119,0,it,
120,0,it,
121,0,it,
122,0,it,
123,1,it,
124,1,it,
125,1,it,
126,0,it,
127,1,it,
128,0,it,
129,1,it,
130,1,it,
131,0,it,
132,0,it,
133,1,it,
134,0,it,
135,1,it,
136,0,it,
137,0,it,
138,0,it,
139,1,it,
140,0,it,
141,1,it,
142,1,it,
143,1,it,
144,1,it,
145,0,it,
146,1,it,
147,1,it,
148,1,it,
149,0,it,
150,0,it,
151,0,it,
152,0,it,
153,0,it,
154,1,it,
155,0,it,
156,0,it,
157,0,it,
158,1,it,
159,0,it,
160,0,it,
161,1,it,
162,0,it,
163,1,it,
164,1,it,
165,0,it,
166,1,it,
167,1,it,
168,1,it,
169,0,it,
170,0,it,
171,0,it,
172,0,it,
