id,prediction,language,error
0,0,it,
1,0,it,
2,0,it,
3,0,it,
4,0,it,
5,1,it,
6,0,it,
7,1,it,
8,0,it,
9,0,it,
10,1,it,
11,0,it,
12,0,it,
13,0,it,
14,1,it,
15,0,it,
16,1,it,
17,1,it,
18,0,it,
19,0,it,
20,0,it,
21,0,it,
22,1,it,
23,1,it,
24,0,it,
25,0,it,
26,0,it,
27,0,it,
28,0,it,
29,0,it,
30,1,it,
31,0,it,
32,0,it,
33,1,it,
34,0,it,
35,0,it,
36,0,it,
37,0,it,
38,1,it,
39,1,it,
40,0,it,
41,1,it,
42,0,it,
43,1,it,
44,1,it,
45,0,it,
46,0,it,
47,0,it,
48,1,it,
49,0,it,
50,0,it,
51,0,it,
52,0,it,
53,1,it,
54,1,it,
55,0,it,
56,0,it,
57,0,it,
58,0,it,
59,0,it,
60,0,it,
61,1,it,
62,0,it,
63,0,it,
64,0,it,
65,0,it,
66,0,it,
67,0,it,
68,0,it,
69,0,it,
70,0,it,
71,0,it,
72,0,it,
73,0,it,
74,0,it,
75,0,it,
76,0,it,
77,0,it,
78,1,it,
79,1,it,
80,1,it,
81,0,it,
82,0,it,
83,1,it,
84,1,it,
85,1,it,
86,0,it,
87,0,it,
88,0,it,
89,1,it,
90,0,it,
91,1,it,
92,1,it,
93,0,it,
94,1,it,
95,1,it,
96,1,it,
97,0,it,
98,0,it,
99,0,it,
100,0,it,
101,0,it,
102,1,it,
103,0,it,
104,0,it,
105,0,it,
106,0,it,
107,0,it,
108,0,it,
109,0,it,
110,1,it,
111,0,it,
112,0,it,
113,1,it,
114,0,it,
115,0,it,
116,0,it,
117,1,it,
118,1,it,
119,1,it,
120,0,it,
121,0,it,
122,0,it,
123,1,it,
124,1,it,
125,0,it,
126,0,it,
127,0,it,
128,0,it,
129,0,it,
130,1,it,
131,0,it,
132,1,it,
133,1,it,
134,0,it,
135,0,it,
136,0,it,
137,0,it,
138,1,it,
139,1,it,
140,1,it,
141,0,it,
142,0,it,
143,1,it,
144,0,it,
145,1,it,
146,0,it,
147,1,it,
148,1,it,
149,0,it,
150,1,it,
151,0,it,
152,0,it,
153,1,it,
154,1,it,
155,0,it,
156,0,it,
157,1,it,
158,0,it,
159,0,it,
160,0,it,
161,0,it,
162,0,it,
163,1,it,
164,0,it,
165,1,it,
166,0,it,
167,1,it,
168,0,it,
169,1,it,
170,0,it,
171,1,it,
172,0,it,
