id,prediction,language,error
0,0,ru,
1,1,ru,
2,0,ru,
3,1,ru,
4,0,ru,
5,0,ru,
6,1,ru,
7,1,ru,
8,1,ru,
9,0,ru,
10,1,ru,
11,1,ru,
12,1,ru,
13,1,ru,
14,1,ru,
15,1,ru,
16,1,ru,
17,0,ru,
18,0,ru,
19,1,ru,
20,0,ru,
21,1,ru,
22,0,ru,
23,1,ru,
24,0,ru,
25,1,ru,
26,1,ru,
27,0,ru,
28,0,ru,
29,1,ru,
30,0,ru,
31,0,ru,
32,1,ru,
33,0,ru,
34,0,ru,
35,0,ru,
36,1,ru,
37,1,ru,
38,0,ru,
39,0,ru,
40,0,ru,
41,0,ru,
42,1,ru,
43,0,ru,
44,0,ru,
45,0,ru,
46,1,ru,
47,0,ru,
48,0,ru,
49,1,ru,
50,0,ru,
51,0,ru,
52,1,ru,
53,1,ru,
54,0,ru,
55,0,ru,
56,1,ru,
57,1,ru,
58,1,ru,
59,0,ru,
60,1,ru,
61,1,ru,
62,0,ru,
63,0,ru,
64,1,ru,
65,1,ru,
66,0,ru,
67,0,ru,
68,0,ru,
69,0,ru,
70,1,ru,
71,0,ru,
72,1,ru,
73,1,ru,
74,1,ru,
75,1,ru,
76,1,ru,
77,1,ru,
78,1,ru,
79,1,ru,
80,1,ru,
81,0,ru,
82,1,ru,
83,0,ru,
84,1,ru,
85,1,ru,
86,0,ru,
87,0,ru,
88,0,ru,
89,0,ru,
90,1,ru,
91,0,ru,
92,1,ru,
93,0,ru,
94,1,ru,
95,0,ru,
96,0,ru,
97,0,ru,
98,1,ru,
99,1,ru,
100,1,ru,
101,0,ru,
102,1,ru,
103,0,ru,
104,0,ru,
105,0,ru,
106,0,ru,
107,0,ru,
108,0,ru,
109,1,ru,
110,0,ru,
111,1,ru,
112,0,ru,
113,0,ru,
114,0,ru,
115,1,ru,
116,1,ru,
117,0,ru,
118,1,ru,
119,0,ru,
120,1,ru,
121,0,ru,
122,1,ru,
123,1,ru,
124,1,ru,
125,1,ru,
126,0,ru,
127,0,ru,
128,0,ru,
129,0,ru,
130,0,ru,
131,0,ru,
132,0,ru,
133,1,ru,
134,1,ru,
135,0,ru,
136,0,ru,
137,0,ru,
138,1,ru,
139,0,ru,
140,0,ru,
141,1,ru,
142,1,ru,
143,1,ru,
144,1,ru,
145,0,ru,
146,0,ru,
147,1,ru,
148,0,ru,
149,0,ru,
150,1,ru,
151,0,ru,
152,0,ru,
153,0,ru,
154,1,ru,
155,1,ru,
156,0,ru,
157,1,ru,
158,1,ru,
159,0,ru,
160,0,ru,
161,1,ru,
162,1,ru,
163,0,ru,
164,1,ru,
165,1,ru,
166,0,ru,
167,0,ru,
168,1,ru,
169,0,ru,
170,1,ru,
171,1,ru,
172,1,ru,
173,0,ru,
174,0,ru,
175,1,ru,
176,0,ru,
177,1,ru,
178,1,ru,
179,0,ru,
180,1,ru,
181,0,ru,
182,1,ru,
183,0,ru,
184,1,ru,
185,1,ru,
186,0,ru,
187,1,ru,
188,1,ru,
189,1,ru,
190,1,ru,
191,0,ru,
192,0,ru,
193,0,ru,
194,0,ru,
195,0,ru,
196,1,ru,
197,1,ru,
198,0,ru,
199,1,ru,
200,1,ru,
201,0,ru,
202,1,ru,
203,0,ru,
204,0,ru,
205,0,ru,
206,1,ru,
207,0,ru,
208,0,ru,
209,1,ru,
210,0,ru,
211,0,ru,
212,0,ru,
213,0,ru,
214,0,ru,
215,1,ru,
216,1,ru,
217,0,ru,
218,0,ru,
219,1,ru,
220,0,ru,
221,1,ru,
222,0,ru,
223,1,ru,
224,1,ru,
225,0,ru,
226,1,ru,
227,0,ru,
228,0,ru,
229,0,ru,
230,0,ru,
231,1,ru,
232,0,ru,
233,1,ru,
234,0,ru,
235,1,ru,
236,0,ru,
237,1,ru,
238,1,ru,
239,0,ru,
240,1,ru,
241,0,ru,
242,0,ru,
243,0,ru,
244,0,ru,
245,1,ru,
246,1,ru,
247,0,ru,
248,1,ru,
249,1,ru,
250,0,ru,
251,0,ru,
252,0,ru,
253,0,ru,
254,1,ru,
255,1,ru,
256,0,ru,
257,1,ru,
258,0,ru,
259,0,ru,
260,1,ru,
261,0,ru,
262,1,ru,
263,1,ru,
264,0,ru,
265,0,ru,
266,0,ru,
267,1,ru,
268,1,ru,
269,0,ru,
270,1,ru,
271,1,ru,
272,0,ru,
273,1,ru,
274,1,ru,
275,0,ru,
276,0,ru,
277,1,ru,
278,0,ru,
279,0,ru,
280,0,ru,
281,1,ru,
282,0,ru,
283,0,ru,
284,0,ru,
285,0,ru,
286,1,ru,
287,0,ru,
288,1,ru,
289,1,ru,
290,1,ru,
291,0,ru,
292,0,ru,
293,1,ru,
294,0,ru,
295,0,ru,
296,1,ru,
297,1,ru,
298,1,ru,
299,0,ru,
300,1,ru,
301,1,ru,
302,1,ru,
303,1,ru,
304,1,ru,
305,0,ru,
306,0,ru,
307,0,ru,
308,0,ru,
309,0,ru,
310,1,ru,
311,0,ru,
312,1,ru,
313,1,ru,
314,1,ru,
315,1,ru,
316,1,ru,
317,1,ru,
318,0,ru,
319,1,ru,
320,1,ru,
321,0,ru,
322,0,ru,
323,0,ru,
324,0,ru,
325,0,ru,
326,0,ru,
327,0,ru,
328,0,ru,
329,0,ru,
330,1,ru,
331,1,ru,
332,0,ru,
333,0,ru,
334,1,ru,
335,0,ru,
336,0,ru,
337,1,ru,
338,0,ru,
339,0,ru,
340,1,ru,
341,0,ru,
342,1,ru,
343,1,ru,
344,0,ru,
345,1,ru,
346,0,ru,
347,1,ru,
348,0,ru,
349,0,ru,
350,0,ru,
351,1,ru,
352,0,ru,
353,1,ru,
354,0,ru,
355,0,ru,
356,0,ru,
357,0,ru,
358,0,ru,
359,1,ru,
360,0,ru,
361,1,ru,
362,1,ru,
363,1,ru,
364,0,ru,
365,1,ru,
366,1,ru,
367,1,ru,
368,0,ru,
369,0,ru,
370,1,ru,
371,1,ru,
372,0,ru,
373,1,ru,
374,1,ru,
375,1,ru,
376,0,ru,
377,0,ru,
378,0,ru,
379,1,ru,
380,1,ru,
381,0,ru,
382,0,ru,
383,0,ru,
384,1,ru,
385,1,ru,
386,0,ru,
387,0,ru,
388,0,ru,
389,0,ru,
390,0,ru,
391,1,ru,
392,0,ru,
393,1,ru,
394,1,ru,
395,1,ru,
396,0,ru,
397,0,ru,
398,1,ru,
399,1,ru,
400,1,ru,
401,1,ru,
402,1,ru,
403,0,ru,
404,1,ru,
405,0,ru,
406,0,ru,
407,1,ru,
408,1,ru,
409,1,ru,
410,0,ru,
411,1,ru,
412,0,ru,
413,1,ru,
414,1,ru,
415,0,ru,
416,1,ru,
417,1,ru,
418,1,ru,
419,0,ru,
420,1,ru,
421,0,ru,
422,0,ru,
423,1,ru,
424,1,ru,
425,0,ru,
426,1,ru,
427,1,ru,
428,1,ru,
429,0,ru,
430,0,ru,
431,1,ru,
432,1,ru,
433,0,ru,
434,0,ru,
435,0,ru,
436,1,ru,
437,1,ru,
438,0,ru,
439,1,ru,
440,1,ru,
441,0,ru,
442,1,ru,
443,1,ru,
444,0,ru,
445,1,ru,
446,0,ru,
447,0,ru,
448,1,ru,
449,1,ru,
450,0,ru,
451,1,ru,
452,1,ru,
453,1,ru,
454,1,ru,
455,1,ru,
456,0,ru,
457,0,ru,
458,1,ru,
459,1,ru,
460,1,ru,
461,0,ru,
462,0,ru,
463,0,ru,
464,0,ru,
465,1,ru,
466,0,ru,
467,1,ru,
468,1,ru,
469,0,ru,
470,0,ru,
471,0,ru,
472,1,ru,
473,1,ru,
474,0,ru,
475,1,ru,
476,0,ru,
477,0,ru,
478,0,ru,
479,1,ru,
480,0,ru,
481,0,ru,
482,0,ru,
483,1,ru,
484,1,ru,
485,1,ru,
486,0,ru,
487,1,ru,
488,1,ru,
489,1,ru,
490,0,ru,
491,0,ru,
492,1,ru,
493,1,ru,
494,1,ru,
495,1,ru,
496,0,ru,
497,0,ru,
498,0,ru,
499,0,ru,
500,0,ru,
501,0,ru,
502,0,ru,
503,0,ru,
504,0,ru,
505,1,ru,
506,0,ru,
507,0,ru,
508,0,ru,
509,1,ru,
510,0,ru,
511,1,ru,
512,1,ru,
513,1,ru,
514,0,ru,
515,1,ru,
516,1,ru,
517,1,ru,
518,0,ru,
519,0,ru,
520,1,ru,
521,0,ru,
522,0,ru,
523,1,ru,
524,0,ru,
525,0,ru,
526,1,ru,
527,1,ru,
528,0,ru,
529,0,ru,
530,0,ru,
531,0,ru,
532,0,ru,
533,1,ru,
534,1,ru,
535,0,ru,
536,0,ru,
537,0,ru,
538,0,ru,
539,0,ru,
540,0,ru,
541,0,ru,
542,1,ru,
543,1,ru,
544,1,ru,
545,1,ru,
546,0,ru,
547,0,ru,
548,0,ru,
549,0,ru,
550,0,ru,
551,1,ru,
552,0,ru,
